County/City,Ward,Pct,"Mark Robert Warner","Daniel Mac Arthur Gade","All Others","Total Votes Cast"
"Arlington County",-,"22 - Abingdon",279,224,2,505
"Arlington County",-,"23 - Westover",301,211,0,512
"Arlington County",-,"24 - Woodlawn",253,187,0,440
"Arlington County",-,"25 - Arlington Forest",282,168,0,450
"Arlington County",-,"26 - Fillmore",337,191,2,530
"Arlington County",-,"27 - Jefferson",272,172,2,446
"Arlington County",-,"28 - Wakefield",411,206,2,619
"Arlington County",-,"29 - Dominion Hills",233,172,3,408
"Arlington County",-,"30 - Glebe",415,132,0,547
"Arlington County",-,"31 - Lexington",242,186,0,428
"Arlington County",-,"32 - Oakridge",104,106,2,212
"Arlington County",-,"33 - Rock Spring",177,237,0,414
"Arlington County",-,"34 - Yorktown",144,200,0,344
"Arlington County",-,"35 - Madison",115,193,0,308
"Arlington County",-,"36 - Marshall",243,199,0,442
"Arlington County",-,"37 - Nottingham",180,201,0,381
"Arlington County",-,"38 - Arlington View",342,131,3,476
"Arlington County",-,"39 - Ashlawn",165,132,0,297
"Arlington County",-,"40 - Virginia Square",290,264,0,554
"Arlington County",-,"41 - Navy League",132,126,3,261
"Arlington County",-,"42 - Shirlington",258,143,0,401
"Arlington County",-,"43 - Campbell",486,104,2,592
"Arlington County",-,"44 - Dawson Terrace",202,149,3,354
"Arlington County",-,"45 - Buckingham",288,150,0,438
"Arlington County",-,"46 - Central",287,223,2,512
"Arlington County",-,"47 - Four Mile Run",280,112,1,393
"Arlington County",-,"48 - Ausa",107,121,1,229
"Arlington County",-,"49 - Monroe",220,130,0,350
"Arlington County",-,"50 - Crystal Plaza",262,190,1,453
"Arlington County",-,"51 - Taylor",116,81,0,197
"Arlington County",-,"52 - Gunston",276,149,0,425
"Arlington County",-,"53 - Met Park",365,230,3,598
"Arlington County",-,"54 - Garfield Park",143,84,1,228
"Arlington County",-,"Ab - Central Absentee Precinct","89,563","17,260",105,"106,928"
"Arlington County",-,Provisional,315,97,1,413
"Augusta County",-,"101 - Jolivue",115,405,1,521
"Augusta County",-,"102 - Stuarts Draft Elementary",203,601,1,805
"Augusta County",-,"103 - Verona",138,530,2,670
"Augusta County",-,"201 - Crimora",205,993,1,"1,199"
"Augusta County",-,"202 - New Hope",135,683,2,820
"Augusta County",-,"203 - Weyers Cave",246,920,0,"1,166"
"Augusta County",-,"301 - Fort Defiance",212,947,0,"1,159"
"Augusta County",-,"302 - North River",95,445,0,540
"Augusta County",-,"303 - Mount Solon",117,770,0,887
"Augusta County",-,"304 - Churchville Fire Station",85,513,0,598
"Augusta County",-,"401 - Buffalo Gap",102,604,1,707
"Augusta County",-,"402 - Churchville Elementary",105,553,2,660
"Augusta County",-,"403 - Craigsville",132,575,0,707
"Augusta County",-,"404 - Deerfield",54,266,0,320
"Augusta County",-,"405 - Cedar Green",127,483,0,610
"Augusta County",-,"501 - Greenville",142,903,0,"1,045"
"Augusta County",-,"502 - Middlebrook",105,534,0,639
"Augusta County",-,"503 - Spottswood",125,624,0,749
"Augusta County",-,"504 - White Hill",198,866,2,"1,066"
"Augusta County",-,"601 - Sherando",157,784,0,941
"Augusta County",-,"602 - Ridgeview",234,"1,108",1,"1,343"
"Augusta County",-,"603 - Lyndhurst",180,808,1,989
"Augusta County",-,"801 - Dooms",144,689,0,833
"Augusta County",-,"802 - Fishersville",215,842,0,"1,057"
"Augusta County",-,"803 - Wilson",264,665,1,930
"Augusta County",-,"Ab - Central Absentee Precinct","8,314","12,590",11,"20,915"
"Augusta County",-,Provisional,75,93,0,168
"Bath County",-,"101 - Warm Springs",53,202,0,255
"Bath County",-,"102 - Mountain Grove",15,50,0,65
"Bath County",-,"201 - Hot Springs",80,148,0,228
"Bath County",-,"301 - Fairview",39,256,1,296
"Bath County",-,"302 - Burnsville",8,81,0,89
"Bath County",-,"401 - Millboro",90,320,0,410
"Bath County",-,"501 - Healing Springs",82,260,0,342
"Bath County",-,"Ab - Central Absentee Precinct",377,367,1,745
"Bath County",-,Provisional,0,4,0,4
"Bedford County",-,"101 - Goodview Elem School (CD 5)",240,981,0,"1,221"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",156,498,0,654
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",151,749,1,901
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",176,649,2,827
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",73,308,1,382
"Bedford County",-,"202 - Staunton River High School (CD 5)",115,525,1,641
"Bedford County",-,"203 - Moneta Elem School (CD 5)",189,846,0,"1,035"
"Bedford County",-,"204 - Quaker Baptist Church (CD 5)",78,340,1,419
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",159,754,0,913
"Bedford County",-,"301 - New London Academy (CD 6)",117,746,0,863
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",90,406,0,496
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",84,467,0,551
"Bedford County",-,"304 - Riverside Church (CD 6)",75,389,0,464
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",91,395,0,486
"Bedford County",-,"306 - Forest Fire Station #2 (CD 6)",65,460,0,525
"Bedford County",-,"401 - Forest Elementary School (CD 6)",183,861,2,"1,046"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",138,470,1,609
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",236,"1,025",1,"1,262"
"Bedford County",-,"404 - Forest Recreation Center (CD 6)",131,796,1,928
"Bedford County",-,"502 - Big Island Elem School (CD 6)",68,315,0,383
"Bedford County",-,"503 - Sedalia Center (CD 6)",77,378,0,455
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",84,501,1,586
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",271,819,0,"1,090"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",272,"1,270",2,"1,544"
"Bedford County",-,"601 - Montvale Elem School (CD 6)",184,679,2,865
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",155,841,2,998
"Bedford County",-,"603 - Thaxton Baptist Church #1 (CD 5)",32,193,0,225
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",192,641,0,833
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)",130,885,0,"1,015"
"Bedford County",-,"702 - Liberty High School (CD 5)",81,386,0,467
"Bedford County",-,"703 - Thaxton Baptist Church #2 (CD 5)",74,375,0,449
"Bedford County",-,"704 - Bedford Central Library (CD 5)",255,557,4,816
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)","5,045","7,938",9,"12,992"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)","4,267","6,843",8,"11,118"
"Bedford County",-,"Provisional (CD 5)",73,57,0,130
"Bedford County",-,"Provisional (CD 6)",65,64,0,129
"Bland County",-,"101 - Bastian",42,219,0,261
"Bland County",-,"102 - Ceres",57,243,1,301
"Bland County",-,"201 - Davis",28,79,0,107
"Bland County",-,"202 - Seddon",78,345,0,423
"Bland County",-,"301 - Hollybrook",53,277,1,331
"Bland County",-,"302 - Mechanicsburg",24,132,0,156
"Bland County",-,"401 - Rocky Gap",74,461,0,535
"Bland County",-,"Ab - Central Absentee Precinct",375,893,1,"1,269"
"Bland County",-,Provisional,1,2,0,3
"Botetourt County",-,"101 - Daleville",240,646,2,888
"Botetourt County",-,"102 - Greenfield",177,790,2,969
"Botetourt County",-,"201 - Blue Ridge",226,864,0,"1,090"
"Botetourt County",-,"202 - Rainbow Forest",233,805,0,"1,038"
"Botetourt County",-,"301 - Buchanan",243,830,1,"1,074"
"Botetourt County",-,"302 - Mill Creek",199,757,1,957
"Botetourt County",-,"403 - Eagle Rock",153,638,0,791
"Botetourt County",-,"406 - Fincastle",140,837,1,978
"Botetourt County",-,"501 - Troutville",124,502,0,626
"Botetourt County",-,"502 - Cloverdale",214,723,1,938
"Botetourt County",-,"Ab - Central Absentee Precinct","4,545","6,790",7,"11,342"
"Botetourt County",-,Provisional,18,8,0,26
"Bristol City",-,"1 - First Ward",198,478,4,680
"Bristol City",-,"2 - Second Ward",165,486,0,651
"Bristol City",-,"3 - Third Ward",140,258,0,398
"Bristol City",-,"4 - Fourth Ward",260,"1,022",0,"1,282"
"Bristol City",-,"Ab - Central Absentee Precinct","2,008","2,636",5,"4,649"
"Bristol City",-,Provisional,16,12,0,28
"Brunswick County",-,"101 - Brodnax",120,127,0,247
"Brunswick County",-,"102 - Rock Store",116,237,0,353
"Brunswick County",-,"103 - Tillman",141,299,1,441
"Brunswick County",-,"201 - Dromgoole",69,77,0,146
"Brunswick County",-,"202 - Edgerton",196,79,0,275
"Brunswick County",-,"203 - Fitzhugh",194,123,0,317
"Brunswick County",-,"301 - Alberta",57,55,0,112
"Brunswick County",-,"302 - Danieltown",143,254,0,397
"Brunswick County",-,"303 - Elmore",86,109,1,196
"Brunswick County",-,"304 - Seymour",105,130,0,235
"Brunswick County",-,"401 - Sturgeon",258,226,0,484
"Brunswick County",-,"402 - King's Store",118,67,0,185
"Brunswick County",-,"501 - Totaro",264,98,0,362
"Brunswick County",-,"Ab - Central Absentee Precinct","2,859","1,311",0,"4,170"
"Brunswick County",-,Provisional,1,0,0,1
"Buchanan County",-,"102 - Blackey",62,305,1,368
"Buchanan County",-,"103 - Hurley",131,643,2,776
"Buchanan County",-,"201 - Grassy",33,88,0,121
"Buchanan County",-,"202 - Bull",91,304,1,396
"Buchanan County",-,"203 - Rocklick",87,381,1,469
"Buchanan County",-,"301 - Slate",107,408,2,517
"Buchanan County",-,"302 - North Grundy",83,308,1,392
"Buchanan County",-,"403 - South Grundy",129,401,0,530
"Buchanan County",-,"404 - Oakwood",15,42,0,57
"Buchanan County",-,"501 - Prater",117,333,0,450
"Buchanan County",-,"502 - Fox",67,85,1,153
"Buchanan County",-,"503 - Vansant",88,295,0,383
"Buchanan County",-,"601 - Council",97,242,1,340
"Buchanan County",-,"602 - Garden",112,348,0,460
"Buchanan County",-,"603 - Hurricane",117,187,0,304
"Buchanan County",-,"701 - Whitewood",120,439,0,559
"Buchanan County",-,"702 - Contrary",77,331,0,408
"Buchanan County",-,"Ab - Central Absentee Precinct",983,"2,040",2,"3,025"
"Buchanan County",-,Provisional,6,22,0,28
"Buckingham County",-,"101 - New Canton",243,379,1,623
"Buckingham County",-,"102 - Georgia Creek",54,151,1,206
"Buckingham County",-,"201 - White Hall",105,178,0,283
"Buckingham County",-,"301 - Curdsville",133,316,0,449
"Buckingham County",-,"302 - New Store",85,260,0,345
"Buckingham County",-,"401 - Maysville",156,338,1,495
"Buckingham County",-,"501 - Wrights",81,226,1,308
"Buckingham County",-,"502 - Glenmore",114,272,0,386
"Buckingham County",-,"601 - Slate River",215,300,0,515
"Buckingham County",-,"701 - Gold Hill",111,222,0,333
"Buckingham County",-,"Ab - Central Absentee Precinct","2,353","1,746",0,"4,099"
"Buckingham County",-,Provisional,6,4,0,10
"Buena Vista City",-,"1 - First Ward",147,389,1,537
"Buena Vista City",-,"2 - Second Ward",113,312,1,426
"Buena Vista City",-,"AB - Central Absentee Precinct",760,"1,023",1,"1,784"
"Buena Vista City",-,Provisional,0,0,0,0
"Campbell County",-,"101 - Brookville",261,"1,001",1,"1,263"
"Campbell County",-,"102 - New London",295,"1,109",1,"1,405"
"Campbell County",-,"201 - Walker",245,760,3,"1,008"
"Campbell County",-,"202 - Bedford Springs",208,"1,004",1,"1,213"
"Campbell County",-,"301 - Evington",138,435,1,574
"Campbell County",-,"302 - Otter River",119,357,1,477
"Campbell County",-,"303 - Altavista",320,588,0,908
"Campbell County",-,"401 - Three Forks",132,714,1,847
"Campbell County",-,"402 - Court House",201,976,4,"1,181"
"Campbell County",-,"501 - Spring Hill",229,869,3,"1,101"
"Campbell County",-,"502 - Yellow Branch",167,580,0,747
"Campbell County",-,"601 - Kings",217,687,2,906
"Campbell County",-,"602 - Concord",189,872,2,"1,063"
"Campbell County",-,"701 - Brookneal",210,477,1,688
"Campbell County",-,"702 - Gladys",200,621,1,822
"Campbell County",-,"703 - Morris Church",115,384,0,499
"Campbell County",-,"Ab - Central Absentee Precinct","6,032","8,903",10,"14,945"
"Campbell County",-,Provisional,0,0,0,0
"Caroline County",-,"101 - Bowling Green",229,566,1,796
"Caroline County",-,"102 - Sparta",211,504,1,716
"Caroline County",-,"201 - North Madison",264,383,0,647
"Caroline County",-,"202 - South Madison",271,512,1,784
"Caroline County",-,"301 - Port Royal",165,238,0,403
"Caroline County",-,"302 - Woodford",292,671,0,963
"Caroline County",-,"401 - Dawn",439,498,1,938
"Caroline County",-,"402 - Carmel Church",145,179,0,324
"Caroline County",-,"501 - West Mattaponi",270,297,2,569
"Caroline County",-,"502 - Milford",175,388,0,563
"Caroline County",-,"601 - Chilesburg",313,559,0,872
"Caroline County",-,"602 - Lake",214,431,1,646
"Caroline County",-,"Ab - Central Absentee Precinct","5,078","2,756",7,"7,841"
"Caroline County",-,Provisional,58,54,0,112
"Carroll County",-,"101 - Mt Bethel",81,388,0,469
"Carroll County",-,"102 - St Paul",73,532,1,606
"Carroll County",-,"103 - Lambsburg",65,344,0,409
"Carroll County",-,"105 - Fancy Gap",56,374,0,430
"Carroll County",-,"201 - Hillsville B",172,676,0,848
"Carroll County",-,"202 - Laurel Fork",83,379,0,462
"Carroll County",-,"203 - Gladesboro",119,447,0,566
"Carroll County",-,"301 - Hillsville C",178,913,2,"1,093"
"Carroll County",-,"302 - Sylvatus",76,419,2,497
"Carroll County",-,"303 - Dugspur",43,221,0,264
"Carroll County",-,"401 - Oakland",162,810,1,973
"Carroll County",-,"402 - Woodlawn D",123,626,2,751
"Carroll County",-,"406 - Woodlawn F",41,119,0,160
"Carroll County",-,"501 - Vaughan",62,341,0,403
"Carroll County",-,"502 - Gladeville",129,687,0,816
"Carroll County",-,"503 - Woodlawn E",76,332,0,408
"Carroll County",-,"504 - Laurel",70,432,0,502
"Carroll County",-,"Ab - Central Absentee Precinct","1,953","3,533",6,"5,492"
"Carroll County",-,Provisional,29,37,0,66
"Charles City County",-,"101 - Precinct 1-1",221,437,0,658
"Charles City County",-,"201 - Precinct 2-1",208,228,0,436
"Charles City County",-,"301 - Precinct 3-1",216,249,1,466
"Charles City County",-,"Ab - Central Absentee Precinct","2,049",786,0,"2,835"
"Charles City County",-,Provisional,6,4,0,10
"Charlotte County",-,"101 - County Seat",113,289,0,402
"Charlotte County",-,"201 - Red Oak Wylliesburg",188,371,0,559
"Charlotte County",-,"302 - Drakes Branch",119,319,0,438
"Charlotte County",-,"401 - Keysville",160,396,1,557
"Charlotte County",-,"501 - Cullen/Red House",142,272,1,415
"Charlotte County",-,"602 - Phenix",107,427,0,534
"Charlotte County",-,"702 - Bacon/Saxe",97,226,0,323
"Charlotte County",-,"Ab - Central Absentee Precinct","1,596","1,331",1,"2,928"
"Charlotte County",-,Provisional,0,2,0,2
"Charlottesville City",-,"101 - Key Recreation",396,211,2,609
"Charlottesville City",-,"102 - Clark",655,243,0,898
"Charlottesville City",-,"201 - Carver",528,138,1,667
"Charlottesville City",-,"202 - Walker",522,303,0,825
"Charlottesville City",-,"301 - Benjamin Tonsler",616,139,1,756
"Charlottesville City",-,"302 - Johnson",560,327,8,895
"Charlottesville City",-,"303 - Buford",304,119,0,423
"Charlottesville City",-,"401 - Venable",399,142,2,543
"Charlottesville City",-,"402 - Alumni Hall",370,181,1,552
"Charlottesville City",-,"Ab - Central Absentee Precinct","16,213","1,586",9,"17,808"
"Charlottesville City",-,Provisional,109,20,0,129
"Chesapeake City",-,"1 - Great Bridge (CD 4)",149,423,0,572
"Chesapeake City",-,"2 - Bethel (CD 4)",125,916,2,"1,043"
"Chesapeake City",-,"3 - Camelot (CD 3)",296,64,1,361
"Chesapeake City",-,"4 - Churchland (CD 3)",110,387,0,497
"Chesapeake City",-,"5 - Crestwood (CD 3)",407,125,2,534
"Chesapeake City",-,"6 - Deep Creek (CD 4)",162,363,0,525
"Chesapeake City",-,"7 - Greenbrier (CD 4)",130,267,0,397
"Chesapeake City",-,"8 - South Norfolk Recreation (CD 3)",315,381,2,698
"Chesapeake City",-,"9 - Bells Mill (CD 4)",176,711,0,887
"Chesapeake City",-,"10 - Oscar Smith (CD 3)",151,218,2,371
"Chesapeake City",-,"11 - Geneva Park (CD 3)",310,397,0,707
"Chesapeake City",-,"12 - Georgetown (CD 3)",196,73,0,269
"Chesapeake City",-,"13 - Gilmerton (CD 3)",284,462,0,746
"Chesapeake City",-,"14 - Grassfield (CD 4)",154,400,1,555
"Chesapeake City",-,"15 - Greenbrier Middle School (CD 3)",302,315,1,618
"Chesapeake City",-,"16 - Hickory Grove (CD 4)",164,763,0,927
"Chesapeake City",-,"17 - Indian Creek (CD 4)",132,679,2,813
"Chesapeake City",-,"18 - Indian River (CD 3)",273,217,0,490
"Chesapeake City",-,"19 - Jolliff (CD 4)",133,401,0,534
"Chesapeake City",-,"20 - E W Chittum (CD 4)",180,401,1,582
"Chesapeake City",-,"21 - Fellowship (CD 3)",216,414,1,631
"Chesapeake City",-,"22 - Norfolk Highlands (CD 3)",209,319,1,529
"Chesapeake City",-,"23 - Oak Grove (CD 4)",215,334,0,549
"Chesapeake City",-,"24 - Oaklette (CD 3)",326,308,0,634
"Chesapeake City",-,"25 - St Julians (CD 3)",269,253,0,522
"Chesapeake City",-,"26 - Johnson Park (CD 3)",219,151,1,371
"Chesapeake City",-,"27 - Silverwood (CD 3)",197,335,1,533
"Chesapeake City",-,"28 - Sunray I (CD 4)",60,166,0,226
"Chesapeake City",-,"29 - Tanglewood (CD 3)",161,393,1,555
"Chesapeake City",-,"30 - South Norfolk (CD 3)",248,19,0,267
"Chesapeake City",-,"31 - Carver School (CD 3)",459,143,1,603
"Chesapeake City",-,"32 - Providence (CD 3)",589,72,0,661
"Chesapeake City",-,"33 - Westover (CD 3)",163,366,0,529
"Chesapeake City",-,"34 - Hickory Middle School (CD 4)",162,689,0,851
"Chesapeake City",-,"35 - Taylor Road (CD 3)",261,156,0,417
"Chesapeake City",-,"36 - Great Bridge Baptist Church (CD 4)",189,548,0,737
"Chesapeake City",-,"37 - Bridgetown (CD 4)",135,406,0,541
"Chesapeake City",-,"38 - Bailey Creek (CD 3)",112,391,0,503
"Chesapeake City",-,"39 - Lake Drummond (CD 4)",168,390,0,558
"Chesapeake City",-,"41 - John T West (CD 4)",340,581,3,924
"Chesapeake City",-,"42 - Parkways (CD 3)",261,231,1,493
"Chesapeake City",-,"43 - Pleasant Crossing (CD 4)",124,474,0,598
"Chesapeake City",-,"44 - Nansemond (CD 3)",215,241,0,456
"Chesapeake City",-,"45 - Sunray II (CD 4)",94,141,0,235
"Chesapeake City",-,"46 - Bells Mill II (CD 4)",161,423,1,585
"Chesapeake City",-,"48 - Jolliff Middle School (CD 4)",470,108,2,580
"Chesapeake City",-,"49 - Waterway (CD 4)",138,384,1,523
"Chesapeake City",-,"50 - River Walk (CD 4)",278,347,1,626
"Chesapeake City",-,"51 - Coopers Way (CD 4)",204,757,2,963
"Chesapeake City",-,"52 - Shipyard Road (CD 4)",143,237,0,380
"Chesapeake City",-,"53 - Fairways (CD 3)",350,445,2,797
