County/City,Ward,Pct,"Ralph Shearer Northam","Earl Walker Jackson, Sr.","All Others","Total Votes Cast"
"Chesapeake City",-,"54 - Pughsville",769,270,1,"1,040"
"Chesapeake City",-,"55 - Georgetown East",673,151,2,826
"Chesapeake City",-,"56 - Green Tree",514,362,1,877
"Chesapeake City",-,"57 - Cypress",547,391,0,938
"Chesapeake City",-,"58 - Expressway",289,89,1,379
"Chesapeake City",-,"59 - Clearfield",314,315,3,632
"Chesapeake City",-,"60 - Parker Road",579,812,5,"1,396"
"Chesapeake City",-,"61 - Centerville",338,672,3,"1,013"
"Chesapeake City",-,"62 - Fentress",482,688,2,"1,172"
"Chesapeake City",-,"63 - Poplar Branch",240,508,1,749
"Chesapeake City",-,"Ab - Central Absentee Precinct","1,202",886,7,"2,095"
"Chesapeake City",-,Provisional,31,27,0,58
"Chesterfield County",-,"101 - Bellwood (CD 4)",357,335,7,699
"Chesterfield County",-,"102 - South Chester (CD 4)",717,654,9,"1,380"
"Chesterfield County",-,"103 - Enon (CD 4)",592,846,8,"1,446"
"Chesterfield County",-,"104 - North Chester (CD 4)",640,885,10,"1,535"
"Chesterfield County",-,"105 - Drewrys Bluff (CD 4)",576,317,1,894
"Chesterfield County",-,"106 - Harrowgate (CD 4)","1,062",812,7,"1,881"
"Chesterfield County",-,"107 - Wells (CD 4)",698,639,3,"1,340"
"Chesterfield County",-,"108 - Ecoff (CD 4)",819,"1,102",18,"1,939"
"Chesterfield County",-,"109 - Elizabeth Scott (CD 4)","1,068",907,4,"1,979"
"Chesterfield County",-,"110 - Dutch Gap (CD 4)",501,472,3,976
"Chesterfield County",-,"111 - Iron Bridge (CD 4)","1,223",977,6,"2,206"
"Chesterfield County",-,"112 - Carver (CD 4)",713,491,11,"1,215"
"Chesterfield County",-,"201 - Gates (CD 4)",561,516,3,"1,080"
"Chesterfield County",-,"202 - Beulah (CD 4)",992,503,5,"1,500"
"Chesterfield County",-,"203 - Bird (CD 4)",538,327,3,868
"Chesterfield County",-,"204 - Jacobs (CD 4)",504,438,9,951
"Chesterfield County",-,"205 - Falling Creek (CD 4)","1,128",477,4,"1,609"
"Chesterfield County",-,"206 - Belmont (CD 7)",626,146,2,774
"Chesterfield County",-,"207 - Chippenham (CD 4)",329,145,1,475
"Chesterfield County",-,"208 - Meadowbrook (CD 4)",994,317,1,"1,312"
"Chesterfield County",-,"209 - Salem Church (CD 4)",742,769,7,"1,518"
"Chesterfield County",-,"210 - Five Forks (CD 4)","1,075",618,1,"1,694"
"Chesterfield County",-,"211 - Nash (CD 4)",863,"1,175",13,"2,051"
"Chesterfield County",-,"212 - St. Luke's (CD 4)",419,438,3,860
"Chesterfield County",-,"213 - Southside (CD 4)","1,637",442,3,"2,082"
"Chesterfield County",-,"214 - Hopkins (CD 4)",140,33,0,173
"Chesterfield County",-,"301 - Ettrick (CD 4)","1,213",257,1,"1,471"
"Chesterfield County",-,"302 - Deer Run (CD 4)",280,341,4,625
"Chesterfield County",-,"303 - Matoaca (CD 4)",999,719,5,"1,723"
"Chesterfield County",-,"304 - Winfrees Store (CD 4)",613,"1,127",7,"1,747"
"Chesterfield County",-,"305 - Beach (CD 4)",513,648,5,"1,166"
"Chesterfield County",-,"306 - Winterpock (CD 4)",572,"1,195",14,"1,781"
"Chesterfield County",-,"307 - Cosby (CD 4)",708,880,9,"1,597"
"Chesterfield County",-,"308 - South Manchester (CD 4)",239,191,3,433
"Chesterfield County",-,"309 - Skinquarter (CD 7)",629,"1,113",12,"1,754"
"Chesterfield County",-,"310 - Tomahawk (CD 7)",755,908,12,"1,675"
"Chesterfield County",-,"313 - Woolridge (CD 7)",905,"1,111",13,"2,029"
"Chesterfield County",-,"315 - Bailey Bridge (CD 4)",572,967,8,"1,547"
"Chesterfield County",-,"316 - Spring Run (CD 4)",620,775,9,"1,404"
"Chesterfield County",-,"317 - Birkdale (CD 4)",775,943,5,"1,723"
"Chesterfield County",-,"401 - Harbour Pointe (CD 7)",515,476,7,998
"Chesterfield County",-,"402 - Genito (CD 7)","1,051",925,11,"1,987"
"Chesterfield County",-,"403 - Brandermill (CD 7)",789,851,15,"1,655"
"Chesterfield County",-,"404 - Providence (CD 7)",819,565,11,"1,395"
"Chesterfield County",-,"405 - La Prade (CD 7)",924,700,13,"1,637"
"Chesterfield County",-,"406 - Smoketree (CD 7)",715,752,14,"1,481"
"Chesterfield County",-,"407 - Monacan (CD 7)",449,441,12,902
"Chesterfield County",-,"408 - Reams (CD 7)","1,104",668,11,"1,783"
"Chesterfield County",-,"409 - Manchester (CD 7)",426,366,4,796
"Chesterfield County",-,"410 - Wagstaff (CD 7)",455,388,6,849
"Chesterfield County",-,"411 - Swift Creek (CD 7)",804,741,11,"1,556"
"Chesterfield County",-,"413 - Shenandoah (CD 7)",721,555,10,"1,286"
"Chesterfield County",-,"414 - Crenshaw (CD 4)",874,916,13,"1,803"
"Chesterfield County",-,"415 - Evergreen (CD 7)",788,779,16,"1,583"
"Chesterfield County",-,"416 - Evergreen West (CD 7)",262,264,6,532
"Chesterfield County",-,"417 - Edgewater (CD 7)",256,286,3,545
"Chesterfield County",-,"501 - Huguenot (CD 7)",719,511,13,"1,243"
"Chesterfield County",-,"502 - Crestwood (CD 7)",501,431,9,941
"Chesterfield County",-,"503 - Midlothian (CD 7)",635,700,12,"1,347"
"Chesterfield County",-,"504 - Robious (CD 7)","1,049","1,149",39,"2,237"
"Chesterfield County",-,"505 - Bon Air (CD 7)",988,752,19,"1,759"
"Chesterfield County",-,"506 - Greenfield (CD 7)",876,679,15,"1,570"
"Chesterfield County",-,"507 - Salisbury (CD 7)",992,"1,186",23,"2,201"
"Chesterfield County",-,"508 - Belgrade (CD 7)",817,682,9,"1,508"
"Chesterfield County",-,"509 - Cranbeck (CD 7)",476,378,5,859
"Chesterfield County",-,"510 - Sycamore (CD 7)",820,935,12,"1,767"
"Chesterfield County",-,"511 - Black Heath (CD 7)",589,575,12,"1,176"
"Chesterfield County",-,"513 - Beaufont (CD 7)",429,159,5,593
"Chesterfield County",-,"514 - Watkins (CD 7)",878,"1,023",10,"1,911"
"Chesterfield County",-,"515 - Davis (CD 7)",901,223,4,"1,128"
"Chesterfield County",-,"516 - Pocoshock (CD 7)",606,180,2,788
"Chesterfield County",-,"517 - Roseland (CD 7)",90,132,1,223
"Chesterfield County",-,"518 - Midlothian North (CD 7)",647,883,19,"1,549"
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 4)","1,181","1,113",14,"2,308"
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 7)","1,049",979,16,"2,044"
"Chesterfield County",-,"Provisional (CD 4)",13,17,32,62
"Chesterfield County",-,"Provisional (CD 7)",20,23,45,88
"Clarke County",-,"101 - Russell",378,601,2,981
"Clarke County",-,"201 - Berryville",429,393,2,824
"Clarke County",-,"301 - Millwood",338,324,0,662
"Clarke County",-,"302 - Pine Grove",144,160,0,304
"Clarke County",-,"401 - White Post",412,477,1,890
"Clarke County",-,"501 - Buckmarsh",311,375,0,686
"Clarke County",-,"502 - Blue Ridge",108,108,2,218
"Clarke County",-,"Ab - Central Absentee Precinct",146,135,1,282
"Clarke County",-,Provisional,0,0,0,0
"Colonial Heights City",-,"1 - First",244,367,2,613
"Colonial Heights City",-,"2 - Second",273,476,2,751
"Colonial Heights City",-,"3 - Third",395,517,2,914
"Colonial Heights City",-,"4 - Fourth",445,576,5,"1,026"
"Colonial Heights City",-,"5 - Fifth",429,778,7,"1,214"
"Colonial Heights City",-,"Ab - Central Absentee Precinct",157,215,2,374
"Colonial Heights City",-,Provisional,0,0,0,0
"Covington City",-,"101 - Precinct 1-1",96,53,0,149
"Covington City",-,"201 - Precinct 2-1",150,82,1,233
"Covington City",-,"301 - Precinct 3-1",144,45,0,189
"Covington City",-,"401 - Precinct 4-1",182,146,1,329
"Covington City",-,"501 - Precinct 5-1",163,129,1,293
"Covington City",-,"Ab - Central Absentee Precinct",22,16,0,38
"Covington City",-,Provisional,0,0,0,0
"Craig County",-,"101 - Court House",93,189,0,282
"Craig County",-,"201 - Ammendale Precinct",96,224,0,320
"Craig County",-,"202 - North Mountain",27,29,0,56
"Craig County",-,"301 - Givens & Reynolds Store",94,107,1,202
"Craig County",-,"302 - Mcguires Store",50,42,1,93
"Craig County",-,"303 - Marshalls Store",28,53,0,81
"Craig County",-,"401 - Barbours Creek",38,53,1,92
"Craig County",-,"402 - Paint Bank",16,9,0,25
"Craig County",-,"403 - Craig Springs",37,85,1,123
"Craig County",-,"404 - Forks Of Johns Creek",21,23,0,44
"Craig County",-,"501 - Craig City",106,168,0,274
"Craig County",-,Provisional,0,0,0,0
"Culpeper County",-,"101 - West Fairfax",640,722,2,"1,364"
"Culpeper County",-,"201 - East Fairfax",472,463,3,938
"Culpeper County",-,"302 - Eggbornsville",212,470,0,682
"Culpeper County",-,"303 - Cardova",203,360,0,563
"Culpeper County",-,"304 - Willow Shade",138,120,1,259
"Culpeper County",-,"401 - Eldorado",278,471,2,751
"Culpeper County",-,"402 - Browns Store",476,771,2,"1,249"
"Culpeper County",-,"501 - Jeffersonton",380,711,3,"1,094"
"Culpeper County",-,"502 - Rixeyville",328,665,4,997
"Culpeper County",-,"601 - Mitchells",78,117,0,195
"Culpeper County",-,"602 - Pearl Sample",423,594,2,"1,019"
"Culpeper County",-,"603 - South Ridge",166,174,1,341
"Culpeper County",-,"702 - Brandy Station",318,675,0,993
"Culpeper County",-,"703 - Lignum",163,327,2,492
"Culpeper County",-,"704 - Richardsville",88,167,0,255
"Culpeper County",-,"Ab - Central Absentee Precinct",239,360,1,600
"Culpeper County",-,Provisional,4,5,9,18
"Cumberland County",-,"101 - Precinct 1",338,308,1,647
"Cumberland County",-,"201 - Precinct 2",221,337,0,558
"Cumberland County",-,"301 - Precinct 3",348,169,0,517
"Cumberland County",-,"401 - Precinct 4",233,267,5,505
"Cumberland County",-,"501 - Precinct 5",276,257,0,533
"Cumberland County",-,"Ab - Central Absentee Precinct",47,32,0,79
"Cumberland County",-,Provisional,0,0,0,0
"Danville City",-,"1 - Ward One",147,28,0,175
"Danville City",-,"2 - Ward Two",209,113,0,322
"Danville City",-,"3 - Ward Three",243,44,0,287
"Danville City",-,"4 - Ward Four",527,565,1,"1,093"
"Danville City",-,"5 - Ward Five",195,185,1,381
"Danville City",-,"6 - Ward Six",237,41,0,278
"Danville City",-,"7 - Ward Seven",332,71,0,403
"Danville City",-,"8 - Ward Eight",272,190,0,462
"Danville City",-,"9 - Ward Nine",231,176,0,407
"Danville City",-,"10 - Ward Ten",304,315,0,619
"Danville City",-,"11 - Ward Eleven",526,335,2,863
"Danville City",-,"12 - Ward Twelve",571,410,1,982
"Danville City",-,"13 - Ward Thirteen",444,343,1,788
"Danville City",-,"14 - Ward Fourteen",98,16,0,114
"Danville City",-,"15 - Ward Fifteen",364,373,2,739
"Danville City",-,"16 - Ward Sixteen",348,533,0,881
"Danville City",-,"17 - Ward Seventeen",270,561,1,832
"Danville City",-,"Ab - Central Absentee Precinct",266,263,1,530
"Danville City",-,Provisional,1,4,0,5
"Dickenson County",-,"101 - South Clintwood",260,478,1,739
"Dickenson County",-,"201 - Nora",84,125,0,209
"Dickenson County",-,"202 - Frying Pan",29,63,0,92
"Dickenson County",-,"203 - Clinchco",123,137,0,260
"Dickenson County",-,"301 - West Dante",21,97,0,118
"Dickenson County",-,"302 - Herald",50,152,1,203
"Dickenson County",-,"303 - Ridge",62,272,1,335
"Dickenson County",-,"401 - Haysi-colley",266,243,1,510
"Dickenson County",-,"501 - Tarpon",85,70,0,155
"Dickenson County",-,"502 - North Clintwood",160,302,1,463
"Dickenson County",-,"Ab - Central Absentee Precinct",124,138,0,262
"Dickenson County",-,Provisional,0,0,0,0
"Dinwiddie County",-,"101 - White Oak",137,186,0,323
"Dinwiddie County",-,"102 - Rocky Run",197,245,0,442
"Dinwiddie County",-,"103 - Church Road",248,448,2,698
"Dinwiddie County",-,"201 - Rohoic",211,124,2,337
"Dinwiddie County",-,"202 - Sutherland",482,494,2,978
"Dinwiddie County",-,"301 - Reams",146,171,0,317
"Dinwiddie County",-,"302 - New Hope",267,254,2,523
"Dinwiddie County",-,"303 - Little Zion",519,237,2,758
"Dinwiddie County",-,"401 - Dinwiddie",414,344,3,761
"Dinwiddie County",-,"402 - Mckenney",257,191,3,451
"Dinwiddie County",-,"403 - Cherry Hill",222,101,0,323
"Dinwiddie County",-,"501 - Edgehill",104,26,0,130
"Dinwiddie County",-,"502 - Chesdin",737,275,3,"1,015"
"Dinwiddie County",-,"Ab - Central Absentee Precinct",150,109,0,259
"Dinwiddie County",-,Provisional,0,0,0,0
"Emporia City",-,"101 - Precinct 1-1",203,64,0,267
"Emporia City",-,"201 - Precinct 2-1",126,17,0,143
"Emporia City",-,"301 - Precinct 3-1",141,100,1,242
"Emporia City",-,"401 - Precinct 4-1",182,120,0,302
"Emporia City",-,"501 - Precinct 5-1",127,17,0,144
"Emporia City",-,"601 - District 6",162,124,1,287
"Emporia City",-,"701 - District 7",129,62,0,191
"Emporia City",-,Provisional,0,0,0,0
"Essex County",-,"101 - Greater Tappahannock",366,288,3,657
"Essex County",-,"201 - North",466,214,0,680
"Essex County",-,"301 - South",366,427,0,793
"Essex County",-,"401 - Central",377,368,0,745
"Essex County",-,"Ab - Central Absentee Precinct",94,74,0,168
"Essex County",-,Provisional,0,1,0,1
"Fairfax County",-,"104 - Chapel (CD 11)",760,479,6,"1,245"
"Fairfax County",-,"105 - Fairview (CD 11)","1,281",821,5,"2,107"
"Fairfax County",-,"106 - Heritage (CD 11)",853,306,3,"1,162"
"Fairfax County",-,"108 - Kings Park (CD 11)",702,472,8,"1,182"
"Fairfax County",-,"109 - Little Run (CD 11)","1,045",610,3,"1,658"
"Fairfax County",-,"110 - North Springfield (CD 11)","1,013",651,2,"1,666"
"Fairfax County",-,"113 - Canterbury (CD 11)","1,309",765,11,"2,085"
"Fairfax County",-,"115 - Ravensworth (CD 11)",474,340,4,818
"Fairfax County",-,"116 - Wakefield (CD 11)",792,418,4,"1,214"
"Fairfax County",-,"117 - Woodson (CD 11)",760,528,7,"1,295"
"Fairfax County",-,"118 - Lake Braddock (CD 11)","1,019",544,7,"1,570"
"Fairfax County",-,"119 - Laurel (CD 11)","1,155",755,11,"1,921"
"Fairfax County",-,"120 - Sideburn (CD 11)",892,799,6,"1,697"
"Fairfax County",-,"121 - Villa (CD 11)",493,352,7,852
"Fairfax County",-,"123 - Robinson (CD 11)","1,088",703,11,"1,802"
"Fairfax County",-,"125 - Signal Hill (CD 11)","1,001",542,5,"1,548"
"Fairfax County",-,"126 - Bonnie Brae (CD 11)",649,353,6,"1,008"
"Fairfax County",-,"127 - Burke Centre (CD 11)","1,063",661,4,"1,728"
"Fairfax County",-,"128 - Cardinal (CD 11)",608,377,10,995
"Fairfax County",-,"129 - Keene Mill (CD 11)",470,286,9,765
"Fairfax County",-,"130 - Terra Centre (CD 11)",700,425,2,"1,127"
"Fairfax County",-,"131 - Eagle View (CD 11)",799,508,2,"1,309"
"Fairfax County",-,"132 - Monument (CD 11)",710,416,1,"1,127"
"Fairfax County",-,"133 - Danbury (CD 11)",199,111,2,312
"Fairfax County",-,"134 - University (CD 11)",620,184,10,814
"Fairfax County",-,"202 - Flint Hill (CD 11)",900,641,5,"1,546"
"Fairfax County",-,"203 - Floris (CD 11)","1,065",675,4,"1,744"
"Fairfax County",-,"204 - Madison (CD 11)",253,100,1,354
"Fairfax County",-,"208 - Reston #1 (CD 11)",816,252,1,"1,069"
"Fairfax County",-,"209 - Reston #2 (CD 11)","1,060",331,6,"1,397"
"Fairfax County",-,"213 - Vienna #1 (CD 11)","1,198",661,7,"1,866"
"Fairfax County",-,"214 - Vienna #2 (CD 11)",991,526,9,"1,526"
"Fairfax County",-,"216 - Vienna #4 (CD 11)",468,217,4,689
"Fairfax County",-,"218 - Vienna #6 (CD 11)",728,309,3,"1,040"
"Fairfax County",-,"219 - Westbriar (CD 11)","1,003",573,2,"1,578"
"Fairfax County",-,"220 - Dogwood (CD 11)","1,099",426,4,"1,529"
"Fairfax County",-,"221 - Hunters Woods (CD 11)",943,440,4,"1,387"
"Fairfax County",-,"222 - Reston #3 (CD 11)",810,213,3,"1,026"
"Fairfax County",-,"223 - Glade (CD 11)","1,325",426,6,"1,757"
"Fairfax County",-,"224 - South Lakes (CD 11)","1,595",503,4,"2,102"
"Fairfax County",-,"225 - Terraset (CD 11)","1,079",350,6,"1,435"
"Fairfax County",-,"226 - Wolftrap (CD 11)","1,123",679,6,"1,808"
"Fairfax County",-,"227 - Sunrise Valley (CD 11)",582,316,6,904
"Fairfax County",-,"229 - Fox Mill (CD 10)","1,401",906,8,"2,315"
"Fairfax County",-,"233 - North Point (CD 11)","1,311",720,7,"2,038"
"Fairfax County",-,"234 - Aldrin (CD 11)","1,392",714,6,"2,112"
"Fairfax County",-,"235 - Frying Pan (CD 11)",752,317,6,"1,075"
"Fairfax County",-,"236 - Stuart (CD 11)",412,215,2,629
"Fairfax County",-,"237 - Mcnair (CD 11)",682,318,1,"1,001"
"Fairfax County",-,"238 - Cameron Glen (CD 11)",693,409,2,"1,104"
"Fairfax County",-,"240 - Colvin (CD 10)",569,514,3,"1,086"
"Fairfax County",-,"301 - Chain Bridge (CD 10)",818,548,3,"1,369"
"Fairfax County",-,"302 - Chesterbrook (CD 8)",774,457,9,"1,240"
"Fairfax County",-,"303 - Churchill (CD 10)",457,261,4,722
"Fairfax County",-,"304 - Cooper (CD 10)",522,426,7,955
"Fairfax County",-,"305 - El Nido (CD 8)",732,340,5,"1,077"
"Fairfax County",-,"306 - Great Falls (CD 10)",561,468,5,"1,034"
"Fairfax County",-,"307 - Haycock (CD 8)",804,417,7,"1,228"
"Fairfax County",-,"309 - Kenmore (CD 10)",910,625,4,"1,539"
"Fairfax County",-,"310 - Kirby (CD 8)",615,309,4,928
"Fairfax County",-,"311 - Langley (CD 10)",584,438,3,"1,025"
"Fairfax County",-,"312 - Longfellow (CD 8)",772,392,6,"1,170"
"Fairfax County",-,"314 - Mclean (CD 10)",699,381,6,"1,086"
"Fairfax County",-,"315 - Pimmit (CD 8)",810,383,4,"1,197"
"Fairfax County",-,"316 - Salona #1 (CD 8)",313,160,3,476
"Fairfax County",-,"317 - Westhampton (CD 8)",703,339,13,"1,055"
"Fairfax County",-,"318 - Westmoreland (CD 8)",469,223,4,696
"Fairfax County",-,"319 - Herndon #1 (CD 11)","1,015",621,9,"1,645"
"Fairfax County",-,"320 - Herndon #2 (CD 11)","1,053",487,8,"1,548"
"Fairfax County",-,"321 - Clearview (CD 10)","1,233",803,9,"2,045"
"Fairfax County",-,"322 - Forestville (CD 10)",725,707,4,"1,436"
"Fairfax County",-,"323 - Shouse (CD 10)",657,409,3,"1,069"
"Fairfax County",-,"324 - Herndon #3 (CD 11)",894,414,10,"1,318"
"Fairfax County",-,"325 - Hutchison (CD 11)",549,194,2,745
"Fairfax County",-,"327 - Sugarland (CD 10)",871,586,8,"1,465"
"Fairfax County",-,"328 - Hickory (CD 10)",782,591,7,"1,380"
"Fairfax County",-,"329 - Seneca (CD 10)",822,677,3,"1,502"
"Fairfax County",-,"331 - Spring Hill (CD 10)",629,456,6,"1,091"
"Fairfax County",-,"332 - Coates (CD 11)",589,200,5,794
"Fairfax County",-,"333 - Salona #2 (CD 8)",494,290,2,786
"Fairfax County",-,"401 - Bush Hill (CD 8)",900,525,8,"1,433"
"Fairfax County",-,"402 - Cameron (CD 8)",299,164,2,465
"Fairfax County",-,"404 - Franconia (CD 8)",840,384,5,"1,229"
"Fairfax County",-,"405 - Groveton (CD 8)",492,155,4,651
"Fairfax County",-,"406 - Hayfield (CD 8)",664,510,9,"1,183"
"Fairfax County",-,"408 - Mount Eagle (CD 8)",733,214,4,951
"Fairfax County",-,"409 - Pioneer (CD 8)","1,181",509,5,"1,695"
"Fairfax County",-,"410 - Rose Hill (CD 8)","1,121",625,5,"1,751"
"Fairfax County",-,"411 - Virginia Hills (CD 8)",642,302,1,945
"Fairfax County",-,"413 - Fairfield (CD 8)",514,102,0,616
"Fairfax County",-,"415 - Crestwood (CD 8)",591,361,3,955
"Fairfax County",-,"417 - Garfield (CD 8)",732,391,1,"1,124"
"Fairfax County",-,"418 - Lynbrook (CD 8)",434,232,1,667
"Fairfax County",-,"419 - Lane (CD 8)",929,342,0,"1,271"
"Fairfax County",-,"420 - Villages (CD 8)","1,100",478,8,"1,586"
"Fairfax County",-,"421 - Kingstowne (CD 8)",883,381,4,"1,268"
"Fairfax County",-,"422 - Van Dorn (CD 8)",877,396,6,"1,279"
"Fairfax County",-,"423 - Clermont (CD 8)",748,405,6,"1,159"
"Fairfax County",-,"424 - Huntley (CD 8)",851,392,8,"1,251"
"Fairfax County",-,"426 - Greenspring (CD 11)",799,395,5,"1,199"
"Fairfax County",-,"427 - Island Creek (CD 8)",738,323,2,"1,063"
"Fairfax County",-,"428 - Pinewood (CD 8)",768,193,2,963
"Fairfax County",-,"429 - Hybla Valley (CD 8)",797,180,2,979
"Fairfax County",-,"501 - Baileys (CD 8)",861,280,2,"1,143"
"Fairfax County",-,"502 - Barcroft (CD 11)",482,195,4,681
"Fairfax County",-,"503 - Belvedere (CD 11)",622,213,0,835
"Fairfax County",-,"504 - Bristow (CD 11)",581,254,1,836
"Fairfax County",-,"505 - Glen Forest (CD 8)",662,238,1,901
"Fairfax County",-,"506 - Holmes (CD 11)",390,116,1,507
"Fairfax County",-,"506 - Holmes (CD 8)",293,65,2,360
"Fairfax County",-,"507 - Lincolnia (CD 8)",839,279,7,"1,125"
"Fairfax County",-,"508 - Masonville (CD 11)",832,375,9,"1,216"
"Fairfax County",-,"509 - Plaza (CD 8)",347,67,1,415
"Fairfax County",-,"510 - Parklawn (CD 8)",607,279,2,888
"Fairfax County",-,"511 - Ravenwood (CD 11)",843,326,4,"1,173"
"Fairfax County",-,"512 - Sleepy Hollow (CD 11)",478,205,6,689
"Fairfax County",-,"513 - Saint Albans (CD 11)",525,226,1,752
"Fairfax County",-,"513 - Saint Albans (CD 8)",286,131,2,419
"Fairfax County",-,"515 - Westlawn (CD 8)",455,198,2,655
"Fairfax County",-,"516 - Weyanoke (CD 8)",737,290,3,"1,030"
"Fairfax County",-,"517 - Willston (CD 8)",418,160,3,581
"Fairfax County",-,"518 - Columbia (CD 11)",671,360,6,"1,037"
"Fairfax County",-,"519 - Hummer (CD 11)",473,257,6,736
"Fairfax County",-,"520 - Skyline (CD 8)",854,219,4,"1,077"
"Fairfax County",-,"521 - Brook Hill (CD 8)",508,306,2,816
"Fairfax County",-,"522 - Camelot (CD 11)",483,307,4,794
"Fairfax County",-,"523 - Poe (CD 8)",708,351,8,"1,067"
"Fairfax County",-,"525 - Walnut Hill (CD 8)",907,388,5,"1,300"
"Fairfax County",-,"526 - Bren Mar (CD 8)",899,297,4,"1,200"
"Fairfax County",-,"527 - Edsall (CD 8)",570,281,2,853
"Fairfax County",-,"528 - Ridgelea (CD 11)",384,222,0,606
"Fairfax County",-,"601 - Belle Haven (CD 8)",585,389,8,982
"Fairfax County",-,"602 - Belleview (CD 8)",726,340,3,"1,069"
"Fairfax County",-,"604 - Bucknell (CD 8)",934,317,2,"1,253"
"Fairfax County",-,"605 - Fort Hunt (CD 8)",710,515,5,"1,230"
"Fairfax County",-,"606 - Hollin Hall (CD 8)",890,484,15,"1,389"
"Fairfax County",-,"607 - Huntington (CD 8)",985,391,3,"1,379"
"Fairfax County",-,"608 - Kirkside (CD 8)",799,244,3,"1,046"
"Fairfax County",-,"609 - Marlan (CD 8)",680,408,9,"1,097"
"Fairfax County",-,"610 - Sherwood (CD 8)",618,251,5,874
"Fairfax County",-,"611 - Stratford (CD 8)",976,581,8,"1,565"
"Fairfax County",-,"612 - Waynewood (CD 8)",457,337,4,798
"Fairfax County",-,"613 - Westgate (CD 8)",826,837,11,"1,674"
"Fairfax County",-,"614 - Riverside (CD 8)",610,457,7,"1,074"
"Fairfax County",-,"615 - Woodley (CD 8)",721,467,6,"1,194"
"Fairfax County",-,"616 - Gunston (CD 8)",563,487,3,"1,053"
"Fairfax County",-,"617 - Lorton (CD 8)",565,166,1,732
"Fairfax County",-,"618 - Newington (CD 11)","1,176",747,7,"1,930"
"Fairfax County",-,"619 - Belvoir (CD 8)",596,365,4,965
"Fairfax County",-,"621 - Grosvenor (CD 8)",530,205,4,739
"Fairfax County",-,"622 - Lorton Station (CD 8)",854,274,3,"1,131"
"Fairfax County",-,"623 - Alban (CD 8)",689,357,3,"1,049"
"Fairfax County",-,"625 - Lorton Center (CD 8)",494,279,2,775
"Fairfax County",-,"626 - Saratoga (CD 8)",908,575,6,"1,489"
"Fairfax County",-,"627 - Woodlawn (CD 8)",840,297,3,"1,140"
"Fairfax County",-,"628 - Laurel Hill (CD 11)",876,358,6,"1,240"
"Fairfax County",-,"629 - South County (CD 11)",675,537,4,"1,216"
"Fairfax County",-,"701 - Blake (CD 11)","1,153",574,4,"1,731"
"Fairfax County",-,"703 - Fort Buffalo (CD 8)",417,124,3,544
"Fairfax County",-,"704 - Freedom Hill (CD 11)",608,337,3,948
"Fairfax County",-,"705 - Graham - Greenway (CD 8)","1,050",401,4,"1,455"
"Fairfax County",-,"707 - Mantua (CD 11)",706,363,1,"1,070"
"Fairfax County",-,"708 - Marshall (CD 8)","1,242",496,6,"1,744"
"Fairfax County",-,"709 - Mosby (CD 11)",837,338,6,"1,181"
"Fairfax County",-,"710 - Pine Spring (CD 8)",703,252,14,969
"Fairfax County",-,"711 - Price (CD 11)",622,317,7,946
"Fairfax County",-,"712 - Shreve (CD 8)",546,218,1,765
"Fairfax County",-,"713 - Timber Lane (CD 8)",872,321,6,"1,199"
"Fairfax County",-,"714 - Walker (CD 11)",847,428,4,"1,279"
"Fairfax County",-,"717 - Woodburn (CD 11)",564,245,2,811
"Fairfax County",-,"718 - Pine Ridge (CD 11)",580,327,5,912
"Fairfax County",-,"719 - Stenwood (CD 11)",356,174,0,530
"Fairfax County",-,"720 - Thoreau (CD 11)",583,321,4,908
"Fairfax County",-,"721 - Merrifield (CD 11)",890,377,9,"1,276"
"Fairfax County",-,"726 - Magarity (CD 8)",838,375,7,"1,220"
"Fairfax County",-,"727 - Oakton (CD 11)",767,509,2,"1,278"
"Fairfax County",-,"729 - Nottoway (CD 11)","1,027",479,9,"1,515"
"Fairfax County",-,"730 - Penderbrook (CD 11)",754,475,2,"1,231"
"Fairfax County",-,"731 - Tysons (CD 11)",556,311,2,869
"Fairfax County",-,"732 - Oak Marr (CD 11)",923,639,3,"1,565"
"Fairfax County",-,"733 - Kilmer (CD 11)","1,054",475,4,"1,533"
"Fairfax County",-,"734 - Hunters Branch (CD 11)",476,214,2,692
"Fairfax County",-,"801 - Burke (CD 11)","1,141",611,6,"1,758"
"Fairfax County",-,"802 - Cedar Lake (CD 11)",277,146,2,425
"Fairfax County",-,"803 - Clifton (CD 10)",876,"1,027",4,"1,907"
"Fairfax County",-,"804 - Colchester (CD 10)",404,426,2,832
"Fairfax County",-,"805 - Fairfax Station (CD 10)",420,384,3,807
"Fairfax County",-,"806 - Sydenstricker (CD 11)",819,640,5,"1,464"
"Fairfax County",-,"807 - Hunt Valley (CD 11)",588,455,5,"1,048"
"Fairfax County",-,"811 - Pohick (CD 11)",551,279,3,833
"Fairfax County",-,"812 - Valley (CD 11)",726,523,3,"1,252"
"Fairfax County",-,"815 - Woodyard (CD 10)",638,631,2,"1,271"
"Fairfax County",-,"824 - Orange (CD 11)","1,082",880,8,"1,970"
"Fairfax County",-,"825 - Cherry Run (CD 11)",780,547,7,"1,334"
"Fairfax County",-,"827 - Irving (CD 11)",773,472,6,"1,251"
