County/City,Ward,Pct,"Barack Obama","John McCain","Ralph Nader","Bob Barr","Chuck Baldwin","Cynthia McKinney","All Others","Total Votes Cast"
"Albemarle County",-,"405 - Cale (CD 5)","1,932",930,6,5,1,1,6,"2,881"
"Albemarle County",-,"406 - Stone Robinson (CD 5)",811,"1,098",4,9,3,0,4,"1,929"
"Albemarle County",-,"501 - Keswick (CD 5)",567,380,2,3,1,0,4,957
"Albemarle County",-,"502 - Stony Point (CD 5)",528,507,5,5,3,1,3,"1,052"
"Albemarle County",-,"503 - Hollymead (CD 5)","1,627","1,564",9,15,5,0,4,"3,224"
"Albemarle County",-,"504 - Free Bridge (CD 5)","1,237",794,10,11,3,0,3,"2,058"
"Albemarle County",-,"505 - Burnley (CD 5)",586,427,4,5,12,0,0,"1,034"
"Albemarle County",-,"601 - Crozet (CD 5)","1,386","1,087",16,21,1,3,5,"2,519"
"Albemarle County",-,"602 - Free Union (CD 5)",506,457,4,6,4,0,0,977
"Albemarle County",-,"603 - Earlysville (CD 5)","1,057","1,093",6,9,3,0,4,"2,172"
"Albemarle County",-,"604 - Brownsville (CD 5)","1,224",967,8,16,4,0,7,"2,226"
"Albemarle County",-,"605 - Yellow Mountain (CD 5)",247,232,0,0,0,1,2,482
"Albemarle County",-,"Ab - Central Absentee Precinct (CD 5)","4,586","2,188",18,20,10,5,19,"6,846"
"Albemarle County",-,"Provisional Votes (CD 5)",23,26,0,0,0,0,0,49
"Alexandria City",-,"101 - Ladrey Senior Building (CD 8)",799,460,7,6,2,1,3,"1,278"
"Alexandria City",-,"102 - City Hall (CD 8)",814,635,3,6,1,2,2,"1,463"
"Alexandria City",-,"103 - Lyles Crouch School (CD 8)",912,622,1,5,0,0,3,"1,543"
"Alexandria City",-,"104 - Durant Center (CD 8)","1,615",594,11,12,5,0,6,"2,243"
"Alexandria City",-,"105 - Lee Center (CD 8)","1,757",782,7,9,7,1,14,"2,577"
"Alexandria City",-,"106 - Cora Kelly Center (CD 8)","2,315",545,6,9,3,0,7,"2,885"
"Alexandria City",-,"107 - Mt Vernon Recreation Center (CD 8)","1,801",621,7,12,4,4,8,"2,457"
"Alexandria City",-,"108 - George Washington Middle Sch (CD 8)","1,347",441,1,4,2,1,5,"1,801"
"Alexandria City",-,"109 - Fire Department Headquarters (CD 8)","1,638",645,4,9,4,3,3,"2,306"
"Alexandria City",-,"201 - Maury School (CD 8)","1,179",562,4,9,2,1,4,"1,761"
"Alexandria City",-,"202 - George Mason School (CD 8)","1,149",641,3,2,4,0,1,"1,800"
"Alexandria City",-,"203 - Agudas Achim Synagogue (CD 8)","1,422",500,5,3,1,1,4,"1,936"
"Alexandria City",-,"204 - Blessed Sacrament Church (CD 8)","1,047",607,9,0,4,1,5,"1,673"
"Alexandria City",-,"205 - Douglas Macarthur School (CD 8)","1,461",829,7,15,2,1,8,"2,323"
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr (CD 8)","1,162",523,4,5,1,0,8,"1,703"
"Alexandria City",-,"207 - Temple Beth El Synagogue (CD 8)","1,498",781,9,4,4,1,16,"2,313"
"Alexandria City",-,"208 - Nova Arts Center (CD 8)","1,697",678,5,9,1,1,8,"2,399"
"Alexandria City",-,"209 - James K Polk School (CD 8)","1,866",618,10,11,6,1,3,"2,515"
"Alexandria City",-,"210 - St James Church (CD 8)",813,391,3,6,0,1,1,"1,215"
"Alexandria City",-,"302 - St Martin Deporres Senior Ctr (CD 8)","1,612",431,7,1,1,2,9,"2,063"
"Alexandria City",-,"303 - Charles E Beatley Library (CD 8)","1,704",490,9,4,3,3,6,"2,219"
"Alexandria City",-,"304 - Samuel Tucker School (CD 8)","2,156",562,6,5,6,0,3,"2,738"
"Alexandria City",-,"305 - John Adams School (CD 8)","2,015",487,8,9,2,2,3,"2,526"
"Alexandria City",-,"306 - William Ramsay School (CD 8)","1,823",454,4,5,0,1,4,"2,291"
"Alexandria City",-,"307 - South Port (CD 8)","1,396",491,4,9,4,2,2,"1,908"
"Alexandria City",-,"308 - Cameron Station Community Ctr (CD 8)","1,472",853,5,14,1,1,4,"2,350"
"Alexandria City",-,"Ab - Central Absentee Precinct (CD 8)","11,928","3,901",38,35,11,9,44,"15,966"
"Alexandria City",-,"Provisional Votes (CD 8)",75,37,0,0,0,0,0,112
"Alleghany County",-,"101 - Arritt (CD 9)",307,325,1,2,1,1,1,638
"Alleghany County",-,"103 - Dameron (CD 9)",97,169,1,0,0,1,0,268
"Alleghany County",-,"201 - Humpback Bridge (CD 6)",163,246,0,2,2,0,1,414
"Alleghany County",-,"202 - Dolly Ann (CD 6)",308,340,4,2,2,1,0,657
"Alleghany County",-,"301 - Callaghan (CD 6)",159,229,1,0,1,2,1,393
"Alleghany County",-,"302 - Griffith (CD 6)",368,437,3,0,2,0,3,813
"Alleghany County",-,"401 - Low Moor (CD 9)",257,314,3,2,4,1,0,581
"Alleghany County",-,"402 - Jackson Heights (CD 9)",209,261,6,0,2,0,0,478
"Alleghany County",-,"501 - Iron Gate (CD 9)",150,126,2,3,0,0,0,281
"Alleghany County",-,"502 - Peters Switch (CD 9)",321,402,15,1,5,0,0,744
"Alleghany County",-,"601 - District 1 (CD 9)",503,406,2,1,3,1,0,916
"Alleghany County",-,"701 - District 2 (CD 9)",466,264,4,1,2,0,1,738
"Alleghany County",-,"Ab - Central Absentee Precinct (CD 6)",86,68,1,0,1,0,0,156
"Alleghany County",-,"Ab - Central Absentee Precinct (CD 9)",158,127,5,0,0,0,0,290
"Alleghany County",-,"Provisional Votes (CD 6)",0,0,0,0,0,0,0,0
"Alleghany County",-,"Provisional Votes (CD 9)",1,1,0,0,0,0,0,2
"Amelia County",-,"101 - Number One (CD 4)",436,625,3,2,1,1,0,"1,068"
"Amelia County",-,"201 - Number Two (CD 4)",434,697,5,1,0,3,1,"1,141"
"Amelia County",-,"301 - Number Three (CD 4)",340,769,1,2,3,2,1,"1,118"
"Amelia County",-,"401 - Number Four (CD 4)",419,805,9,1,10,3,1,"1,248"
"Amelia County",-,"501 - Number Five (CD 4)",561,670,4,4,2,3,0,"1,244"
"Amelia County",-,"Ab - Central Absentee Precinct (CD 4)",298,404,4,2,2,0,0,710
"Amelia County",-,"Provisional Votes (CD 4)",0,0,0,0,0,0,0,0
"Amherst County",-,"101 - Wright Shop (CD 6)",602,354,3,0,1,0,0,960
"Amherst County",-,"102 - New Glasgow (CD 6)",481,580,2,2,2,1,2,"1,070"
"Amherst County",-,"103 - Coolwell (CD 6)",173,336,1,0,1,0,1,512
"Amherst County",-,"201 - Court House (CD 6)",800,"1,067",6,7,4,1,1,"1,886"
"Amherst County",-,"202 - Temperance (CD 6)",286,472,4,3,1,0,0,766
"Amherst County",-,"301 - Monroe (CD 6)",306,489,3,2,3,0,2,805
"Amherst County",-,"302 - Elon (CD 6)",519,"1,296",6,5,6,1,1,"1,834"
"Amherst County",-,"303 - Pleasant View (CD 6)",158,300,0,2,2,0,1,463
"Amherst County",-,"401 - Amelon (CD 6)",826,"1,284",4,5,5,0,3,"2,127"
"Amherst County",-,"402 - Lonco (CD 6)",221,313,3,2,3,0,0,542
"Amherst County",-,"501 - Madison (CD 6)",944,"1,242",3,6,4,4,4,"2,207"
"Amherst County",-,"Ab - Central Absentee Precinct (CD 6)",772,736,4,7,1,0,1,"1,521"
"Amherst County",-,"Provisional Votes (CD 6)",6,1,0,0,0,0,0,7
"Appomattox County",-,"101 - Vera (CD 5)",153,351,1,1,3,1,2,512
"Appomattox County",-,"102 - Pamplin (CD 5)",349,556,1,4,3,5,0,918
"Appomattox County",-,"201 - Chap (CD 5)",236,315,2,2,1,0,0,556
"Appomattox County",-,"202 - Spout Spring (CD 5)",228,642,1,4,3,0,0,878
"Appomattox County",-,"301 - 460 (CD 5)",226,581,1,5,3,1,0,817
"Appomattox County",-,"302 - Stonewall (CD 5)",277,481,0,3,4,0,2,767
"Appomattox County",-,"401 - Courthouse (CD 5)",390,758,2,5,5,1,2,"1,163"
"Appomattox County",-,"501 - Oakville (CD 5)",334,644,0,2,3,0,0,983
"Appomattox County",-,"502 - Agee (CD 5)",178,206,0,1,4,3,0,392
"Appomattox County",-,"Ab - Central Absentee Precinct (CD 5)",270,369,0,3,1,1,0,644
"Appomattox County",-,"Provisional Votes (CD 5)",0,0,0,0,0,0,0,0
"Arlington County",-,"1 - Arlington (CD 8)","1,080",319,7,3,3,1,7,"1,420"
"Arlington County",-,"2 - Ashton Heights (CD 8)","1,051",433,6,8,0,1,9,"1,508"
"Arlington County",-,"3 - Aurora Hills (CD 8)",615,440,4,5,2,0,2,"1,068"
"Arlington County",-,"4 - Ballston (CD 8)",741,344,2,7,0,2,1,"1,097"
"Arlington County",-,"5 - Barcroft (CD 8)",835,376,6,6,1,1,3,"1,228"
"Arlington County",-,"6 - Crystal City (CD 8)",863,466,7,10,3,2,7,"1,358"
"Arlington County",-,"7 - Cherrydale (CD 8)","1,042",512,2,8,1,2,7,"1,574"
"Arlington County",-,"8 - Hume (CD 8)","1,166",622,9,6,4,1,9,"1,817"
"Arlington County",-,"9 - Columbia (CD 8)","1,285",364,4,3,5,2,4,"1,667"
"Arlington County",-,"10 - Wilson (CD 8)","1,169",477,6,11,0,1,2,"1,666"
"Arlington County",-,"11 - East Falls Church (CD 8)",706,412,6,5,4,3,3,"1,139"
"Arlington County",-,"12 - Fairlington (CD 8)","1,105",566,4,7,2,0,7,"1,691"
"Arlington County",-,"13 - Glen Carlyn (CD 8)",675,317,5,5,1,0,3,"1,006"
"Arlington County",-,"14 - Clarendon (CD 8)",905,449,2,13,2,1,1,"1,373"
"Arlington County",-,"15 - Lyon Park (CD 8)","1,137",418,3,14,4,0,3,"1,579"
"Arlington County",-,"16 - Lyon Village (CD 8)","1,091",470,5,6,0,1,9,"1,582"
"Arlington County",-,"17 - Overlee Knolls (CD 8)",935,523,6,4,1,0,3,"1,472"
"Arlington County",-,"18 - Park Lane (CD 8)","1,395",509,8,12,3,0,7,"1,934"
"Arlington County",-,"19 - Rosslyn (CD 8)","1,393",494,5,11,1,0,9,"1,913"
"Arlington County",-,"20 - Thrifton (CD 8)",830,610,3,7,1,0,2,"1,453"
"Arlington County",-,"21 - Virginia Highlands (CD 8)","1,173",636,7,13,3,0,8,"1,840"
"Arlington County",-,"22 - Abingdon (CD 8)","1,301",629,7,14,2,1,2,"1,956"
"Arlington County",-,"23 - Westover (CD 8)",891,339,2,7,1,1,2,"1,243"
"Arlington County",-,"24 - Woodlawn (CD 8)","1,319",493,8,9,2,0,5,"1,836"
"Arlington County",-,"25 - Arlington Forest (CD 8)",888,371,1,9,0,2,5,"1,276"
"Arlington County",-,"26 - Fillmore (CD 8)","1,443",470,16,13,5,4,6,"1,957"
"Arlington County",-,"27 - Jefferson (CD 8)","1,184",484,3,7,1,3,3,"1,685"
"Arlington County",-,"28 - Claremont (CD 8)","1,267",489,7,2,3,2,2,"1,772"
"Arlington County",-,"29 - Dominion Hills (CD 8)",971,500,8,8,1,0,2,"1,490"
"Arlington County",-,"30 - Glebe (CD 8)","1,294",160,7,2,5,1,6,"1,475"
"Arlington County",-,"31 - Lexington (CD 8)","1,018",465,5,4,1,1,3,"1,497"
"Arlington County",-,"32 - Oakridge (CD 8)","1,277",661,6,8,1,1,7,"1,961"
"Arlington County",-,"33 - Rock Spring (CD 8)",904,594,7,4,0,0,0,"1,509"
"Arlington County",-,"34 - Yorktown (CD 8)",882,501,7,7,5,0,6,"1,408"
"Arlington County",-,"35 - Madison (CD 8)",891,742,1,4,2,0,5,"1,645"
"Arlington County",-,"36 - Marshall (CD 8)","1,153",590,7,3,2,1,1,"1,757"
"Arlington County",-,"37 - Nottingham (CD 8)",897,478,7,4,2,1,6,"1,395"
"Arlington County",-,"38 - Arlington View (CD 8)","1,215",302,2,5,1,1,7,"1,533"
"Arlington County",-,"39 - Ashlawn (CD 8)",614,321,0,7,0,1,2,945
"Arlington County",-,"40 - Virginia Square (CD 8)",988,556,3,15,3,0,6,"1,571"
"Arlington County",-,"41 - Woodbury (CD 8)","1,005",429,0,10,1,0,2,"1,447"
"Arlington County",-,"42 - Shirlington (CD 8)","1,019",440,6,6,2,0,7,"1,480"
"Arlington County",-,"43 - Arlington Mill (CD 8)",969,253,6,7,0,4,1,"1,240"
"Arlington County",-,"44 - Dawson Terrace (CD 8)",936,289,4,12,2,1,3,"1,247"
"Arlington County",-,"45 - Buckingham (CD 8)","1,323",516,7,16,6,2,7,"1,877"
"Arlington County",-,"46 - Central (CD 8)","1,319",592,5,18,1,3,6,"1,944"
"Arlington County",-,"47 - Four Mile Run (CD 8)",908,284,3,4,1,0,2,"1,202"
"Arlington County",-,"48 - Courtlands (CD 8)",858,460,2,11,2,1,7,"1,341"
"Arlington County",-,"49 - Monroe (CD 8)",616,263,4,7,1,0,3,894
"Arlington County",-,"50 - Crystal Plaza (CD 8)","1,015",469,2,12,1,0,4,"1,503"
"Arlington County",-,"51 - Taylor (CD 8)",355,154,0,1,0,1,0,511
"Arlington County",-,"Ab - Central Absentee Precinct (CD 8)","27,046","6,800",62,87,27,11,77,"34,110"
"Arlington County",-,"Provisional Votes (CD 8)",36,25,0,0,0,0,0,61
"Augusta County",-,"101 - Jolivue (CD 6)",349,641,4,2,1,0,2,999
"Augusta County",-,"102 - Expo (CD 6)",343,633,2,3,2,0,1,984
"Augusta County",-,"103 - Verona (CD 6)",575,"1,202",11,10,5,2,1,"1,806"
"Augusta County",-,"201 - Crimora (CD 6)",511,"1,165",7,6,4,0,2,"1,695"
"Augusta County",-,"202 - New Hope (CD 6)",338,923,8,4,2,1,3,"1,279"
"Augusta County",-,"203 - Weyers Cave (CD 6)",472,"1,145",5,3,10,0,2,"1,637"
"Augusta County",-,"301 - Fort Defiance (CD 6)",576,"1,383",6,9,13,1,3,"1,991"
"Augusta County",-,"302 - North River (CD 6)",156,465,3,0,3,0,1,628
"Augusta County",-,"303 - Mount Solon (CD 6)",179,719,5,2,2,0,4,911
"Augusta County",-,"304 - Churchville Fire Station (CD 6)",173,561,4,5,1,0,0,744
"Augusta County",-,"401 - Buffalo Gap (CD 6)",236,653,2,6,1,1,1,900
"Augusta County",-,"402 - Churchville Library (CD 6)",244,670,4,1,0,0,1,920
"Augusta County",-,"403 - Craigsville (CD 6)",190,422,5,1,0,1,0,619
"Augusta County",-,"404 - Deerfield (CD 6)",62,200,5,0,1,1,1,270
"Augusta County",-,"405 - Cedar Green (CD 6)",342,616,1,3,2,0,1,965
"Augusta County",-,"501 - Greenville (CD 6)",335,"1,011",3,1,4,1,2,"1,357"
"Augusta County",-,"502 - Middlebrook (CD 6)",216,563,3,3,2,0,4,791
"Augusta County",-,"503 - Spottswood (CD 6)",234,546,4,1,4,1,0,790
"Augusta County",-,"504 - White Hill (CD 6)",353,989,6,4,1,0,3,"1,356"
"Augusta County",-,"601 - Sherando (CD 6)",311,758,2,2,3,0,0,"1,076"
"Augusta County",-,"602 - Stuarts Draft (CD 6)",719,"1,768",16,6,1,2,4,"2,516"
"Augusta County",-,"603 - Lyndhurst (CD 6)",376,825,3,6,2,2,1,"1,215"
"Augusta County",-,"801 - Dooms (CD 6)",367,990,1,1,4,1,1,"1,365"
"Augusta County",-,"802 - Fishersville (CD 6)",772,"1,738",8,10,8,0,3,"2,539"
"Augusta County",-,"803 - Wilson (CD 6)",502,976,1,6,7,1,2,"1,495"
"Augusta County",-,"Ab - Central Absentee Precinct (CD 6)",890,"1,549",6,16,6,5,5,"2,477"
"Augusta County",-,"Provisional Votes (CD 6)",4,9,0,0,0,0,0,13
"Bath County",-,"101 - Warm Springs (CD 6)",158,191,0,1,0,0,1,351
"Bath County",-,"102 - Mountain Grove (CD 6)",24,51,1,0,3,0,0,79
"Bath County",-,"201 - Hot Springs (CD 6)",238,185,2,1,1,0,0,427
"Bath County",-,"301 - Fairview (CD 6)",95,226,2,2,0,1,0,326
"Bath County",-,"302 - Burnsville (CD 6)",40,61,0,0,2,1,1,105
"Bath County",-,"401 - Millboro (CD 6)",181,272,2,1,4,1,1,462
"Bath County",-,"501 - Healing Springs (CD 6)",204,252,3,0,4,1,1,465
"Bath County",-,"Ab - Central Absentee Precinct (CD 6)",103,111,2,0,1,0,0,217
"Bath County",-,"Provisional Votes (CD 6)",0,0,0,0,0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)",872,"1,733",11,10,8,1,3,"2,638"
"Bedford County",-,"102 - Hardy Fire & Rescue Bldg (CD 5)",237,459,7,0,7,0,0,710
"Bedford County",-,"103 - Chamblissburg First Aid Bldg (CD 5)",230,417,0,1,2,0,1,651
"Bedford County",-,"202 - Staunton River High School (CD 5)",382,683,5,7,4,0,2,"1,083"
"Bedford County",-,"203 - Moneta Elem School (CD 5)",710,"1,294",7,7,8,2,4,"2,032"
"Bedford County",-,"204 - Body Camp Elem School (CD 5)",142,192,1,1,0,1,0,337
"Bedford County",-,"205 - Saunders Vol Fire Dept (CD 5)",351,862,3,3,1,0,1,"1,221"
"Bedford County",-,"301 - New London Academy (CD 6)",477,"1,677",3,3,4,0,1,"2,165"
"Bedford County",-,"302 - Bedford County Psa (CD 5)",348,641,4,3,3,1,2,"1,002"
"Bedford County",-,"303 - Bethesda Methodist Church (CD 5)",199,428,2,6,1,1,1,638
"Bedford County",-,"304 - Forest Youth Athletic Assoc (CD 6)",179,586,2,2,2,0,1,772
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",189,387,1,2,1,0,0,580
"Bedford County",-,"401 - Forest Elem School (CD 6)",374,"1,321",3,8,6,2,3,"1,717"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",627,"1,716",5,10,5,0,0,"2,363"
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",516,"1,284",5,6,5,0,2,"1,818"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",186,278,2,1,3,0,0,470
"Bedford County",-,"503 - Sedalia Center (CD 6)",213,444,2,5,3,1,0,668
"Bedford County",-,"504 - Odd Fellows Hall (CD 6)",90,189,1,0,0,0,0,280
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",474,"1,077",3,9,3,1,1,"1,568"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",401,"1,139",4,3,2,0,2,"1,551"
"Bedford County",-,"507 - Pleasant View (CD 6)",47,97,0,0,1,0,0,145
"Bedford County",-,"601 - Montvale Elem School (CD 6)",385,756,7,3,6,1,0,"1,158"
"Bedford County",-,"602 - Shady Grove Baptist Church (CD 5)",375,804,5,0,4,0,0,"1,188"
"Bedford County",-,"603 - Thaxton Elem School (CD 5)",365,749,5,8,6,2,0,"1,135"
"Bedford County",-,"604 - Saunders Grove Brethern Church (CD 5)",78,167,0,0,0,0,0,245
"Bedford County",-,"701 - Goode Rescue Squad (CD 5)",316,"1,113",2,8,1,1,1,"1,442"
"Bedford County",-,"702 - Liberty High School (CD 5)",468,926,4,3,3,2,1,"1,407"
"Bedford County",-,"703 - Bedford Christian Church (CD 5)",480,782,5,2,7,5,0,"1,281"
"Bedford County",-,"704 - Suck Springs (CD 6)",149,262,1,1,3,0,0,416
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",553,912,4,9,2,0,4,"1,484"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",599,"1,032",2,7,3,0,4,"1,647"
"Bedford County",-,"Provisional Votes (CD 5)",3,8,0,0,0,0,0,11
"Bedford County",-,"Provisional Votes (CD 6)",2,5,0,0,0,0,0,7
"Bedford City",-,"1 - Ward One (CD 5)",565,804,10,3,0,3,2,"1,387"
"Bedford City",-,"2 - Ward Two (CD 5)",468,541,4,3,3,0,0,"1,019"
"Bedford City",-,"Ab - Central Absentee Precinct (CD 5)",175,152,0,1,0,0,0,328
"Bedford City",-,"Provisional Votes (CD 5)",0,0,0,0,0,0,0,0
"Bland County",-,"101 - Bastian (CD 9)",104,249,4,0,3,1,0,361
"Bland County",-,"102 - Ceres (CD 9)",82,249,2,0,2,2,1,338
"Bland County",-,"201 - Davis (CD 9)",44,62,2,0,0,0,0,108
"Bland County",-,"202 - Seddon (CD 9)",188,524,4,0,3,0,4,723
"Bland County",-,"301 - Hollybrook (CD 9)",104,222,4,1,1,1,0,333
"Bland County",-,"302 - Mechanicsburg (CD 9)",53,121,3,0,3,0,0,180
"Bland County",-,"401 - Rocky Gap (CD 9)",220,475,11,7,1,4,0,718
"Bland County",-,"Ab - Central Absentee Precinct (CD 9)",69,128,0,0,0,0,0,197
"Bland County",-,"Provisional Votes (CD 9)",0,1,0,0,0,0,0,1
"Botetourt County",-,"101 - Amsterdam (CD 6)",409,674,5,5,0,2,0,"1,095"
"Botetourt County",-,"102 - Asbury (CD 6)",491,"1,287",6,5,6,2,0,"1,797"
"Botetourt County",-,"104 - Troutville (CD 6)",205,429,0,2,4,1,1,642
"Botetourt County",-,"201 - Blue Ridge (CD 6)",540,"1,201",6,9,6,2,0,"1,764"
"Botetourt County",-,"202 - Rainbow Forest (CD 6)",490,965,5,4,5,1,1,"1,471"
"Botetourt County",-,"301 - Buchanan (CD 6)",410,714,8,5,7,2,2,"1,148"
"Botetourt County",-,"302 - Mill Creek (CD 6)",242,512,3,2,2,2,1,764
"Botetourt County",-,"303 - Roaring Run (CD 6)",102,197,2,0,0,0,0,301
"Botetourt County",-,"304 - Springwood (CD 6)",196,418,4,5,12,0,0,635
"Botetourt County",-,"402 - Courthouse (CD 6)",403,687,2,11,8,0,1,"1,112"
"Botetourt County",-,"403 - Eagle Rock (CD 6)",166,375,3,1,4,1,4,554
"Botetourt County",-,"404 - Glen Wilton (CD 6)",179,238,2,2,1,0,1,423
"Botetourt County",-,"405 - Oriskany (CD 6)",14,35,1,0,1,0,0,51
"Botetourt County",-,"406 - Town Hall (CD 6)",247,564,3,3,5,1,2,825
"Botetourt County",-,"501 - Coyner Springs (CD 6)",309,658,2,3,1,1,2,976
"Botetourt County",-,"502 - Cloverdale (CD 6)",698,"1,462",6,8,4,2,6,"2,186"
"Botetourt County",-,"Ab - Central Absentee Precinct (CD 6)",589,"1,050",4,3,5,0,3,"1,654"
"Botetourt County",-,"Provisional Votes (CD 6)",3,5,0,0,0,0,0,8
"Bristol City",-,"1 - First Ward (CD 9)",414,776,10,2,3,0,8,"1,213"
"Bristol City",-,"2 - Second Ward (CD 9)",579,959,7,4,11,1,11,"1,572"
"Bristol City",-,"3 - Third Ward (CD 9)",537,561,6,3,5,1,1,"1,114"
"Bristol City",-,"4 - Fourth Ward (CD 9)",728,"1,783",15,7,8,1,4,"2,546"
"Bristol City",-,"Ab - Central Absentee Precinct (CD 9)",404,497,1,1,2,1,2,908
"Bristol City",-,"Provisional Votes (CD 9)",3,3,0,0,0,0,0,6
"Brunswick County",-,"101 - Brodnax (CD 5)",248,168,0,2,0,3,2,423
"Brunswick County",-,"102 - Rock Store (CD 5)",300,331,2,0,1,0,0,634
"Brunswick County",-,"103 - Tillman (CD 5)",271,379,2,0,2,0,0,654
"Brunswick County",-,"201 - Dromgoole (CD 5)",131,105,0,0,1,1,0,238
"Brunswick County",-,"202 - Edgerton (CD 5)",592,174,0,2,2,1,0,771
"Brunswick County",-,"203 - Fitzhugh (CD 5)",429,162,1,1,1,0,1,595
"Brunswick County",-,"301 - Alberta (CD 4)",74,78,0,3,1,1,1,158
"Brunswick County",-,"302 - Danieltown (CD 4)",399,342,1,1,2,1,0,746
"Brunswick County",-,"303 - Elmore (CD 4)",218,121,0,2,1,0,0,342
"Brunswick County",-,"304 - Seymour (CD 4)",197,121,2,0,0,0,0,320
"Brunswick County",-,"401 - Sturgeon (CD 5)",778,422,2,1,3,3,1,"1,210"
"Brunswick County",-,"402 - King's Store (CD 4)",99,11,0,0,0,0,0,110
"Brunswick County",-,"402 - King's Store (CD 5)",202,96,0,0,0,1,0,299
"Brunswick County",-,"501 - Lawrenceville (CD 5)","1,032",366,3,1,4,2,2,"1,410"
"Brunswick County",-,"Provisional Votes (CD 4)",1,0,0,0,0,0,0,1
"Brunswick County",-,"Provisional Votes (CD 5)",2,1,0,0,0,0,0,3
"Buchanan County",-,"102 - Blackey (CD 9)",145,179,2,0,1,1,5,333
"Buchanan County",-,"103 - Hurley (CD 9)",304,457,2,0,2,2,2,769
