County/City,Ward,Pct,"Glenn Allen Youngkin","Terence Richard McAuliffe","Princess Latece Teira Blanding","All Others","Total Votes Cast"
"Alleghany County",-,"402 - Jackson Heights",359,82,0,0,441
"Alleghany County",-,"501 - Iron Gate",147,59,2,0,208
"Alleghany County",-,"502 - Peters Switch",530,106,2,2,640
"Alleghany County",-,"601 - District 1",462,228,1,0,691
"Alleghany County",-,"701 - District 2",274,175,5,0,454
"Alleghany County",-,"##ab - Central Absentee Precinct",107,203,5,0,315
"Alleghany County",-,"##ev - Central Absentee Precinct",396,253,3,0,652
"Alleghany County",-,"##pe - Central Absentee Precinct",1,1,0,0,2
"Alleghany County",-,Provisional,0,0,0,0,0
"Amelia County",-,"101 - Number One",601,139,1,0,741
"Amelia County",-,"201 - Number Two",673,185,1,0,859
"Amelia County",-,"301 - Number Three",644,146,5,0,795
"Amelia County",-,"401 - Number Four",586,123,2,0,711
"Amelia County",-,"501 - Number Five",737,269,7,1,"1,014"
"Amelia County",-,"##ab - Central Absentee Precinct",101,156,1,0,258
"Amelia County",-,"##ev - Central Absentee Precinct","1,372",590,4,1,"1,967"
"Amelia County",-,"##pe - Central Absentee Precinct",5,6,2,0,13
"Amelia County",-,Provisional,1,3,0,0,4
"Amherst County",-,"101 - Wright Shop",391,276,3,0,670
"Amherst County",-,"102 - New Glasgow",668,162,3,0,833
"Amherst County",-,"103 - Coolwell",395,70,3,1,469
"Amherst County",-,"201 - Court House",857,344,8,0,"1,209"
"Amherst County",-,"202 - Temperance",510,107,1,0,618
"Amherst County",-,"301 - Monroe",481,123,7,0,611
"Amherst County",-,"302 - Elon","1,231",275,8,0,"1,514"
"Amherst County",-,"303 - Pleasant View",305,63,2,0,370
"Amherst County",-,"401 - Amelon","1,102",327,8,1,"1,438"
"Amherst County",-,"402 - Lonco",326,81,1,0,408
"Amherst County",-,"501 - Madison","1,092",430,8,0,"1,530"
"Amherst County",-,"##ab - Central Absentee Precinct",370,594,11,3,978
"Amherst County",-,"##ev - Central Absentee Precinct","1,996","1,036",7,1,"3,040"
"Amherst County",-,"##pe - Central Absentee Precinct",4,8,0,0,12
"Amherst County",-,Provisional,3,1,2,0,6
"Appomattox County",-,"101 - Vera",347,45,2,1,395
"Appomattox County",-,"102 - Pamplin",544,129,0,0,673
"Appomattox County",-,"201 - Chap",204,57,0,0,261
"Appomattox County",-,"202 - Spout Spring",789,68,4,0,861
"Appomattox County",-,"301 - Us 460",498,68,3,1,570
"Appomattox County",-,"302 - Stonewall",558,117,1,0,676
"Appomattox County",-,"401 - Courthouse",644,137,2,0,783
"Appomattox County",-,"501 - Oakville",562,166,2,1,731
"Appomattox County",-,"502 - Agee",223,58,0,0,281
"Appomattox County",-,"##ab - Central Absentee Precinct",109,145,5,1,260
"Appomattox County",-,"##ev - Central Absentee Precinct","1,490",443,6,1,"1,940"
"Appomattox County",-,"##pe - Central Absentee Precinct",2,5,0,0,7
"Appomattox County",-,Provisional,1,0,1,0,2
"Arlington County",-,"1 - Arlington",224,682,8,3,917
"Arlington County",-,"2 - Ashton Heights",305,790,7,0,"1,102"
"Arlington County",-,"3 - Aurora Hills",268,491,0,1,760
"Arlington County",-,"4 - Ballston",318,870,5,1,"1,194"
"Arlington County",-,"5 - Barcroft",292,810,6,1,"1,109"
"Arlington County",-,"6 - Crystal City",245,578,8,1,832
"Arlington County",-,"7 - Cherrydale",329,786,6,3,"1,124"
"Arlington County",-,"8 - Hume",348,951,11,5,"1,315"
"Arlington County",-,"9 - Columbia",313,870,10,3,"1,196"
"Arlington County",-,"10 - Wilson",299,732,9,1,"1,041"
"Arlington County",-,"11 - East Falls Church",267,644,3,0,914
"Arlington County",-,"12 - Fairlington",348,944,11,0,"1,303"
"Arlington County",-,"13 - Glen Carlyn",230,559,6,2,797
"Arlington County",-,"14 - Clarendon",199,547,4,0,750
"Arlington County",-,"15 - Lyon Park",179,456,4,1,640
"Arlington County",-,"16 - Lyon Village",304,728,4,5,"1,041"
"Arlington County",-,"17 - Overlee Knolls",389,911,2,5,"1,307"
"Arlington County",-,"18 - Park Lane",376,879,11,2,"1,268"
"Arlington County",-,"19 - Rosslyn",284,696,8,1,989
"Arlington County",-,"20 - Thrifton",334,562,3,1,900
"Arlington County",-,"21 - Virginia Highlands",178,450,2,0,630
"Arlington County",-,"22 - Abingdon",295,873,9,4,"1,181"
"Arlington County",-,"23 - Westover",300,890,3,4,"1,197"
"Arlington County",-,"24 - Woodlawn",359,"1,033",8,1,"1,401"
"Arlington County",-,"25 - Arlington Forest",276,750,6,1,"1,033"
"Arlington County",-,"26 - Fillmore",301,893,13,0,"1,207"
"Arlington County",-,"27 - Jefferson",291,845,9,0,"1,145"
"Arlington County",-,"28 - Wakefield",281,888,5,2,"1,176"
"Arlington County",-,"29 - Dominion Hills",307,823,5,0,"1,135"
"Arlington County",-,"30 - Glebe",222,747,2,0,971
"Arlington County",-,"31 - Lexington",329,911,3,3,"1,246"
"Arlington County",-,"32 - Oakridge",179,293,4,0,476
"Arlington County",-,"33 - Rock Spring",430,670,3,0,"1,103"
"Arlington County",-,"34 - Yorktown",347,725,2,1,"1,075"
"Arlington County",-,"35 - Madison",434,552,1,2,989
"Arlington County",-,"36 - Marshall",351,738,14,2,"1,105"
"Arlington County",-,"37 - Nottingham",356,749,3,1,"1,109"
"Arlington County",-,"38 - Arlington View",189,631,17,2,839
"Arlington County",-,"39 - Ashlawn",174,502,2,1,679
"Arlington County",-,"40 - Virginia Square",373,859,8,1,"1,241"
"Arlington County",-,"41 - Navy League",207,529,4,2,742
"Arlington County",-,"42 - Shirlington",189,604,5,0,798
"Arlington County",-,"43 - Campbell",164,578,10,3,755
"Arlington County",-,"44 - Dawson Terrace",170,539,3,3,715
"Arlington County",-,"45 - Buckingham",206,536,5,1,748
"Arlington County",-,"46 - Central",374,852,9,1,"1,236"
"Arlington County",-,"47 - Four Mile Run",169,601,5,0,775
"Arlington County",-,"48 - Ausa",223,446,2,0,671
"Arlington County",-,"49 - Monroe",219,550,0,2,771
"Arlington County",-,"50 - Crystal Plaza",290,643,6,1,940
"Arlington County",-,"51 - Taylor",83,283,1,0,367
"Arlington County",-,"52 - Gunston",184,592,4,0,780
"Arlington County",-,"53 - Met Park",311,870,8,1,"1,190"
"Arlington County",-,"54 - Garfield Park",132,351,2,2,487
"Arlington County",-,"##ab - Central Absentee Precinct","1,688","11,900",123,15,"13,726"
"Arlington County",-,"##ev - Central Absentee Precinct","4,901","22,713",105,24,"27,743"
"Arlington County",-,"##pe - Central Absentee Precinct",160,800,14,0,974
"Arlington County",-,Provisional,55,318,3,0,376
"Augusta County",-,"101 - Jolivue",454,123,3,0,580
"Augusta County",-,"102 - Stuarts Draft Elementary",563,167,6,1,737
"Augusta County",-,"103 - Verona",794,172,13,0,979
"Augusta County",-,"201 - Crimora","1,093",161,7,0,"1,261"
"Augusta County",-,"202 - New Hope",735,116,5,0,856
"Augusta County",-,"203 - Weyers Cave","1,009",232,6,2,"1,249"
"Augusta County",-,"301 - Fort Defiance","1,187",280,11,0,"1,478"
"Augusta County",-,"302 - North River",463,64,0,0,527
"Augusta County",-,"303 - Mount Solon",726,62,7,0,795
"Augusta County",-,"304 - Churchville Fire Station",537,91,3,0,631
"Augusta County",-,"401 - Buffalo Gap",644,89,7,0,740
"Augusta County",-,"402 - Churchville Elementary",628,87,4,0,719
"Augusta County",-,"403 - Craigsville",535,59,2,0,596
"Augusta County",-,"404 - Deerfield",253,44,2,0,299
"Augusta County",-,"405 - Cedar Green",643,177,2,0,822
"Augusta County",-,"501 - Greenville","1,004",157,3,1,"1,165"
"Augusta County",-,"502 - Middlebrook",567,94,3,0,664
"Augusta County",-,"503 - Spottswood",614,93,4,0,711
"Augusta County",-,"504 - White Hill",945,144,5,0,"1,094"
"Augusta County",-,"601 - Sherando",782,137,3,0,922
"Augusta County",-,"602 - Ridgeview","1,462",248,7,2,"1,719"
"Augusta County",-,"603 - Lyndhurst",945,238,7,0,"1,190"
"Augusta County",-,"801 - Dooms",777,152,6,0,935
"Augusta County",-,"802 - Fishersville","1,130",345,8,2,"1,485"
"Augusta County",-,"803 - Wilson",834,323,7,0,"1,164"
"Augusta County",-,"##ab - Central Absentee Precinct",881,"1,024",10,3,"1,918"
"Augusta County",-,"##ev - Central Absentee Precinct","5,941","2,297",26,5,"8,269"
"Augusta County",-,"##pe - Central Absentee Precinct",29,33,2,0,64
"Augusta County",-,Provisional,21,22,1,0,44
"Bath County",-,"101 - Warm Springs",210,64,1,1,276
"Bath County",-,"102 - Mountain Grove",52,9,0,0,61
"Bath County",-,"201 - Hot Springs",169,54,2,0,225
"Bath County",-,"301 - Fairview",241,24,1,0,266
"Bath County",-,"302 - Burnsville",59,7,0,0,66
"Bath County",-,"401 - Millboro",324,42,3,0,369
"Bath County",-,"501 - Healing Springs",276,72,1,0,349
"Bath County",-,"##ab - Central Absentee Precinct",28,37,1,0,66
"Bath County",-,"##ev - Central Absentee Precinct",175,86,1,0,262
"Bath County",-,"##pe - Central Absentee Precinct",5,1,1,0,7
"Bath County",-,Provisional,0,0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)","1,123",178,5,1,"1,307"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",509,106,2,2,619
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",760,140,9,1,910
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",736,126,2,1,865
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",338,57,4,0,399
"Bedford County",-,"202 - Staunton River High School (CD 5)",602,91,2,0,695
"Bedford County",-,"203 - Moneta Elem School (CD 5)","1,008",190,3,1,"1,202"
"Bedford County",-,"204 - Quaker Baptist Church (CD 5)",365,59,4,0,428
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",850,193,4,1,"1,048"
"Bedford County",-,"301 - New London Academy (CD 6)","1,105",151,4,2,"1,262"
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",559,99,2,2,662
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",477,68,2,0,547
"Bedford County",-,"304 - Riverside Church (CD 6)",463,95,1,0,559
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",401,61,1,1,464
"Bedford County",-,"306 - Forest Fire Station #2 (CD 6)",658,68,2,0,728
"Bedford County",-,"401 - Forest Elementary School (CD 6)","1,211",234,5,1,"1,451"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",601,158,8,0,767
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)","1,367",302,6,1,"1,676"
"Bedford County",-,"404 - Forest Recreation Center (CD 6)","1,003",148,2,2,"1,155"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",312,58,2,0,372
"Bedford County",-,"503 - Sedalia Center (CD 6)",422,65,4,1,492
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",567,88,0,0,655
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",948,333,6,0,"1,287"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)","1,550",322,1,0,"1,873"
"Bedford County",-,"601 - Montvale Elem School (CD 6)",775,116,2,1,894
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",851,132,3,0,986
"Bedford County",-,"603 - Thaxton Baptist Church #1 (CD 5)",207,34,0,0,241
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",813,193,5,0,"1,011"
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)","1,197",157,2,2,"1,358"
"Bedford County",-,"702 - Liberty High School (CD 5)",474,70,0,0,544
"Bedford County",-,"703 - Thaxton Baptist Church #2 (CD 5)",438,61,2,0,501
"Bedford County",-,"704 - Bedford Central Library (CD 5)",736,243,5,0,984
"Bedford County",-,"##ab - Central Absentee Precinct (CD 5)",376,629,9,0,"1,014"
"Bedford County",-,"##ab - Central Absentee Precinct (CD 6)",581,688,15,0,"1,284"
"Bedford County",-,"##ev - Central Absentee Precinct (CD 5)","3,816","1,315",16,0,"5,147"
"Bedford County",-,"##ev - Central Absentee Precinct (CD 6)","2,598",880,5,1,"3,484"
"Bedford County",-,"##pe - Central Absentee Precinct (CD 5)",44,32,0,0,76
"Bedford County",-,"##pe - Central Absentee Precinct (CD 6)",35,50,0,0,85
"Bedford County",-,"Provisional (CD 5)",11,4,0,0,15
"Bedford County",-,"Provisional (CD 6)",25,7,0,0,32
"Bland County",-,"101 - Bastian",213,30,0,1,244
"Bland County",-,"102 - Ceres",257,36,1,0,294
"Bland County",-,"201 - Davis",73,16,0,0,89
"Bland County",-,"202 - Seddon",428,49,1,0,478
"Bland County",-,"301 - Hollybrook",265,20,2,0,287
"Bland County",-,"302 - Mechanicsburg",136,13,0,0,149
"Bland County",-,"401 - Rocky Gap",466,59,3,0,528
"Bland County",-,"##ab - Central Absentee Precinct",50,63,3,0,116
"Bland County",-,"##ev - Central Absentee Precinct",386,78,2,0,466
"Bland County",-,"##pe - Central Absentee Precinct",0,0,0,0,0
"Bland County",-,Provisional,0,0,0,0,0
"Botetourt County",-,"101 - Daleville",969,281,4,1,"1,255"
"Botetourt County",-,"102 - Greenfield","1,082",203,5,1,"1,291"
"Botetourt County",-,"201 - Blue Ridge","1,059",217,5,0,"1,281"
"Botetourt County",-,"202 - Rainbow Forest","1,031",230,4,0,"1,265"
"Botetourt County",-,"301 - Buchanan",936,157,3,0,"1,096"
"Botetourt County",-,"302 - Mill Creek",848,169,7,1,"1,025"
"Botetourt County",-,"403 - Eagle Rock",642,104,7,0,753
"Botetourt County",-,"406 - Fincastle","1,083",197,2,0,"1,282"
"Botetourt County",-,"501 - Troutville",671,144,1,1,817
"Botetourt County",-,"502 - Cloverdale","1,102",306,6,0,"1,414"
"Botetourt County",-,"##ab - Central Absentee Precinct",435,551,12,2,"1,000"
"Botetourt County",-,"##ev - Central Absentee Precinct","3,182","1,414",5,2,"4,603"
"Botetourt County",-,"##pe - Central Absentee Precinct",23,17,0,0,40
"Botetourt County",-,Provisional,3,0,0,0,3
"Bristol City",-,"1 - First Ward",497,111,4,0,612
"Bristol City",-,"2 - Second Ward",674,204,2,0,880
"Bristol City",-,"3 - Third Ward",311,130,4,0,445
"Bristol City",-,"4 - Fourth Ward","1,279",200,9,0,"1,488"
"Bristol City",-,"##ab - Central Absentee Precinct",196,298,5,1,500
"Bristol City",-,"##ev - Central Absentee Precinct",807,394,6,1,"1,208"
"Bristol City",-,"##pe - Central Absentee Precinct",6,3,0,0,9
"Bristol City",-,Provisional,3,2,0,0,5
"Brunswick County",-,"101 - Brodnax",131,108,3,1,243
"Brunswick County",-,"102 - Rock Store",263,101,0,0,364
"Brunswick County",-,"103 - Tillman",331,150,0,0,481
"Brunswick County",-,"201 - Dromgoole",88,57,0,0,145
"Brunswick County",-,"202 - Edgerton",96,200,1,0,297
"Brunswick County",-,"203 - Fitzhugh",132,163,2,0,297
"Brunswick County",-,"301 - Alberta",58,59,0,0,117
"Brunswick County",-,"302 - Danieltown",291,152,4,0,447
"Brunswick County",-,"303 - Elmore",118,81,2,0,201
"Brunswick County",-,"304 - Seymour",117,89,3,0,209
"Brunswick County",-,"401 - Sturgeon",285,263,1,0,549
"Brunswick County",-,"402 - King's Store",75,144,0,0,219
"Brunswick County",-,"501 - Totaro",120,296,4,2,422
"Brunswick County",-,"##ab - Central Absentee Precinct",93,309,5,1,408
"Brunswick County",-,"##ev - Central Absentee Precinct",679,989,9,1,"1,678"
"Brunswick County",-,"##pe - Central Absentee Precinct",1,2,0,0,3
"Brunswick County",-,Provisional,2,2,0,0,4
"Buchanan County",-,"102 - Blackey",235,11,1,0,247
"Buchanan County",-,"103 - Hurley",429,39,0,0,468
"Buchanan County",-,"201 - Grassy",55,17,0,0,72
"Buchanan County",-,"202 - Bull",299,32,0,0,331
"Buchanan County",-,"203 - Rocklick",281,29,1,3,314
"Buchanan County",-,"301 - Slate",317,51,0,0,368
"Buchanan County",-,"302 - North Grundy",266,38,0,0,304
"Buchanan County",-,"403 - South Grundy",425,53,1,0,479
"Buchanan County",-,"404 - Oakwood",46,11,0,0,57
"Buchanan County",-,"501 - Prater",287,57,0,0,344
"Buchanan County",-,"502 - Fox",71,21,0,0,92
"Buchanan County",-,"503 - Vansant",300,45,0,1,346
"Buchanan County",-,"601 - Council",207,27,0,0,234
"Buchanan County",-,"602 - Garden",295,46,2,0,343
"Buchanan County",-,"603 - Hurricane",170,49,1,0,220
"Buchanan County",-,"701 - Whitewood",343,57,0,0,400
"Buchanan County",-,"702 - Contrary",288,32,0,1,321
"Buchanan County",-,"##ab - Central Absentee Precinct",138,118,2,0,258
"Buchanan County",-,"##ev - Central Absentee Precinct",626,170,0,1,797
"Buchanan County",-,"##pe - Central Absentee Precinct",4,0,0,0,4
"Buchanan County",-,Provisional,1,0,0,0,1
"Buckingham County",-,"101 - New Canton",403,206,4,0,613
"Buckingham County",-,"102 - Georgia Creek",137,53,0,0,190
"Buckingham County",-,"201 - White Hall",213,126,2,1,342
"Buckingham County",-,"301 - Curdsville",315,133,2,0,450
"Buckingham County",-,"302 - New Store",293,56,1,0,350
"Buckingham County",-,"401 - Maysville",464,156,2,0,622
"Buckingham County",-,"501 - Wrights",212,45,1,0,258
"Buckingham County",-,"502 - Glenmore",267,130,1,0,398
"Buckingham County",-,"601 - Slate River",308,212,2,0,522
"Buckingham County",-,"701 - Gold Hill",255,107,4,0,366
"Buckingham County",-,"##ab - Central Absentee Precinct",118,269,7,0,394
"Buckingham County",-,"##ev - Central Absentee Precinct",903,722,9,1,"1,635"
"Buckingham County",-,"##pe - Central Absentee Precinct",4,4,0,0,8
"Buckingham County",-,Provisional,2,3,0,0,5
"Buena Vista City",-,"1 - First Ward",590,112,9,1,712
"Buena Vista City",-,"2 - Second Ward",425,93,7,0,525
"Buena Vista City",-,"##ab - Central Absentee Precinct",54,89,5,0,148
"Buena Vista City",-,"##ev - Central Absentee Precinct",388,182,1,0,571
"Buena Vista City",-,"##pe - Central Absentee Precinct",1,5,0,0,6
"Buena Vista City",-,Provisional,1,0,0,0,1
"Campbell County",-,"101 - Brookville","1,185",234,6,1,"1,426"
"Campbell County",-,"102 - New London","1,248",198,5,0,"1,451"
"Campbell County",-,"201 - Walker",853,203,4,0,"1,060"
"Campbell County",-,"202 - Bedford Springs","1,371",215,6,1,"1,593"
"Campbell County",-,"301 - Evington",519,106,6,0,631
"Campbell County",-,"302 - Otter River",440,72,0,0,512
"Campbell County",-,"303 - Altavista",986,329,10,3,"1,328"
"Campbell County",-,"401 - Three Forks",870,101,0,1,972
"Campbell County",-,"402 - Court House","1,254",204,4,1,"1,463"
"Campbell County",-,"501 - Spring Hill","1,140",219,3,1,"1,363"
"Campbell County",-,"502 - Yellow Branch",702,179,2,0,883
"Campbell County",-,"601 - Kings",723,177,0,0,900
"Campbell County",-,"602 - Concord","1,096",212,2,2,"1,312"
"Campbell County",-,"701 - Brookneal",581,140,2,0,723
"Campbell County",-,"702 - Gladys",743,191,1,0,935
"Campbell County",-,"703 - Morris Church",442,84,2,0,528
"Campbell County",-,"##ab - Central Absentee Precinct",354,588,14,0,956
"Campbell County",-,"##ev - Central Absentee Precinct","3,699","1,474",10,5,"5,188"
"Campbell County",-,"##pe - Central Absentee Precinct",7,4,0,0,11
"Campbell County",-,Provisional,0,0,0,0,0
"Caroline County",-,"101 - Bowling Green",612,196,2,0,810
"Caroline County",-,"102 - Sparta",520,173,2,1,696
"Caroline County",-,"201 - North Madison",395,297,2,1,695
"Caroline County",-,"202 - South Madison",603,312,12,0,927
"Caroline County",-,"301 - Port Royal",273,152,3,0,428
"Caroline County",-,"302 - Woodford",722,319,5,0,"1,046"
"Caroline County",-,"401 - Dawn",537,481,10,1,"1,029"
"Caroline County",-,"402 - Carmel Church",200,202,2,0,404
"Caroline County",-,"501 - West Mattaponi",347,316,12,0,675
"Caroline County",-,"502 - Milford",397,173,3,0,573
"Caroline County",-,"601 - Chilesburg",568,321,7,1,897
"Caroline County",-,"602 - Lake",411,215,6,0,632
"Caroline County",-,"##ab - Central Absentee Precinct",205,580,10,2,797
"Caroline County",-,"##ev - Central Absentee Precinct","1,112","1,278",15,2,"2,407"
"Caroline County",-,"##pe - Central Absentee Precinct",8,16,0,0,24
"Caroline County",-,Provisional,7,14,0,0,21
"Carroll County",-,"101 - Mt Bethel",338,52,2,0,392
"Carroll County",-,"102 - St Paul",510,57,1,0,568
"Carroll County",-,"103 - Lambsburg",300,35,0,0,335
"Carroll County",-,"105 - Fancy Gap",406,76,0,0,482
"Carroll County",-,"201 - Hillsville B",761,143,1,0,905
"Carroll County",-,"202 - Laurel Fork",369,64,3,0,436
"Carroll County",-,"203 - Gladesboro",477,73,2,0,552
"Carroll County",-,"301 - Hillsville C",949,124,7,0,"1,080"
"Carroll County",-,"302 - Sylvatus",423,52,0,0,475
"Carroll County",-,"303 - Dugspur",220,33,1,0,254
"Carroll County",-,"401 - Oakland",808,109,3,1,921
"Carroll County",-,"402 - Woodlawn D",707,72,5,1,785
"Carroll County",-,"406 - Woodlawn F",124,26,1,0,151
"Carroll County",-,"501 - Vaughan",299,32,0,0,331
"Carroll County",-,"502 - Gladeville",733,77,3,0,813
"Carroll County",-,"503 - Woodlawn E",342,46,2,0,390
"Carroll County",-,"504 - Laurel",399,55,0,0,454
