County/City,Ward,Pct,"Timothy Michael Kaine","Corey Alan Stewart","Matthew Joseph Waters","All Others","Total Votes Cast"
"Albemarle County",-,"407 - Biscuit Run",959,232,44,2,"1,237"
"Albemarle County",-,"501 - Keswick",589,343,10,0,942
"Albemarle County",-,"502 - Stony Point",548,454,23,0,"1,025"
"Albemarle County",-,"503 - Hollymead","1,051",467,36,1,"1,555"
"Albemarle County",-,"504 - Free Bridge","1,054",403,27,1,"1,485"
"Albemarle County",-,"506 - Baker-butler","1,245",836,44,5,"2,130"
"Albemarle County",-,"507 - Pantops",934,417,21,2,"1,374"
"Albemarle County",-,"601 - Crozet","1,365",699,53,2,"2,119"
"Albemarle County",-,"602 - Free Union",516,392,8,0,916
"Albemarle County",-,"603 - Earlysville","1,176",912,39,4,"2,131"
"Albemarle County",-,"604 - Brownsville","1,096",570,41,5,"1,712"
"Albemarle County",-,"606 - Mechums River","1,426",695,61,4,"2,186"
"Albemarle County",-,"Ab - Central Absentee Precinct","4,044","1,314",85,13,"5,456"
"Albemarle County",-,Provisional,38,18,0,0,56
"Alexandria City",-,"101 - Ladrey Senior Building","1,109",357,37,4,"1,507"
"Alexandria City",-,"102 - City Hall","1,007",406,24,18,"1,455"
"Alexandria City",-,"103 - Lyles Crouch School","1,671",522,63,8,"2,264"
"Alexandria City",-,"104 - Durant Center","1,420",266,58,12,"1,756"
"Alexandria City",-,"105 - Lee Center","2,112",453,62,11,"2,638"
"Alexandria City",-,"106 - Cora Kelly","2,135",259,62,7,"2,463"
"Alexandria City",-,"107 - Mt Vernon Recreation Center","2,309",314,67,17,"2,707"
"Alexandria City",-,"108 - George Washington Middle Sch","2,293",319,72,13,"2,697"
"Alexandria City",-,"109 - Fire Department Headquarters","1,215",352,30,10,"1,607"
"Alexandria City",-,"110 - Charles Houston Center","1,579",245,64,13,"1,901"
"Alexandria City",-,"111 - Potomac Yard",767,188,28,3,986
"Alexandria City",-,"201 - Maury School","1,454",282,45,12,"1,793"
"Alexandria City",-,"202 - George Mason School","1,365",396,46,17,"1,824"
"Alexandria City",-,"203 - Agudas Achim Synagogue","1,534",279,48,5,"1,866"
"Alexandria City",-,"204 - Blessed Sacrament Church","1,335",363,48,24,"1,770"
"Alexandria City",-,"205 - Douglas Macarthur School","1,721",429,67,18,"2,235"
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr","1,280",297,40,7,"1,624"
"Alexandria City",-,"207 - Temple Beth El Synagogue","1,642",468,59,17,"2,186"
"Alexandria City",-,"208 - Nova Arts Center","1,874",340,56,7,"2,277"
"Alexandria City",-,"209 - James K Polk School","1,850",352,36,10,"2,248"
"Alexandria City",-,"210 - The Hermitage",871,231,22,4,"1,128"
"Alexandria City",-,"302 - Patrick Henry Rec Center","1,364",217,32,7,"1,620"
"Alexandria City",-,"303 - Charles E Beatley Library","1,602",219,36,3,"1,860"
"Alexandria City",-,"304 - Samuel Tucker School","2,341",315,34,6,"2,696"
"Alexandria City",-,"305 - John Adams School","1,647",213,57,3,"1,920"
"Alexandria City",-,"306 - William Ramsay School","1,744",235,28,2,"2,009"
"Alexandria City",-,"307 - South Port","1,453",303,23,1,"1,780"
"Alexandria City",-,"308 - Cameron Station Community Ctr","1,628",503,33,7,"2,171"
"Alexandria City",-,"Ab - Central Absentee Precinct","8,891","1,584",186,36,"10,697"
"Alexandria City",-,Provisional,94,27,5,1,127
"Alleghany County",-,"101 - Arritt",136,332,4,0,472
"Alleghany County",-,"103 - Dameron",50,126,3,0,179
"Alleghany County",-,"201 - Humpback Bridge",90,223,2,0,315
"Alleghany County",-,"202 - Dolly Ann",117,272,6,0,395
"Alleghany County",-,"301 - Callaghan",55,222,3,0,280
"Alleghany County",-,"302 - Griffith",159,355,6,0,520
"Alleghany County",-,"401 - Low Moor",125,242,3,0,370
"Alleghany County",-,"402 - Jackson Heights",143,325,10,0,478
"Alleghany County",-,"501 - Iron Gate",97,125,5,0,227
"Alleghany County",-,"502 - Peters Switch",163,431,9,0,603
"Alleghany County",-,"601 - District 1",377,384,8,0,769
"Alleghany County",-,"701 - District 2",304,240,6,1,551
"Alleghany County",-,"Ab - Central Absentee Precinct",136,156,1,1,294
"Alleghany County",-,Provisional,0,0,0,0,0
"Amelia County",-,"101 - Number One",292,605,7,0,904
"Amelia County",-,"201 - Number Two",411,711,15,1,"1,138"
"Amelia County",-,"301 - Number Three",286,758,22,1,"1,067"
"Amelia County",-,"401 - Number Four",291,712,16,1,"1,020"
"Amelia County",-,"501 - Number Five",473,742,17,0,"1,232"
"Amelia County",-,"Ab - Central Absentee Precinct",182,290,4,4,480
"Amelia County",-,Provisional,3,5,0,0,8
"Amherst County",-,"101 - Wright Shop",469,325,6,0,800
"Amherst County",-,"102 - New Glasgow",371,675,20,1,"1,067"
"Amherst County",-,"103 - Coolwell",129,394,13,0,536
"Amherst County",-,"201 - Court House",691,957,30,3,"1,681"
"Amherst County",-,"202 - Temperance",182,459,4,0,645
"Amherst County",-,"301 - Monroe",206,489,11,0,706
"Amherst County",-,"302 - Elon",458,"1,242",24,0,"1,724"
"Amherst County",-,"303 - Pleasant View",117,276,9,2,404
"Amherst County",-,"401 - Amelon",622,"1,174",37,2,"1,835"
"Amherst County",-,"402 - Lonco",144,298,9,0,451
"Amherst County",-,"501 - Madison",798,"1,095",40,0,"1,933"
"Amherst County",-,"Ab - Central Absentee Precinct",350,392,12,2,756
"Amherst County",-,Provisional,4,3,0,0,7
"Appomattox County",-,"101 - Vera",99,360,14,0,473
"Appomattox County",-,"102 - Pamplin",242,573,14,1,830
"Appomattox County",-,"201 - Chap",141,178,2,0,321
"Appomattox County",-,"202 - Spout Spring",201,817,13,1,"1,032"
"Appomattox County",-,"301 - Us 460",158,475,7,0,640
"Appomattox County",-,"302 - Stonewall",199,560,8,0,767
"Appomattox County",-,"401 - Courthouse",301,757,22,1,"1,081"
"Appomattox County",-,"501 - Oakville",247,572,8,0,827
"Appomattox County",-,"502 - Agee",113,221,7,0,341
"Appomattox County",-,"Ab - Central Absentee Precinct",127,237,4,0,368
"Appomattox County",-,Provisional,0,1,0,0,1
"Arlington County",-,"1 - Arlington","1,324",200,25,2,"1,551"
"Arlington County",-,"2 - Ashton Heights","1,502",261,44,8,"1,815"
"Arlington County",-,"3 - Aurora Hills",830,233,37,5,"1,105"
"Arlington County",-,"4 - Ballston","1,434",290,58,6,"1,788"
"Arlington County",-,"5 - Barcroft","1,188",231,38,6,"1,463"
"Arlington County",-,"6 - Crystal City","1,116",263,28,6,"1,413"
"Arlington County",-,"7 - Cherrydale","1,392",288,44,5,"1,729"
"Arlington County",-,"8 - Hume","1,604",366,62,12,"2,044"
"Arlington County",-,"9 - Columbia","1,942",353,59,10,"2,364"
"Arlington County",-,"10 - Wilson","1,674",343,64,8,"2,089"
"Arlington County",-,"11 - East Falls Church",985,252,28,5,"1,270"
"Arlington County",-,"12 - Fairlington","1,445",288,68,8,"1,809"
"Arlington County",-,"13 - Glen Carlyn",944,211,27,5,"1,187"
"Arlington County",-,"14 - Clarendon","1,085",211,61,2,"1,359"
"Arlington County",-,"15 - Lyon Park",761,160,25,1,947
"Arlington County",-,"16 - Lyon Village","1,378",265,61,11,"1,715"
"Arlington County",-,"17 - Overlee Knolls","1,475",324,40,9,"1,848"
"Arlington County",-,"18 - Park Lane","2,044",389,72,11,"2,516"
"Arlington County",-,"19 - Rosslyn","1,574",297,45,7,"1,923"
"Arlington County",-,"20 - Thrifton","1,191",367,46,8,"1,612"
"Arlington County",-,"21 - Virginia Highlands",701,179,31,4,915
"Arlington County",-,"22 - Abingdon","1,569",300,61,8,"1,938"
"Arlington County",-,"23 - Westover","1,345",259,51,6,"1,661"
"Arlington County",-,"24 - Woodlawn","1,770",313,59,8,"2,150"
"Arlington County",-,"25 - Arlington Forest","1,354",305,47,10,"1,716"
"Arlington County",-,"26 - Fillmore","1,813",305,79,5,"2,202"
"Arlington County",-,"27 - Jefferson","1,486",281,42,4,"1,813"
"Arlington County",-,"28 - Wakefield","1,654",249,44,7,"1,954"
"Arlington County",-,"29 - Dominion Hills","1,412",277,42,2,"1,733"
"Arlington County",-,"30 - Glebe","1,490",194,42,3,"1,729"
"Arlington County",-,"31 - Lexington","1,479",315,35,5,"1,834"
"Arlington County",-,"32 - Oakridge",577,179,21,4,781
"Arlington County",-,"33 - Rock Spring","1,336",422,32,7,"1,797"
"Arlington County",-,"34 - Yorktown","1,247",291,36,11,"1,585"
"Arlington County",-,"35 - Madison","1,340",564,31,14,"1,949"
"Arlington County",-,"36 - Marshall","1,458",365,52,7,"1,882"
"Arlington County",-,"37 - Nottingham","1,258",326,41,5,"1,630"
"Arlington County",-,"38 - Arlington View","1,352",178,46,3,"1,579"
"Arlington County",-,"39 - Ashlawn",796,169,30,1,996
"Arlington County",-,"40 - Virginia Square","1,720",360,70,8,"2,158"
"Arlington County",-,"41 - Navy League","1,345",229,62,6,"1,642"
"Arlington County",-,"42 - Shirlington","1,192",186,46,4,"1,428"
"Arlington County",-,"43 - Campbell","1,159",126,18,5,"1,308"
"Arlington County",-,"44 - Dawson Terrace","1,105",176,45,3,"1,329"
"Arlington County",-,"45 - Buckingham","1,121",178,44,2,"1,345"
"Arlington County",-,"46 - Central","1,638",307,77,9,"2,031"
"Arlington County",-,"47 - Four Mile Run","1,170",143,38,3,"1,354"
"Arlington County",-,"48 - Ausa","1,042",257,46,6,"1,351"
"Arlington County",-,"49 - Monroe",837,137,44,2,"1,020"
"Arlington County",-,"50 - Crystal Plaza","1,157",297,46,11,"1,511"
"Arlington County",-,"51 - Taylor",386,113,10,2,511
"Arlington County",-,"52 - Gunston","1,092",193,41,8,"1,334"
"Arlington County",-,"53 - Met Park","1,282",287,47,9,"1,625"
"Arlington County",-,"54 - Garfield Park",698,109,43,7,857
"Arlington County",-,"Ab - Central Absentee Precinct","17,893","2,307",335,54,"20,589"
"Arlington County",-,Provisional,96,27,5,1,129
"Augusta County",-,"101 - Jolivue",290,505,16,1,812
"Augusta County",-,"102 - Stuarts Draft Elementary",304,576,17,1,898
"Augusta County",-,"103 - Verona",392,"1,024",36,3,"1,455"
"Augusta County",-,"201 - Crimora",371,"1,084",29,0,"1,484"
"Augusta County",-,"202 - New Hope",234,719,11,1,965
"Augusta County",-,"203 - Weyers Cave",447,"1,005",30,4,"1,486"
"Augusta County",-,"301 - Fort Defiance",670,"1,538",62,2,"2,272"
"Augusta County",-,"302 - North River",137,456,11,0,604
"Augusta County",-,"303 - Mount Solon",126,609,7,2,744
"Augusta County",-,"304 - Churchville Fire Station",175,536,6,0,717
"Augusta County",-,"401 - Buffalo Gap",188,588,16,0,792
"Augusta County",-,"402 - Churchville Elementary",195,611,13,0,819
"Augusta County",-,"403 - Craigsville",103,420,6,0,529
"Augusta County",-,"404 - Deerfield",50,209,5,1,265
"Augusta County",-,"405 - Cedar Green",354,670,22,0,"1,046"
"Augusta County",-,"501 - Greenville",326,991,27,2,"1,346"
"Augusta County",-,"502 - Middlebrook",171,503,16,0,690
"Augusta County",-,"503 - Spottswood",148,537,4,0,689
"Augusta County",-,"504 - White Hill",334,"1,034",36,3,"1,407"
"Augusta County",-,"601 - Sherando",250,689,15,0,954
"Augusta County",-,"602 - Ridgeview",538,"1,504",32,3,"2,077"
"Augusta County",-,"603 - Lyndhurst",462,984,34,3,"1,483"
"Augusta County",-,"801 - Dooms",283,775,15,2,"1,075"
"Augusta County",-,"802 - Fishersville",671,"1,262",32,1,"1,966"
"Augusta County",-,"803 - Wilson",618,912,36,2,"1,568"
"Augusta County",-,"Ab - Central Absentee Precinct",579,"1,048",16,3,"1,646"
"Augusta County",-,Provisional,11,7,0,0,18
"Bath County",-,"101 - Warm Springs",119,167,4,0,290
"Bath County",-,"102 - Mountain Grove",13,43,1,1,58
"Bath County",-,"201 - Hot Springs",104,143,1,1,249
"Bath County",-,"301 - Fairview",57,203,4,0,264
"Bath County",-,"302 - Burnsville",16,46,0,0,62
"Bath County",-,"401 - Millboro",106,253,5,0,364
"Bath County",-,"501 - Healing Springs",114,225,6,4,349
"Bath County",-,"Ab - Central Absentee Precinct",46,62,3,0,111
"Bath County",-,Provisional,1,0,0,0,1
"Bedford County",-,"101 - Goodview Elem School (CD 5)",310,"1,099",22,1,"1,432"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",164,457,4,0,625
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",264,776,10,0,"1,050"
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",228,678,11,1,918
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",152,402,6,0,560
"Bedford County",-,"202 - Staunton River High School (CD 5)",181,533,7,0,721
"Bedford County",-,"203 - Moneta Elem School (CD 5)",417,"1,059",10,0,"1,486"
"Bedford County",-,"204 - Quaker Baptist Church (CD 5)",142,361,7,1,511
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",326,858,11,0,"1,195"
"Bedford County",-,"301 - New London Academy (CD 6)",330,"1,164",38,2,"1,534"
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",253,732,14,1,"1,000"
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",153,475,10,0,638
"Bedford County",-,"304 - The Well Church (CD 6)",178,487,11,0,676
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",99,406,10,0,515
"Bedford County",-,"306 - Forest Fire Station #2 (CD 6)",163,712,9,0,884
"Bedford County",-,"401 - Forest Elementary School (CD 6)",404,"1,206",31,0,"1,641"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",274,625,26,0,925
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",562,"1,324",56,2,"1,944"
"Bedford County",-,"404 - St. Paul Baptist Church (CD 6)",343,"1,086",19,1,"1,449"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",99,270,4,0,373
"Bedford County",-,"503 - Sedalia Center (CD 6)",129,381,8,0,518
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",178,598,15,0,791
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",517,937,32,1,"1,487"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",563,"1,527",46,0,"2,136"
"Bedford County",-,"601 - Montvale Elem School (CD 6)",235,695,18,0,948
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",247,745,8,0,"1,000"
"Bedford County",-,"603 - Thaxton Baptist Church #1 (CD 5)",64,222,4,0,290
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",461,907,35,0,"1,403"
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)",320,"1,213",24,0,"1,557"
"Bedford County",-,"702 - Liberty High School (CD 5)",219,579,9,0,807
"Bedford County",-,"703 - Thaxton Baptist Church #2 (CD 5)",145,462,10,0,617
"Bedford County",-,"704 - Bedford Central Library (CD 5)",624,913,38,0,"1,575"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",457,773,20,2,"1,252"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",428,633,19,0,"1,080"
"Bedford County",-,"Provisional (CD 5)",3,5,0,0,8
"Bedford County",-,"Provisional (CD 6)",0,1,1,0,2
"Bland County",-,"101 - Bastian",61,249,3,2,315
"Bland County",-,"102 - Ceres",62,242,5,0,309
"Bland County",-,"201 - Davis",23,67,2,0,92
"Bland County",-,"202 - Seddon",117,437,9,1,564
"Bland County",-,"301 - Hollybrook",48,230,6,0,284
"Bland County",-,"302 - Mechanicsburg",24,130,0,0,154
"Bland County",-,"401 - Rocky Gap",130,477,5,0,612
"Bland County",-,"Ab - Central Absentee Precinct",39,84,0,0,123
"Bland County",-,Provisional,0,0,0,0,0
"Botetourt County",-,"101 - Daleville",528,"1,003",22,0,"1,553"
"Botetourt County",-,"102 - Greenfield",448,"1,258",31,2,"1,739"
"Botetourt County",-,"201 - Blue Ridge",408,"1,090",27,0,"1,525"
"Botetourt County",-,"202 - Rainbow Forest",433,"1,129",22,0,"1,584"
"Botetourt County",-,"301 - Buchanan",358,916,16,2,"1,292"
"Botetourt County",-,"302 - Mill Creek",358,877,31,1,"1,267"
"Botetourt County",-,"403 - Eagle Rock",219,629,11,0,859
"Botetourt County",-,"406 - Fincastle",545,"1,250",23,1,"1,819"
"Botetourt County",-,"501 - Troutville",237,627,14,1,879
"Botetourt County",-,"502 - Cloverdale",645,"1,357",30,5,"2,037"
"Botetourt County",-,"Ab - Central Absentee Precinct",364,584,19,1,968
"Botetourt County",-,Provisional,0,0,0,0,0
"Bristol City",-,"1 - First Ward",267,582,8,1,858
"Bristol City",-,"2 - Second Ward",464,740,31,3,"1,238"
"Bristol City",-,"3 - Third Ward",315,388,4,1,708
"Bristol City",-,"4 - Fourth Ward",550,"1,465",24,2,"2,041"
"Bristol City",-,"Ab - Central Absentee Precinct",173,249,0,1,423
"Bristol City",-,Provisional,1,3,0,0,4
"Brunswick County",-,"101 - Brodnax",167,121,4,0,292
"Brunswick County",-,"102 - Rock Store",193,253,5,1,452
"Brunswick County",-,"103 - Tillman",206,315,2,0,523
"Brunswick County",-,"201 - Dromgoole",87,90,2,0,179
"Brunswick County",-,"202 - Edgerton",395,131,3,0,529
"Brunswick County",-,"203 - Fitzhugh",309,139,1,1,450
"Brunswick County",-,"301 - Alberta",78,65,1,0,144
"Brunswick County",-,"302 - Danieltown",275,262,3,0,540
"Brunswick County",-,"303 - Elmore",138,120,0,0,258
"Brunswick County",-,"304 - Seymour",133,107,2,0,242
"Brunswick County",-,"401 - Sturgeon",539,295,9,0,843
"Brunswick County",-,"402 - King's Store",229,85,0,1,315
"Brunswick County",-,"501 - Totaro",693,200,5,0,898
"Brunswick County",-,"Ab - Central Absentee Precinct",269,210,4,1,484
"Brunswick County",-,Provisional,6,1,0,0,7
"Buchanan County",-,"102 - Blackey",49,202,0,0,251
"Buchanan County",-,"103 - Hurley",74,407,3,0,484
"Buchanan County",-,"201 - Grassy",29,45,0,0,74
"Buchanan County",-,"202 - Bull",94,229,3,0,326
"Buchanan County",-,"203 - Rocklick",98,237,5,0,340
"Buchanan County",-,"301 - Slate",120,280,2,0,402
"Buchanan County",-,"302 - North Grundy",101,274,5,1,381
"Buchanan County",-,"403 - South Grundy",161,419,6,0,586
"Buchanan County",-,"404 - Oakwood",17,38,1,0,56
"Buchanan County",-,"501 - Prater",133,205,3,0,341
"Buchanan County",-,"502 - Fox",63,55,0,0,118
"Buchanan County",-,"503 - Vansant",99,268,3,1,371
"Buchanan County",-,"601 - Council",78,153,0,0,231
"Buchanan County",-,"602 - Garden",111,246,2,0,359
"Buchanan County",-,"603 - Hurricane",114,123,0,0,237
"Buchanan County",-,"701 - Whitewood",147,311,3,0,461
"Buchanan County",-,"702 - Contrary",87,275,8,0,370
"Buchanan County",-,"Ab - Central Absentee Precinct",209,328,6,1,544
"Buchanan County",-,Provisional,1,0,0,0,1
"Buckingham County",-,"101 - New Canton",374,394,11,0,779
"Buckingham County",-,"102 - Georgia Creek",80,132,6,1,219
"Buckingham County",-,"201 - White Hall",240,274,6,1,521
"Buckingham County",-,"301 - Curdsville",244,343,9,1,597
"Buckingham County",-,"302 - New Store",129,283,6,0,418
"Buckingham County",-,"401 - Maysville",380,505,10,1,896
"Buckingham County",-,"501 - Wrights",133,259,7,0,399
"Buckingham County",-,"502 - Glenmore",306,245,3,1,555
"Buckingham County",-,"601 - Slate River",457,320,13,0,790
"Buckingham County",-,"701 - Gold Hill",257,288,6,0,551
"Buckingham County",-,"Ab - Central Absentee Precinct",200,206,6,0,412
"Buckingham County",-,Provisional,2,0,0,0,2
"Buena Vista City",-,"1 - First Ward",362,609,22,2,995
"Buena Vista City",-,"2 - Second Ward",304,438,15,2,759
"Buena Vista City",-,Provisional,0,0,0,0,0
"Campbell County",-,"101 - Brookville",492,"1,244",35,4,"1,775"
"Campbell County",-,"102 - New London",418,"1,259",45,0,"1,722"
"Campbell County",-,"201 - Walker",383,880,46,6,"1,315"
"Campbell County",-,"202 - Bedford Springs",439,"1,349",43,2,"1,833"
"Campbell County",-,"301 - Evington",174,453,6,0,633
"Campbell County",-,"302 - Otter River",158,418,11,1,588
"Campbell County",-,"303 - Altavista",636,948,22,1,"1,607"
"Campbell County",-,"401 - Three Forks",249,826,18,2,"1,095"
"Campbell County",-,"402 - Court House",457,"1,460",35,2,"1,954"
"Campbell County",-,"501 - Spring Hill",448,"1,299",35,4,"1,786"
"Campbell County",-,"502 - Yellow Branch",360,716,16,1,"1,093"
"Campbell County",-,"601 - Kings",355,749,16,3,"1,123"
"Campbell County",-,"602 - Concord",477,"1,206",33,1,"1,717"
"Campbell County",-,"701 - Brookneal",306,585,12,0,903
"Campbell County",-,"702 - Gladys",401,817,16,0,"1,234"
"Campbell County",-,"703 - Morris Church",166,380,10,0,556
"Campbell County",-,"Ab - Central Absentee Precinct",386,650,9,0,"1,045"
"Campbell County",-,Provisional,0,0,0,0,0
"Caroline County",-,"101 - Bowling Green",378,609,14,3,"1,004"
"Caroline County",-,"102 - Sparta",303,450,12,1,766
"Caroline County",-,"201 - North Madison",488,368,11,0,867
"Caroline County",-,"202 - South Madison",506,546,31,0,"1,083"
"Caroline County",-,"301 - Port Royal",205,233,5,0,443
"Caroline County",-,"302 - Woodford",525,587,18,2,"1,132"
"Caroline County",-,"401 - Dawn",892,486,12,1,"1,391"
"Caroline County",-,"402 - Carmel Church",300,172,8,0,480
"Caroline County",-,"501 - West Mattaponi",623,345,14,1,983
"Caroline County",-,"502 - Milford",323,403,8,1,735
"Caroline County",-,"601 - Chilesburg",530,435,28,0,993
"Caroline County",-,"602 - Lake",330,328,18,0,676
"Caroline County",-,"Ab - Central Absentee Precinct",424,355,0,4,783
"Caroline County",-,Provisional,11,6,0,0,17
"Carroll County",-,"101 - Mt Bethel",89,306,1,1,397
"Carroll County",-,"102 - St Paul",107,474,3,0,584
"Carroll County",-,"103 - Lambsburg",59,261,3,1,324
"Carroll County",-,"105 - Fancy Gap",140,401,2,0,543
"Carroll County",-,"201 - Hillsville B",317,815,15,1,"1,148"
"Carroll County",-,"202 - Laurel Fork",99,294,4,0,397
"Carroll County",-,"203 - Gladesboro",138,443,7,0,588
"Carroll County",-,"301 - Hillsville C",278,925,16,0,"1,219"
"Carroll County",-,"302 - Sylvatus",102,357,8,0,467
"Carroll County",-,"303 - Dugspur",57,220,5,0,282
"Carroll County",-,"401 - Oakland",209,696,11,1,917
"Carroll County",-,"402 - Woodlawn D",245,683,13,1,942
"Carroll County",-,"406 - Woodlawn F",40,120,3,0,163
"Carroll County",-,"501 - Vaughan",60,268,2,0,330
"Carroll County",-,"502 - Gladeville",148,656,9,1,814
"Carroll County",-,"503 - Woodlawn E",102,312,2,0,416
"Carroll County",-,"504 - Laurel",90,375,3,0,468
"Carroll County",-,"Ab - Central Absentee Precinct",179,433,7,0,619
"Carroll County",-,Provisional,0,3,0,0,3
"Charles City County",-,"101 - Precinct 1-1",569,421,16,1,"1,007"
"Charles City County",-,"201 - Precinct 2-1",677,266,9,0,952
"Charles City County",-,"301 - Precinct 3-1",640,374,11,1,"1,026"
"Charles City County",-,"Ab - Central Absentee Precinct",245,107,0,0,352
"Charles City County",-,Provisional,0,0,0,0,0
"Charlotte County",-,"101 - County Seat",287,413,6,1,707
"Charlotte County",-,"201 - Red Oak Wylliesburg",266,402,2,0,670
"Charlotte County",-,"302 - Drakes Branch",205,327,11,0,543
"Charlotte County",-,"401 - Keysville",253,422,8,0,683
"Charlotte County",-,"501 - Cullen/Red House",222,363,6,2,593
"Charlotte County",-,"602 - Phenix",226,458,9,1,694
"Charlotte County",-,"702 - Bacon/Saxe",252,309,10,0,571
"Charlotte County",-,"Ab - Central Absentee Precinct",159,98,0,0,257
"Charlotte County",-,Provisional,1,0,0,0,1
"Charlottesville City",-,"101 - Recreation","1,991",312,58,5,"2,366"
"Charlottesville City",-,"102 - Clark","1,967",247,35,4,"2,253"
"Charlottesville City",-,"201 - Carver","1,822",133,45,2,"2,002"
"Charlottesville City",-,"202 - Walker","2,152",417,54,3,"2,626"
"Charlottesville City",-,"301 - Benjamin Tonsler","1,728",163,39,5,"1,935"
"Charlottesville City",-,"302 - Johnson","2,157",356,70,7,"2,590"
"Charlottesville City",-,"303 - Buford","1,169",117,39,4,"1,329"
"Charlottesville City",-,"401 - Venable","1,107",114,27,7,"1,255"
"Charlottesville City",-,"402 - Alumni Hall","1,196",252,41,4,"1,493"
"Charlottesville City",-,"Ab - Central Absentee Precinct","2,315",232,42,11,"2,600"
"Charlottesville City",-,Provisional,37,3,1,0,41
"Chesapeake City",-,"1 - Great Bridge (CD 4)",563,843,30,1,"1,437"
"Chesapeake City",-,"2 - Bethel (CD 4)",330,"1,045",32,2,"1,409"
"Chesapeake City",-,"3 - Camelot (CD 3)","1,695",110,10,3,"1,818"
"Chesapeake City",-,"4 - Churchland (CD 3)",453,708,19,5,"1,185"
"Chesapeake City",-,"5 - Crestwood (CD 3)","1,303",137,11,2,"1,453"
"Chesapeake City",-,"6 - Deep Creek (CD 4)","1,485","1,058",45,2,"2,590"
"Chesapeake City",-,"7 - Greenbrier (CD 4)",759,931,34,2,"1,726"
"Chesapeake City",-,"8 - South Norfolk Recreation (CD 3)",894,600,26,3,"1,523"
"Chesapeake City",-,"9 - Bells Mill (CD 4)","1,035","1,595",42,0,"2,672"
