County/City,Ward,Pct,"Robert F. McDonnell","Robert Creigh Deeds","All Others","Total Votes Cast"
"Bedford County",-,"503 - Sedalia Center (CD 6)",312,93,1,406
"Bedford County",-,"504 - Odd Fellows Hall (CD 6)",146,54,0,200
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",874,250,1,"1,125"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",785,202,1,988
"Bedford County",-,"507 - Pleasant View (CD 6)",80,31,0,111
"Bedford County",-,"601 - Montvale Elem School (CD 6)",500,198,1,699
"Bedford County",-,"602 - Shady Grove Baptist Church (CD 5)",460,175,0,635
"Bedford County",-,"603 - Thaxton Elem School (CD 5)",508,171,0,679
"Bedford County",-,"604 - Saunders Grove Brethern Church (CD 5)",111,38,0,149
"Bedford County",-,"701 - Goode Rescue Squad (CD 5)",846,148,2,996
"Bedford County",-,"702 - Liberty High School (CD 5)",687,228,0,915
"Bedford County",-,"703 - Bedford Christian Church (CD 5)",547,210,1,758
"Bedford County",-,"704 - Suck Springs (CD 6)",214,77,0,291
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",297,125,0,422
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",291,94,0,385
"Bedford County",-,"Provisional Votes (CD 5)",0,1,0,1
"Bedford County",-,"Provisional Votes (CD 6)",4,1,0,5
"Bedford City",-,"1 - Ward One (CD 5)",628,324,0,952
"Bedford City",-,"2 - Ward Two (CD 5)",336,187,0,523
"Bedford City",-,"Ab - Central Absentee Precinct (CD 5)",52,42,0,94
"Bedford City",-,"Provisional Votes (CD 5)",0,0,0,0
"Bland County",-,"101 - Bastian (CD 9)",178,56,0,234
"Bland County",-,"102 - Ceres (CD 9)",208,53,0,261
"Bland County",-,"201 - Davis (CD 9)",51,27,0,78
"Bland County",-,"202 - Seddon (CD 9)",382,109,1,492
"Bland County",-,"301 - Hollybrook (CD 9)",142,59,0,201
"Bland County",-,"302 - Mechanicsburg (CD 9)",85,30,0,115
"Bland County",-,"401 - Rocky Gap (CD 9)",291,85,0,376
"Bland County",-,"Ab - Central Absentee Precinct (CD 9)",57,23,0,80
"Bland County",-,"Provisional Votes (CD 9)",0,0,0,0
"Botetourt County",-,"101 - Amsterdam (CD 6)",460,219,1,680
"Botetourt County",-,"102 - Asbury (CD 6)","1,089",343,4,"1,436"
"Botetourt County",-,"104 - Troutville (CD 6)",270,118,0,388
"Botetourt County",-,"201 - Blue Ridge (CD 6)",817,261,1,"1,079"
"Botetourt County",-,"202 - Rainbow Forest (CD 6)",683,232,2,917
"Botetourt County",-,"301 - Buchanan (CD 6)",492,249,0,741
"Botetourt County",-,"302 - Mill Creek (CD 6)",352,163,0,515
"Botetourt County",-,"303 - Roaring Run (CD 6)",134,64,1,199
"Botetourt County",-,"304 - Springwood (CD 6)",304,119,3,426
"Botetourt County",-,"402 - Courthouse (CD 6)",483,242,5,730
"Botetourt County",-,"403 - Eagle Rock (CD 6)",236,130,2,368
"Botetourt County",-,"404 - Glen Wilton (CD 6)",150,143,0,293
"Botetourt County",-,"405 - Oriskany (CD 6)",26,13,0,39
"Botetourt County",-,"406 - Town Hall (CD 6)",419,135,0,554
"Botetourt County",-,"501 - Coyner Springs (CD 6)",409,154,0,563
"Botetourt County",-,"502 - Cloverdale (CD 6)","1,011",389,0,"1,400"
"Botetourt County",-,"Ab - Central Absentee Precinct (CD 6)",391,123,0,514
"Botetourt County",-,"Provisional Votes (CD 6)",0,0,0,0
"Bristol City",-,"1 - First Ward (CD 9)",459,171,0,630
"Bristol City",-,"2 - Second Ward (CD 9)",705,272,0,977
"Bristol City",-,"3 - Third Ward (CD 9)",315,183,0,498
"Bristol City",-,"4 - Fourth Ward (CD 9)","1,139",356,3,"1,498"
"Bristol City",-,"Ab - Central Absentee Precinct (CD 9)",142,65,0,207
"Bristol City",-,"Provisional Votes (CD 9)",0,0,0,0
"Brunswick County",-,"101 - Brodnax (CD 5)",129,92,0,221
"Brunswick County",-,"102 - Rock Store (CD 5)",212,113,0,325
"Brunswick County",-,"103 - Tillman (CD 5)",246,100,0,346
"Brunswick County",-,"201 - Dromgoole (CD 5)",64,62,0,126
"Brunswick County",-,"202 - Edgerton (CD 5)",125,228,0,353
"Brunswick County",-,"203 - Fitzhugh (CD 5)",119,194,0,313
"Brunswick County",-,"301 - Alberta (CD 4)",51,24,0,75
"Brunswick County",-,"302 - Danieltown (CD 4)",218,181,1,400
"Brunswick County",-,"303 - Elmore (CD 4)",95,79,0,174
"Brunswick County",-,"304 - Seymour (CD 4)",77,79,0,156
"Brunswick County",-,"401 - Sturgeon (CD 5)",309,304,2,615
"Brunswick County",-,"402 - King's Store (CD 4)",7,47,0,54
"Brunswick County",-,"402 - King's Store (CD 5)",78,80,0,158
"Brunswick County",-,"501 - Lawrenceville (CD 5)",228,418,1,647
"Brunswick County",-,"Ab - Central Absentee Precinct (CD 4)",21,11,0,32
"Brunswick County",-,"Ab - Central Absentee Precinct (CD 5)",128,50,0,178
"Brunswick County",-,"Provisional Votes (CD 4)",0,0,0,0
"Brunswick County",-,"Provisional Votes (CD 5)",0,0,0,0
"Buchanan County",-,"102 - Blackey (CD 9)",140,48,0,188
"Buchanan County",-,"103 - Hurley (CD 9)",337,100,1,438
"Buchanan County",-,"201 - Grassy (CD 9)",26,34,0,60
"Buchanan County",-,"202 - Bull (CD 9)",172,113,0,285
"Buchanan County",-,"203 - Rocklick (CD 9)",207,105,0,312
"Buchanan County",-,"301 - Slate (CD 9)",242,152,0,394
"Buchanan County",-,"302 - North Grundy (CD 9)",219,101,0,320
"Buchanan County",-,"403 - South Grundy (CD 9)",419,136,0,555
"Buchanan County",-,"404 - Oakwood (CD 9)",55,26,0,81
"Buchanan County",-,"501 - Prater (CD 9)",129,165,0,294
"Buchanan County",-,"502 - Fox (CD 9)",28,58,0,86
"Buchanan County",-,"503 - Vansant (CD 9)",241,123,0,364
"Buchanan County",-,"601 - Council (CD 9)",127,80,0,207
"Buchanan County",-,"602 - Garden (CD 9)",188,152,0,340
"Buchanan County",-,"603 - Hurricane (CD 9)",102,134,0,236
"Buchanan County",-,"701 - Whitewood (CD 9)",289,147,0,436
"Buchanan County",-,"702 - Contrary (CD 9)",171,90,0,261
"Buchanan County",-,"Ab - Central Absentee Precinct (CD 9)",169,130,1,300
"Buchanan County",-,"Provisional Votes (CD 9)",0,1,0,1
"Buckingham County",-,"101 - New Canton (CD 5)",315,209,0,524
"Buckingham County",-,"201 - White Hall (CD 5)",193,122,0,315
"Buckingham County",-,"301 - Curdsville (CD 5)",254,105,0,359
"Buckingham County",-,"302 - New Store (CD 5)",206,50,0,256
"Buckingham County",-,"401 - Maysville (CD 5)",335,187,0,522
"Buckingham County",-,"501 - Wrights (CD 5)",243,74,0,317
"Buckingham County",-,"502 - Glenmore (CD 5)",177,154,0,331
"Buckingham County",-,"601 - Slate River (CD 5)",332,283,0,615
"Buckingham County",-,"701 - Gold Hill (CD 5)",176,117,0,293
"Buckingham County",-,"Ab - Central Absentee Precinct (CD 5)",81,34,0,115
"Buckingham County",-,"Provisional Votes (CD 5)",1,0,0,1
"Buena Vista City",-,"1 - First Ward (CD 6)",482,303,0,785
"Buena Vista City",-,"2 - Second Ward (CD 6)",342,225,0,567
"Buena Vista City",-,"Provisional Votes (CD 6)",0,0,0,0
"Campbell County",-,"101 - Brookville (CD 5)","1,132",284,2,"1,418"
"Campbell County",-,"102 - New London (CD 5)",834,186,2,"1,022"
"Campbell County",-,"201 - Walker (CD 5)",978,244,2,"1,224"
"Campbell County",-,"202 - Bedford Springs (CD 5)",789,181,0,970
"Campbell County",-,"301 - Evington (CD 5)",418,128,0,546
"Campbell County",-,"302 - Lynch Station (CD 5)",518,173,1,692
"Campbell County",-,"303 - Altavista (CD 5)",488,270,2,760
"Campbell County",-,"401 - Three Forks (CD 5)",837,175,0,"1,012"
"Campbell County",-,"402 - Court House (CD 5)",973,271,2,"1,246"
"Campbell County",-,"501 - Spring Hill (CD 5)",741,218,1,960
"Campbell County",-,"502 - Yellow Branch (CD 5)",664,204,1,869
"Campbell County",-,"601 - Airport (CD 5)",602,115,0,717
"Campbell County",-,"602 - Kings (CD 5)",289,155,7,451
"Campbell County",-,"603 - Concord (CD 5)",899,282,2,"1,183"
"Campbell County",-,"701 - Brookneal (CD 5)",459,162,2,623
"Campbell County",-,"702 - Gladys (CD 5)",468,236,0,704
"Campbell County",-,"703 - Morris Church (CD 5)",204,86,2,292
"Campbell County",-,"Ab - Central Absentee Precinct (CD 5)",316,86,0,402
"Campbell County",-,"Provisional Votes (CD 5)",2,1,0,3
"Caroline County",-,"101 - Bowling Green (CD 1)",889,400,0,"1,289"
"Caroline County",-,"201 - Madison (CD 7)",998,638,1,"1,637"
"Caroline County",-,"301 - Port Royal (CD 1)",211,105,1,317
"Caroline County",-,"302 - Chilesburg (CD 7)",104,52,0,156
"Caroline County",-,"303 - Woodford (CD 1)",304,226,1,531
"Caroline County",-,"401 - Reedy Church (CD 7)",450,729,0,"1,179"
"Caroline County",-,"402 - Penola (CD 1)",78,22,0,100
"Caroline County",-,"501 - Mattaponi (CD 1)",468,569,0,"1,037"
"Caroline County",-,"501 - Mattaponi (CD 7)",26,57,1,84
"Caroline County",-,"Ab - Central Absentee Precinct (CD 1)",107,22,0,129
"Caroline County",-,"Ab - Central Absentee Precinct (CD 7)",74,35,0,109
"Caroline County",-,"Provisional Votes (CD 1)",0,0,0,0
"Caroline County",-,"Provisional Votes (CD 7)",0,0,0,0
"Carroll County",-,"101 - Mt Bethel (CD 9)",173,73,0,246
"Carroll County",-,"102 - St Paul (CD 9)",360,91,1,452
"Carroll County",-,"103 - Lambsburg (CD 9)",147,53,0,200
"Carroll County",-,"104 - Oakland A (CD 9)",214,92,0,306
"Carroll County",-,"201 - Hillsville B (CD 9)",542,273,1,816
"Carroll County",-,"202 - Laurel Fork (CD 9)",204,102,0,306
"Carroll County",-,"203 - Gladesboro (CD 9)",327,139,0,466
"Carroll County",-,"301 - Hillsville C (CD 9)",578,278,3,859
"Carroll County",-,"302 - Sylvatus (CD 9)",221,78,0,299
"Carroll County",-,"303 - Dugspur (CD 9)",145,53,0,198
"Carroll County",-,"401 - Hillsville D (CD 9)",119,48,0,167
"Carroll County",-,"402 - Woodlawn D (CD 9)",521,183,0,704
"Carroll County",-,"403 - Oakland D (CD 9)",243,72,0,315
"Carroll County",-,"404 - Fancy Gap (CD 9)",197,64,0,261
"Carroll County",-,"501 - Vaughan (CD 9)",168,36,0,204
"Carroll County",-,"502 - Gladeville (CD 9)",405,104,0,509
"Carroll County",-,"503 - Woodlawn E (CD 9)",219,51,0,270
"Carroll County",-,"504 - Laurel (CD 9)",255,65,0,320
"Carroll County",-,"Ab - Central Absentee Precinct (CD 9)",190,77,0,267
"Carroll County",-,"Provisional Votes (CD 9)",1,0,0,1
"Charles City County",-,"101 - Precinct 1-1 (CD 3)",344,392,1,737
"Charles City County",-,"201 - Precinct 2-1 (CD 3)",186,373,1,560
