County/City,Ward,Pct,"Mark Robert Warner","Edward Walter Gillespie","Robert Christopher Sarvis","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Prince William County",-,"413 - Reagan (CD 10)",514,855,17,0,"1,386"
"Prince William County",-,"501 - Lake Ridge (CD 1)",548,468,16,1,"1,033"
"Prince William County",-,"502 - Occoquan (CD 11)",317,300,17,2,636
"Prince William County",-,"503 - Old Bridge (CD 11)",432,253,26,0,711
"Prince William County",-,"504 - Rockledge (CD 11)",467,397,23,1,888
"Prince William County",-,"505 - Mohican (CD 1)",589,586,19,0,"1,194"
"Prince William County",-,"506 - Bethel (CD 11)",800,636,37,1,"1,474"
"Prince William County",-,"507 - Chinn (CD 11)",530,421,19,0,970
"Prince William County",-,"508 - Springwoods (CD 1)",431,254,12,1,698
"Prince William County",-,"509 - Mc Coart (CD 1)",675,804,31,3,"1,513"
"Prince William County",-,"510 - Yates Ford (CD 10)",338,499,9,0,846
"Prince William County",-,"511 - Westridge (CD 1)",551,561,18,1,"1,131"
"Prince William County",-,"512 - York (CD 11)",633,221,18,0,872
"Prince William County",-,"513 - Lynnwood (CD 11)",521,698,21,1,"1,241"
"Prince William County",-,"514 - Antietam (CD 11)",682,551,28,2,"1,263"
"Prince William County",-,"601 - Dale (CD 11)",489,189,15,0,693
"Prince William County",-,"602 - Beville (CD 11)",814,410,19,2,"1,245"
"Prince William County",-,"603 - Godwin (CD 11)",453,153,16,0,622
"Prince William County",-,"604 - Gideon (CD 11)",489,240,15,0,744
"Prince William County",-,"605 - Minnieville (CD 11)",501,344,19,1,865
"Prince William County",-,"606 - Bel Air (CD 11)",463,330,29,1,823
"Prince William County",-,"607 - Kerrydale (CD 11)",622,306,18,0,946
"Prince William County",-,"608 - Enterprise (CD 11)",566,314,25,1,906
"Prince William County",-,"609 - King (CD 1)",0,0,0,0,0
"Prince William County",-,"609 - King (CD 11)",736,382,16,0,"1,134"
"Prince William County",-,"610 - Fitzgerald (CD 11)",616,308,7,0,931
"Prince William County",-,"611 - Neabsco (CD 11)",368,188,10,0,566
"Prince William County",-,"701 - Belmont (CD 11)",541,431,14,1,987
"Prince William County",-,"702 - Library (CD 11)",524,264,20,0,808
"Prince William County",-,"703 - Lynn (CD 11)",283,108,10,0,401
"Prince William County",-,"704 - Porter (CD 11)",513,149,16,2,680
"Prince William County",-,"705 - Potomac View (CD 11)",252,245,15,0,512
"Prince William County",-,"706 - Rippon (CD 11)",557,369,20,1,947
"Prince William County",-,"707 - Kilby (CD 11)",370,236,11,0,617
"Prince William County",-,"708 - River Oaks (CD 11)",578,155,10,0,743
"Prince William County",-,"709 - Freedom (CD 11)",602,150,11,0,763
