block_geoid20,total_population_2020,voting_age_population_2020
510010903003037,0,0
510010903003038,24,23
510010903003039,10,7
510010903003040,22,17
510010903003041,65,54
510010903003042,2,0
510010903003043,11,11
510010903003044,42,33
510010903003045,19,16
510010903003046,16,14
510010903003047,8,2
510010903003048,20,9
510010903003049,0,0
510010903003050,5,4
510010903003051,21,15
510010903003052,27,22
510010903003053,9,7
510010903003054,7,5
510010903003055,9,8
510010903003056,13,5
510010903003057,0,0
510010903003058,20,10
510010903003059,14,12
510010903003060,15,14
510010903003061,7,4
510010903003062,3,3
510010903003063,42,28
510010903003064,2,2
510010903003065,25,20
510010903003066,13,12
510010903003067,25,22
510010903003068,30,19
510010903003069,18,16
510010903003070,6,5
510010903003071,33,28
510010903003072,13,10
510010903003073,0,0
510010903003074,35,27
510010903003075,15,14
510010903003076,28,24
510010903003077,20,15
510010903003078,22,17
510010904011000,53,42
510010904011001,0,0
510010904011002,0,0
510010904011003,14,10
510010904011004,0,0
510010904011005,91,61
510010904011006,6,3
510010904011007,3,3
510010904011008,0,0
510010904011009,8,8
510010904011010,30,29
510010904011011,8,5
510010904011012,0,0
510010904011013,22,18
510010904011014,7,1
510010904011015,0,0
510010904011016,0,0
510010904011017,0,0
510010904011018,0,0
510010904011019,0,0
510010904011020,0,0
510010904011021,38,26
510010904011022,0,0
510010904011023,7,2
510010904011024,188,125
510010904011025,16,13
510010904011026,15,6
510010904011027,47,26
510010904011028,18,16
510010904011029,195,124
510010904011030,51,49
510010904011031,3,2
510010904011032,0,0
510010904011033,15,11
510010904011034,11,8
510010904011035,92,72
510010904011036,18,8
510010904011037,3,3
510010904011038,20,10
510010904011039,0,0
510010904011040,9,3
510010904011041,10,9
510010904011042,23,19
510010904011043,0,0
510010904011044,0,0
510010904011045,0,0
510010904011046,0,0
510010904011047,0,0
510010904012000,25,24
510010904012001,42,35
510010904012002,11,11
510010904012003,0,0
510010904012004,0,0
510010904012005,0,0
510010904012006,0,0
510010904012007,54,48
510010904012008,16,15
510010904012009,42,37
510010904012010,52,46
510010904012011,17,13
510010904012012,10,6
510010904012013,14,10
510010904012014,2,2
510010904012015,60,50
510010904012016,2,2
510010904012017,17,13
510010904012018,10,8
510010904012019,0,0
510010904012020,7,1
510010904012021,4,3
510010904012022,10,9
510010904012023,0,0
510010904012024,45,35
510010904012025,2,2
510010904012026,70,52
510010904012027,14,13
510010904012028,47,37
510010904012029,24,24
510010904012030,5,4
510010904012031,14,14
510010904012032,23,21
510010904012033,12,10
510010904012034,50,43
510010904012035,3,2
510010904012036,0,0
510010904012037,0,0
510010904012038,0,0
510010904012039,0,0
510010904012040,0,0
510010904012041,24,18
510010904012042,0,0
510010904012043,0,0
510010904012044,14,11
510010904012045,7,2
510010904012046,72,61
510010904012047,0,0
510010904012048,21,16
510010904012049,12,9
510010904012050,0,0
510010904012051,6,5
510010904012052,0,0
510010904012053,14,14
510010904012054,24,14
510010904012055,10,5
510010904012056,9,9
510010904012057,23,16
510010904012058,65,62
510010904012059,0,0
510010904012060,0,0
510010904012061,21,16
510010904012062,6,4
510010904012063,72,53
510010904012064,28,23
510010904012065,0,0
510010904012066,51,41
510010904012067,62,44
510010904012068,0,0
510010904012069,6,4
510010904012070,0,0
510010904012071,0,0
510010904012072,0,0
510010904012073,0,0
510010904012074,0,0
510010904012075,0,0
510010904012076,0,0
510010904012077,0,0
510010904012078,0,0
510010904012079,9,7
510010904012080,9,8
510010904012081,0,0
510010904012082,0,0
510010904012083,0,0
510010904012084,0,0
510010904012085,0,0
510010904012086,0,0
510010904012087,0,0
510010904012088,0,0
510010904012089,0,0
510010904012090,0,0
510010904012091,91,68
510010904012092,7,3
510010904012093,22,16
510010904012094,0,0
510010904012095,22,18
510010904012096,11,11
510010904012097,12,4
510010904021000,0,0
510010904021001,0,0
510010904021002,0,0
510010904021003,0,0
510010904021004,0,0
510010904021005,0,0
510010904021006,0,0
510010904021007,60,45
510010904021008,11,10
510010904021009,0,0
510010904021010,12,9
510010904021011,9,9
510010904021012,0,0
510010904021013,9,4
510010904021014,14,8
510010904021015,0,0
510010904021016,0,0
510010904021017,0,0
510010904021018,0,0
510010904021019,0,0
510010904021020,0,0
510010904021021,15,13
510010904021022,45,40
510010904021023,13,12
510010904021024,15,8
510010904021025,30,18
510010904021026,0,0
510010904021027,424,299
510010904021028,36,23
510010904021029,0,0
510010904021030,0,0
510010904021031,0,0
510010904021032,58,34
510010904021033,0,0
510010904021034,30,17
510010904021035,20,12
510010904021036,9,7
510010904021037,18,13
510010904021038,5,3
510010904021039,6,0
510010904021040,0,0
510010904021041,8,5
510010904021042,0,0
510010904021043,11,10
510010904021044,213,172
510010904021045,6,0
510010904021046,0,0
510010904021047,128,75
510010904021048,0,0
510010904021049,22,15
510010904021050,27,22
510010904021051,22,12
510010904021052,0,0
510010904021053,60,41
510010904021054,181,157
510010904021055,76,55
510010904021056,6,6
510010904021057,41,31
510010904021058,60,41
510010904021059,0,0
510010904021060,62,48
510010904021061,110,81
510010904021062,13,13
510010904021063,12,8
510010904021064,22,10
510010904021065,23,21
510010904021066,0,0
510010904021067,0,0
510010904021068,12,12
510010904021069,2,2
510010904021070,0,0
510010904021071,0,0
510010904021072,0,0
510010904021073,0,0
510010904021074,0,0
510010904021075,0,0
510010904022000,0,0
510010904022001,37,32
510010904022002,17,11
510010904022003,0,0
510010904022004,35,29
510010904022005,0,0
510010904022006,27,19
510010904022007,25,18
510010904022008,0,0
510010904022009,13,5
510010904022010,89,75
510010904022011,0,0
510010904022012,30,17
510010904022013,5,1
510010904022014,14,10
510010904022015,0,0
510010904022016,0,0
510010904022017,0,0
510010904022018,0,0
510010904022019,18,13
510010904022020,46,38
510010904022021,157,149
510010904022022,9,9
510010904022023,16,13
510010904022024,43,27
510010904022025,24,22
510010904022026,67,58
510010904022027,10,5
510010904022028,6,6
510010904022029,20,15
510010904022030,26,23
510010904022031,12,11
510010904022032,24,24
510010904022033,56,41
510010904022034,1,0
510010904022035,0,0
510010904022036,0,0
510010904022037,0,0
510010904022038,0,0
510010904022039,0,0
510010904022040,0,0
510010904022041,0,0
510010904022042,32,30
510010904022043,29,27
510010904022044,0,0
510010904022045,0,0
510010904022046,0,0
510010904022047,0,0
510010904022048,0,0
510010904022049,0,0
510010904022050,0,0
510010904022051,0,0
510010904022052,6,5
510010904022053,35,16
510010904022054,4,0
510010904022055,13,12
510010904022056,51,40
510010904022057,35,12
510010904022058,129,102
510010904022059,0,0
510010904022060,0,0
510010904022061,0,0
510010904022062,0,0
510010904022063,0,0
510010904022064,0,0
510010904022065,16,16
510010904022066,0,0
510010904022067,0,0
510010904022068,51,36
510010904022069,0,0
510010904022070,0,0
510010904022071,37,32
510010904022072,0,0
510010904022073,0,0
510010904022074,0,0
510010904022075,0,0
