County/City,Ward,Pct,"Barack Obama","Willard M. Romney","Gary Johnson","Virgil Hamlin Goode, Jr.","Jill Stein","All Others","Total Votes Cast"
"Alleghany County",-,"402 - Jackson Heights",271,323,4,6,3,0,607
"Alleghany County",-,"501 - Iron Gate",154,122,2,10,1,3,292
"Alleghany County",-,"502 - Peters Switch",335,370,6,3,5,1,720
"Alleghany County",-,"601 - District 1",510,400,8,9,1,2,930
"Alleghany County",-,"701 - District 2",440,281,14,4,4,0,743
"Alleghany County",-,"Ab - Central Absentee Precinct",251,262,5,5,2,1,526
"Amelia County",-,"101 - Number One",429,696,8,3,4,0,"1,140"
"Amelia County",-,"201 - Number Two",421,747,6,2,2,4,"1,182"
"Amelia County",-,"301 - Number Three",424,815,10,5,2,3,"1,259"
"Amelia County",-,"401 - Number Four",370,843,11,9,1,2,"1,236"
"Amelia County",-,"501 - Number Five",585,789,4,2,3,2,"1,385"
"Amelia County",-,"Ab - Central Absentee Precinct",261,441,4,7,0,0,713
"Amherst County",-,"101 - Wright Shop",624,385,3,2,0,1,"1,015"
"Amherst County",-,"102 - New Glasgow",499,656,5,7,0,2,"1,169"
"Amherst County",-,"103 - Coolwell",159,402,5,3,1,3,573
"Amherst County",-,"201 - Court House",883,"1,144",11,6,6,1,"2,051"
"Amherst County",-,"202 - Temperance",247,522,4,2,3,1,779
"Amherst County",-,"301 - Monroe",282,516,6,7,2,1,814
"Amherst County",-,"302 - Elon",505,"1,379",10,15,2,2,"1,913"
"Amherst County",-,"303 - Pleasant View",134,305,5,0,0,0,444
"Amherst County",-,"401 - Amelon",838,"1,358",10,11,2,7,"2,226"
"Amherst County",-,"402 - Lonco",244,305,4,3,0,0,556
"Amherst County",-,"501 - Madison",955,"1,291",18,11,2,2,"2,279"
"Amherst County",-,"Ab - Central Absentee Precinct",528,602,4,4,0,0,"1,138"
"Amherst County",-,Provisional,2,11,0,0,0,0,13
"Appomattox County",-,"101 - Vera",133,394,4,3,3,2,539
"Appomattox County",-,"102 - Pamplin",338,637,3,10,4,1,993
"Appomattox County",-,"201 - Chap",201,186,3,2,2,0,394
"Appomattox County",-,"202 - Spout Spring",253,915,5,5,2,0,"1,180"
"Appomattox County",-,"301 - Us 460",201,484,8,7,1,0,701
"Appomattox County",-,"302 - Stonewall",239,562,4,5,6,3,819
"Appomattox County",-,"401 - Courthouse",427,877,6,10,2,2,"1,324"
"Appomattox County",-,"501 - Oakville",347,677,5,11,4,2,"1,046"
"Appomattox County",-,"502 - Agee",152,234,4,1,3,1,395
"Appomattox County",-,"Ab - Central Absentee Precinct",160,371,4,4,0,0,539
"Appomattox County",-,Provisional,2,3,0,0,0,0,5
"Arlington County",-,"1 - Arlington","1,170",301,9,4,10,1,"1,495"
"Arlington County",-,"2 - Ashton Heights","1,249",567,27,3,7,6,"1,859"
"Arlington County",-,"3 - Aurora Hills",717,483,9,1,4,1,"1,215"
"Arlington County",-,"4 - Ballston","1,126",545,27,3,9,3,"1,713"
"Arlington County",-,"5 - Barcroft","1,074",414,7,1,10,1,"1,507"
"Arlington County",-,"6 - Crystal City",961,525,14,3,6,2,"1,511"
"Arlington County",-,"7 - Cherrydale","1,120",627,19,3,4,6,"1,779"
"Arlington County",-,"8 - Hume","1,454",776,37,4,8,4,"2,283"
"Arlington County",-,"9 - Columbia","1,589",471,19,2,8,3,"2,092"
"Arlington County",-,"10 - Wilson","1,338",607,19,3,10,3,"1,980"
"Arlington County",-,"11 - East Falls Church",801,468,12,0,3,2,"1,286"
"Arlington County",-,"12 - Fairlington","1,126",620,14,1,6,3,"1,770"
"Arlington County",-,"13 - Glen Carlyn",808,294,14,4,7,2,"1,129"
"Arlington County",-,"14 - Clarendon",892,576,28,1,6,2,"1,505"
"Arlington County",-,"15 - Lyon Park","1,224",507,35,3,7,5,"1,781"
"Arlington County",-,"16 - Lyon Village","1,162",592,19,2,6,3,"1,784"
"Arlington County",-,"17 - Overlee Knolls","1,207",665,27,1,8,3,"1,911"
"Arlington County",-,"18 - Park Lane","1,766",734,33,1,5,4,"2,543"
"Arlington County",-,"19 - Rosslyn","1,526",660,28,0,5,3,"2,222"
"Arlington County",-,"20 - Thrifton",900,678,12,0,2,3,"1,595"
"Arlington County",-,"21 - Virginia Highlands","1,521",844,33,2,8,6,"2,414"
"Arlington County",-,"22 - Abingdon","1,316",676,21,1,10,3,"2,027"
"Arlington County",-,"23 - Westover","1,264",548,28,1,1,5,"1,847"
"Arlington County",-,"24 - Woodlawn","1,524",598,17,2,10,2,"2,153"
"Arlington County",-,"25 - Arlington Forest","1,007",402,15,3,5,1,"1,433"
"Arlington County",-,"26 - Fillmore","1,848",611,35,2,8,3,"2,507"
"Arlington County",-,"27 - Jefferson","1,379",514,25,4,7,2,"1,931"
"Arlington County",-,"28 - Claremont","1,554",499,16,4,4,4,"2,081"
"Arlington County",-,"29 - Dominion Hills","1,200",550,16,2,6,2,"1,776"
"Arlington County",-,"30 - Glebe","1,511",330,16,3,6,3,"1,869"
"Arlington County",-,"31 - Lexington","1,166",570,7,2,10,2,"1,757"
"Arlington County",-,"32 - Oakridge",521,315,16,0,2,5,859
"Arlington County",-,"33 - Rock Spring","1,051",690,12,1,4,4,"1,762"
"Arlington County",-,"34 - Yorktown",999,573,12,0,6,4,"1,594"
"Arlington County",-,"35 - Madison",838,748,5,1,9,2,"1,603"
"Arlington County",-,"36 - Marshall","1,212",659,16,4,6,3,"1,900"
"Arlington County",-,"37 - Nottingham",956,558,19,2,7,3,"1,545"
"Arlington County",-,"38 - Arlington View","1,369",308,25,1,8,5,"1,716"
"Arlington County",-,"39 - Ashlawn",723,340,8,1,5,0,"1,077"
"Arlington County",-,"40 - Virginia Square","1,088",628,41,2,8,9,"1,776"
"Arlington County",-,"41 - Woodbury","1,184",597,25,0,2,1,"1,809"
"Arlington County",-,"42 - Shirlington","1,143",483,15,3,2,5,"1,651"
"Arlington County",-,"43 - Arlington Mill","1,177",198,8,5,4,5,"1,397"
"Arlington County",-,"44 - Dawson Terrace",967,399,32,2,5,6,"1,411"
"Arlington County",-,"45 - Buckingham","1,128",382,24,7,1,0,"1,542"
"Arlington County",-,"46 - Central","1,456",783,36,2,5,4,"2,286"
"Arlington County",-,"47 - Four Mile Run","1,011",362,19,0,8,0,"1,400"
"Arlington County",-,"48 - Courtlands",997,631,8,0,1,4,"1,641"
"Arlington County",-,"49 - Monroe",700,325,16,0,3,4,"1,048"
"Arlington County",-,"50 - Crystal Plaza","1,097",580,15,1,1,1,"1,695"
"Arlington County",-,"51 - Taylor",345,185,2,0,3,0,535
"Arlington County",-,"52 - Gunston","1,013",487,13,3,3,1,"1,520"
"Arlington County",-,"Ab - Central Absentee Precinct","21,703","6,950",173,25,66,37,"28,954"
"Arlington County",-,Provisional,91,41,0,0,0,2,134
"Augusta County",-,"101 - Jolivue",279,552,10,7,2,4,854
"Augusta County",-,"102 - Stuarts Draft Elementary",355,634,6,5,3,3,"1,006"
"Augusta County",-,"103 - Verona",491,"1,113",25,9,2,3,"1,643"
"Augusta County",-,"201 - Crimora",523,"1,251",14,5,2,0,"1,795"
"Augusta County",-,"202 - New Hope",290,761,7,7,2,0,"1,067"
"Augusta County",-,"203 - Weyers Cave",404,"1,171",20,9,6,3,"1,613"
"Augusta County",-,"301 - Fort Defiance",691,"1,786",20,15,7,4,"2,523"
"Augusta County",-,"302 - North River",151,490,6,2,2,1,652
"Augusta County",-,"303 - Mount Solon",175,698,14,9,4,0,900
"Augusta County",-,"304 - Churchville Fire Station",183,569,5,5,1,1,764
"Augusta County",-,"401 - Buffalo Gap",256,652,5,1,2,3,919
"Augusta County",-,"402 - Churchville Elementary",236,658,1,6,2,0,903
"Augusta County",-,"403 - Craigsville",174,394,2,3,3,1,577
"Augusta County",-,"404 - Deerfield",72,208,3,2,0,1,286
"Augusta County",-,"405 - Cedar Green",377,732,9,5,2,2,"1,127"
"Augusta County",-,"501 - Greenville",326,"1,059",16,3,2,1,"1,407"
"Augusta County",-,"502 - Middlebrook",224,582,11,5,3,2,827
"Augusta County",-,"503 - Spottswood",198,577,5,4,0,1,785
"Augusta County",-,"504 - White Hill",397,"1,168",23,13,3,2,"1,606"
"Augusta County",-,"601 - Sherando",308,768,12,6,1,1,"1,096"
"Augusta County",-,"602 - Stuarts Draft Rescue",633,"1,713",18,6,6,1,"2,377"
"Augusta County",-,"603 - Lyndhurst",474,"1,121",20,11,4,0,"1,630"
"Augusta County",-,"801 - Dooms",314,884,7,3,2,1,"1,211"
"Augusta County",-,"802 - Fishersville",673,"1,465",21,6,4,5,"2,174"
"Augusta County",-,"803 - Wilson",555,"1,041",14,8,7,4,"1,629"
"Augusta County",-,"Ab - Central Absentee Precinct",689,"1,567",19,8,4,12,"2,299"
"Augusta County",-,Provisional,3,10,0,0,0,13,26
"Bath County",-,"101 - Warm Springs",168,213,1,2,3,1,388
"Bath County",-,"102 - Mountain Grove",18,44,2,2,0,0,66
"Bath County",-,"201 - Hot Springs",186,155,1,4,1,1,348
"Bath County",-,"301 - Fairview",78,214,2,3,3,0,300
"Bath County",-,"302 - Burnsville",39,52,0,3,0,0,94
"Bath County",-,"401 - Millboro",161,251,4,5,0,1,422
"Bath County",-,"501 - Healing Springs",174,227,3,7,1,1,413
"Bath County",-,"Ab - Central Absentee Precinct",70,118,1,1,1,1,192
"Bedford County",-,"101 - Goodview Elem School (CD 5)",817,"1,859",17,25,7,1,"2,726"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",221,500,6,8,2,1,738
"Bedford County",-,"103 - Chamblissburg First Aid Bldg (CD 5)",278,631,12,5,1,4,931
"Bedford County",-,"202 - Staunton River High School (CD 5)",331,645,5,6,0,3,990
"Bedford County",-,"203 - Moneta Elem School (CD 5)",657,"1,407",6,11,4,4,"2,089"
"Bedford County",-,"204 - Body Camp Elem School (CD 5)",139,212,2,6,0,0,359
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",345,902,6,5,1,1,"1,260"
"Bedford County",-,"301 - New London Academy (CD 5)",3,26,0,0,0,0,29
"Bedford County",-,"301 - New London Academy (CD 6)",438,"1,919",6,3,2,2,"2,370"
"Bedford County",-,"302 - Bedford County Psa (CD 5)",198,455,3,9,2,0,667
"Bedford County",-,"303 - Bethesda Methodist Church (CD 5)",191,474,3,6,0,0,674
"Bedford County",-,"304 - Forest Youth Athletic Assoc (CD 6)",191,570,7,1,2,2,773
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",187,419,4,5,1,1,617
"Bedford County",-,"401 - Forest Library (CD 6)",270,"1,018",9,5,1,1,"1,304"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",598,"2,094",15,6,2,1,"2,716"
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",481,"1,421",7,7,3,7,"1,926"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",173,300,3,2,0,0,478
"Bedford County",-,"503 - Sedalia Center (CD 6)",158,405,7,4,0,0,574
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",79,204,0,3,1,1,288
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",429,"1,160",11,3,2,3,"1,608"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",492,"1,686",17,9,2,2,"2,208"
"Bedford County",-,"507 - Pleasant View Baptist Church (CD 6)",55,103,2,0,1,1,162
"Bedford County",-,"601 - Montvale Elem School (CD 6)",331,775,12,4,1,3,"1,126"
"Bedford County",-,"602 - Shady Grove Baptist Church (CD 5)",358,846,12,11,2,1,"1,230"
"Bedford County",-,"603 - Thaxton Elem School (CD 5)",307,650,7,13,3,2,982
"Bedford County",-,"603 - Thaxton Elem School (CD 6)",0,0,0,0,0,0,0
"Bedford County",-,"604 - Flint Hill Community Center (CD 5)",267,664,8,5,2,0,946
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)",301,"1,272",8,9,2,2,"1,594"
"Bedford County",-,"702 - Liberty High School (CD 5)",263,654,3,8,3,1,932
"Bedford County",-,"702 - Liberty High School (CD 6)",170,341,0,1,1,0,513
"Bedford County",-,"703 - Bedford Christian Church (CD 5)",486,919,11,17,1,1,"1,435"
"Bedford County",-,"704 - Forest Elem School (CD 6)",62,171,0,2,0,1,236
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",467,981,4,9,0,1,"1,462"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",462,988,9,4,4,3,"1,470"
"Bedford County",-,"Provisional (CD 5)",1,4,0,0,0,5,10
"Bedford County",-,"Provisional (CD 6)",3,4,0,0,0,7,14
"Bedford City",-,"1 - Ward One",608,783,8,14,3,4,"1,420"
"Bedford City",-,"2 - Ward Two",516,603,9,8,1,1,"1,138"
"Bedford City",-,"Ab - Central Absentee Precinct",101,141,2,1,0,2,247
"Bland County",-,"101 - Bastian",83,254,4,3,1,1,346
"Bland County",-,"102 - Ceres",81,241,3,4,2,3,334
"Bland County",-,"201 - Davis",37,71,0,2,1,1,112
"Bland County",-,"202 - Seddon",178,472,5,8,3,3,669
"Bland County",-,"301 - Hollybrook",76,281,4,1,1,0,363
"Bland County",-,"302 - Mechanicsburg",50,120,1,1,1,1,174
"Bland County",-,"401 - Rocky Gap",171,568,2,6,2,1,750
"Bland County",-,"Ab - Central Absentee Precinct",59,137,0,3,0,1,200
"Bland County",-,Provisional,0,0,0,0,0,0,0
"Botetourt County",-,"101 - Amsterdam",549,"1,100",9,11,0,1,"1,670"
"Botetourt County",-,"102 - Asbury",416,"1,314",5,14,2,2,"1,753"
"Botetourt County",-,"201 - Blue Ridge",548,"1,231",15,11,3,5,"1,813"
"Botetourt County",-,"202 - Rainbow Forest",513,"1,284",10,18,3,2,"1,830"
"Botetourt County",-,"301 - Buchanan",360,663,8,15,2,1,"1,049"
"Botetourt County",-,"302 - Mill Creek",261,651,7,6,4,0,929
"Botetourt County",-,"303 - Roaring Run",97,204,2,4,0,0,307
"Botetourt County",-,"304 - Springwood",188,491,2,11,1,0,693
"Botetourt County",-,"402 - Courthouse",299,557,3,8,0,0,867
"Botetourt County",-,"403 - Eagle Rock",183,384,6,8,0,2,583
"Botetourt County",-,"404 - Glen Wilton",168,233,1,8,0,0,410
"Botetourt County",-,"405 - Oriskany",8,41,0,2,0,0,51
"Botetourt County",-,"406 - Town Hall",291,827,5,15,1,1,"1,140"
"Botetourt County",-,"501 - Coyner Springs",271,568,5,5,1,3,853
"Botetourt County",-,"502 - Cloverdale",606,"1,344",11,10,3,1,"1,975"
"Botetourt County",-,"503 - Troutville",185,416,4,3,1,0,609
"Botetourt County",-,"Ab - Central Absentee Precinct",506,"1,163",5,15,5,4,"1,698"
"Botetourt County",-,Provisional,3,8,0,0,0,0,11
"Bristol City",-,"1 - First Ward",456,782,16,6,1,4,"1,265"
"Bristol City",-,"2 - Second Ward",556,"1,017",15,9,4,3,"1,604"
"Bristol City",-,"3 - Third Ward",545,587,6,4,2,6,"1,150"
"Bristol City",-,"4 - Fourth Ward",699,"1,967",12,9,4,9,"2,700"
"Bristol City",-,"Ab - Central Absentee Precinct",231,423,2,3,0,0,659
"Bristol City",-,Provisional,5,4,0,0,0,9,18
"Brunswick County",-,"101 - Brodnax",245,149,0,0,0,0,394
"Brunswick County",-,"102 - Rock Store",268,319,1,2,0,1,591
"Brunswick County",-,"103 - Tillman",268,349,1,5,2,0,625
"Brunswick County",-,"201 - Dromgoole",125,102,0,0,1,0,228
"Brunswick County",-,"202 - Edgerton",569,148,0,1,1,0,719
"Brunswick County",-,"203 - Fitzhugh",364,151,1,1,0,0,517
"Brunswick County",-,"301 - Alberta",77,82,2,2,0,0,163
"Brunswick County",-,"302 - Danieltown",377,287,4,3,1,0,672
"Brunswick County",-,"303 - Elmore",187,127,0,1,1,0,316
"Brunswick County",-,"304 - Seymour",206,120,1,1,1,1,330
"Brunswick County",-,"401 - Sturgeon",733,358,2,5,1,1,"1,100"
"Brunswick County",-,"402 - King's Store",306,96,1,1,2,0,406
"Brunswick County",-,"501 - Totaro",870,262,6,10,2,0,"1,150"
"Brunswick County",-,"Ab - Central Absentee Precinct",397,415,4,4,0,1,821
"Brunswick County",-,Provisional,2,3,0,0,0,5,10
"Buchanan County",-,"102 - Blackey",108,288,3,1,1,0,401
"Buchanan County",-,"103 - Hurley",220,684,5,1,1,0,911
"Buchanan County",-,"201 - Grassy",49,56,0,0,0,1,106
"Buchanan County",-,"202 - Bull",196,339,1,2,0,0,538
"Buchanan County",-,"203 - Rocklick",203,402,2,7,0,0,614
"Buchanan County",-,"301 - Slate",236,480,1,4,0,0,721
"Buchanan County",-,"302 - North Grundy",174,433,3,11,1,3,625
"Buchanan County",-,"403 - South Grundy",242,662,11,7,0,2,924
"Buchanan County",-,"404 - Oakwood",31,55,1,1,0,0,88
"Buchanan County",-,"501 - Prater",274,294,0,4,0,0,572
"Buchanan County",-,"502 - Fox",75,108,0,0,0,1,184
"Buchanan County",-,"503 - Vansant",164,403,2,2,0,0,571
"Buchanan County",-,"601 - Council",122,253,2,3,0,0,380
"Buchanan County",-,"602 - Garden",175,389,1,4,1,0,570
"Buchanan County",-,"603 - Hurricane",166,199,1,0,0,0,366
"Buchanan County",-,"701 - Whitewood",247,514,1,3,3,1,769
"Buchanan County",-,"702 - Contrary",146,378,4,1,2,0,531
"Buchanan County",-,"Ab - Central Absentee Precinct",266,496,6,1,1,2,772
"Buchanan County",-,Provisional,0,3,0,0,0,0,3
"Buckingham County",-,"101 - New Canton",541,424,5,4,1,1,976
"Buckingham County",-,"102 - Georgia Creek",87,132,3,0,0,0,222
"Buckingham County",-,"201 - White Hall",367,260,2,8,2,0,639
"Buckingham County",-,"301 - Curdsville",289,384,4,12,6,0,695
"Buckingham County",-,"302 - New Store",120,352,0,4,1,0,477
"Buckingham County",-,"401 - Maysville",475,587,4,16,3,2,"1,087"
"Buckingham County",-,"501 - Wrights",168,238,0,6,0,0,412
"Buckingham County",-,"502 - Glenmore",372,270,7,5,1,0,655
"Buckingham County",-,"601 - Slate River",662,312,7,7,2,4,994
"Buckingham County",-,"701 - Gold Hill",359,318,3,7,2,0,689
"Buckingham County",-,"Ab - Central Absentee Precinct",307,292,3,4,2,0,608
"Buckingham County",-,Provisional,3,0,0,0,0,0,3
"Buena Vista City",-,"1 - First Ward",509,735,10,14,3,1,"1,272"
"Buena Vista City",-,"2 - Second Ward",410,829,7,4,5,0,"1,255"
"Buena Vista City",-,Provisional,0,0,0,0,0,0,0
"Campbell County",-,"101 - Brookville",502,"1,579",22,14,1,12,"2,130"
"Campbell County",-,"102 - New London",444,"1,395",15,14,6,5,"1,879"
"Campbell County",-,"201 - Walker",435,"1,168",18,12,1,1,"1,635"
"Campbell County",-,"202 - Bedford Springs",485,"1,470",8,5,2,0,"1,970"
"Campbell County",-,"301 - Evington",223,481,6,7,1,0,718
"Campbell County",-,"302 - Otter River",213,483,1,4,3,2,706
"Campbell County",-,"303 - Altavista",774,"1,107",12,6,7,1,"1,907"
"Campbell County",-,"401 - Three Forks",261,914,8,8,0,1,"1,192"
"Campbell County",-,"402 - Court House",576,"1,585",20,16,1,4,"2,202"
"Campbell County",-,"501 - Spring Hill",494,"1,532",21,12,3,3,"2,065"
"Campbell County",-,"502 - Yellow Branch",438,773,7,6,1,4,"1,229"
"Campbell County",-,"601 - Kings",466,905,11,7,4,1,"1,394"
"Campbell County",-,"602 - Concord",559,"1,313",11,8,1,2,"1,894"
"Campbell County",-,"701 - Brookneal",444,653,4,6,2,0,"1,109"
"Campbell County",-,"702 - Gladys",524,931,4,11,1,2,"1,473"
"Campbell County",-,"703 - Morris Church",213,400,1,4,1,3,622
"Campbell County",-,"Ab - Central Absentee Precinct",540,998,9,9,0,13,"1,569"
"Campbell County",-,Provisional,4,8,0,0,0,0,12
"Caroline County",-,"101 - Bowling Green",491,650,8,3,3,1,"1,156"
"Caroline County",-,"102 - Sparta",391,506,6,4,2,19,928
"Caroline County",-,"201 - North Madison",484,378,2,1,3,2,870
"Caroline County",-,"202 - South Madison",558,623,13,7,5,3,"1,209"
"Caroline County",-,"301 - Port Royal",268,283,5,3,2,2,563
"Caroline County",-,"302 - Woodford",732,637,9,7,2,3,"1,390"
"Caroline County",-,"401 - Dawn","1,160",563,9,7,3,0,"1,742"
"Caroline County",-,"402 - Carmel Church",383,158,1,5,2,0,549
"Caroline County",-,"501 - West Mattaponi",681,416,10,3,0,1,"1,111"
"Caroline County",-,"502 - Milford",512,445,4,3,0,1,965
"Caroline County",-,"601 - Chilesburg",602,544,11,5,1,5,"1,168"
"Caroline County",-,"602 - Lake",371,442,11,7,2,0,833
"Caroline County",-,"Ab - Central Absentee Precinct",625,503,8,4,5,1,"1,146"
"Caroline County",-,Provisional,18,3,1,0,0,0,22
"Carroll County",-,"101 - Mt Bethel",176,319,9,16,7,0,527
"Carroll County",-,"102 - St Paul",168,540,5,6,4,2,725
"Carroll County",-,"103 - Lambsburg",120,278,9,5,0,0,412
"Carroll County",-,"105 - Fancy Gap",171,349,3,11,8,0,542
"Carroll County",-,"201 - Hillsville B",456,860,12,37,10,0,"1,375"
