County/City,Ward,Pct,"Jason Stuart Redding Miyares","Mark Rankin Herring","All Others","Total Votes Cast"
"Arlington County",-,"14 - Clarendon",191,557,0,748
"Arlington County",-,"15 - Lyon Park",167,465,1,633
"Arlington County",-,"16 - Lyon Village",288,741,4,"1,033"
"Arlington County",-,"17 - Overlee Knolls",374,925,3,"1,302"
"Arlington County",-,"18 - Park Lane",368,880,1,"1,249"
"Arlington County",-,"19 - Rosslyn",278,702,1,981
"Arlington County",-,"20 - Thrifton",322,568,2,892
"Arlington County",-,"21 - Virginia Highlands",177,443,1,621
"Arlington County",-,"22 - Abingdon",291,881,1,"1,173"
"Arlington County",-,"23 - Westover",291,897,1,"1,189"
"Arlington County",-,"24 - Woodlawn",349,"1,042",1,"1,392"
"Arlington County",-,"25 - Arlington Forest",275,748,1,"1,024"
"Arlington County",-,"26 - Fillmore",284,911,1,"1,196"
"Arlington County",-,"27 - Jefferson",284,846,2,"1,132"
"Arlington County",-,"28 - Wakefield",273,890,1,"1,164"
"Arlington County",-,"29 - Dominion Hills",299,821,2,"1,122"
"Arlington County",-,"30 - Glebe",211,753,1,965
"Arlington County",-,"31 - Lexington",322,904,1,"1,227"
"Arlington County",-,"32 - Oakridge",183,293,0,476
"Arlington County",-,"33 - Rock Spring",423,677,1,"1,101"
"Arlington County",-,"34 - Yorktown",335,726,0,"1,061"
"Arlington County",-,"35 - Madison",426,549,3,978
"Arlington County",-,"36 - Marshall",348,746,1,"1,095"
"Arlington County",-,"37 - Nottingham",347,748,2,"1,097"
"Arlington County",-,"38 - Arlington View",183,640,4,827
"Arlington County",-,"39 - Ashlawn",177,499,0,676
"Arlington County",-,"40 - Virginia Square",372,853,1,"1,226"
"Arlington County",-,"41 - Navy League",203,530,2,735
"Arlington County",-,"42 - Shirlington",180,615,0,795
"Arlington County",-,"43 - Campbell",155,587,4,746
"Arlington County",-,"44 - Dawson Terrace",174,535,1,710
"Arlington County",-,"45 - Buckingham",200,538,0,738
"Arlington County",-,"46 - Central",365,856,1,"1,222"
"Arlington County",-,"47 - Four Mile Run",170,599,1,770
"Arlington County",-,"48 - Ausa",203,454,1,658
"Arlington County",-,"49 - Monroe",218,543,1,762
"Arlington County",-,"50 - Crystal Plaza",282,650,0,932
"Arlington County",-,"51 - Taylor",80,283,0,363
"Arlington County",-,"52 - Gunston",178,595,1,774
"Arlington County",-,"53 - Met Park",316,863,2,"1,181"
"Arlington County",-,"54 - Garfield Park",133,350,1,484
"Arlington County",-,"##ab - Central Absentee Precinct","1,706","11,934",14,"13,654"
"Arlington County",-,"##ev - Central Absentee Precinct","4,902","22,654",30,"27,586"
"Arlington County",-,"##pe - Central Absentee Precinct",150,807,0,957
"Arlington County",-,Provisional,60,311,0,371
"Augusta County",-,"101 - Jolivue",450,126,0,576
"Augusta County",-,"102 - Stuarts Draft Elementary",550,183,1,734
"Augusta County",-,"103 - Verona",789,185,2,976
"Augusta County",-,"201 - Crimora","1,075",184,0,"1,259"
"Augusta County",-,"202 - New Hope",720,132,0,852
"Augusta County",-,"203 - Weyers Cave",983,256,1,"1,240"
"Augusta County",-,"301 - Fort Defiance","1,170",299,1,"1,470"
"Augusta County",-,"302 - North River",458,67,0,525
"Augusta County",-,"303 - Mount Solon",714,76,0,790
"Augusta County",-,"304 - Churchville Fire Station",526,101,0,627
"Augusta County",-,"401 - Buffalo Gap",629,108,0,737
"Augusta County",-,"402 - Churchville Elementary",613,102,0,715
"Augusta County",-,"403 - Craigsville",527,65,0,592
"Augusta County",-,"404 - Deerfield",249,47,0,296
"Augusta County",-,"405 - Cedar Green",629,184,1,814
"Augusta County",-,"501 - Greenville",993,166,1,"1,160"
"Augusta County",-,"502 - Middlebrook",555,104,1,660
"Augusta County",-,"503 - Spottswood",609,97,1,707
"Augusta County",-,"504 - White Hill",927,162,0,"1,089"
"Augusta County",-,"601 - Sherando",767,152,0,919
"Augusta County",-,"602 - Ridgeview","1,446",268,1,"1,715"
"Augusta County",-,"603 - Lyndhurst",932,258,0,"1,190"
"Augusta County",-,"801 - Dooms",768,162,2,932
"Augusta County",-,"802 - Fishersville","1,111",366,1,"1,478"
"Augusta County",-,"803 - Wilson",835,323,3,"1,161"
"Augusta County",-,"##ab - Central Absentee Precinct",851,"1,063",1,"1,915"
"Augusta County",-,"##ev - Central Absentee Precinct","5,913","2,339",2,"8,254"
"Augusta County",-,"##pe - Central Absentee Precinct",29,35,0,64
"Augusta County",-,Provisional,22,22,0,44
"Bath County",-,"101 - Warm Springs",205,70,0,275
"Bath County",-,"102 - Mountain Grove",50,10,1,61
"Bath County",-,"201 - Hot Springs",163,59,0,222
"Bath County",-,"301 - Fairview",241,25,0,266
"Bath County",-,"302 - Burnsville",58,8,0,66
"Bath County",-,"401 - Millboro",317,49,0,366
"Bath County",-,"501 - Healing Springs",269,79,0,348
"Bath County",-,"##ab - Central Absentee Precinct",27,39,0,66
"Bath County",-,"##ev - Central Absentee Precinct",170,91,0,261
"Bath County",-,"##pe - Central Absentee Precinct",5,2,0,7
"Bath County",-,Provisional,0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)","1,113",192,0,"1,305"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",506,110,0,616
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",755,153,1,909
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",727,132,0,859
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",334,63,0,397
"Bedford County",-,"202 - Staunton River High School (CD 5)",589,100,1,690
"Bedford County",-,"203 - Moneta Elem School (CD 5)",998,194,2,"1,194"
"Bedford County",-,"204 - Quaker Baptist Church (CD 5)",362,65,1,428
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",848,192,0,"1,040"
"Bedford County",-,"301 - New London Academy (CD 6)","1,099",159,0,"1,258"
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",559,100,1,660
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",477,68,0,545
"Bedford County",-,"304 - Riverside Church (CD 6)",461,96,1,558
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",399,63,0,462
"Bedford County",-,"306 - Forest Fire Station #2 (CD 6)",651,73,0,724
"Bedford County",-,"401 - Forest Elementary School (CD 6)","1,215",227,1,"1,443"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",590,166,3,759
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)","1,356",312,4,"1,672"
"Bedford County",-,"404 - Forest Recreation Center (CD 6)","1,005",146,1,"1,152"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",315,55,0,370
"Bedford County",-,"503 - Sedalia Center (CD 6)",417,72,0,489
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",562,89,0,651
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",942,339,0,"1,281"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)","1,530",339,1,"1,870"
"Bedford County",-,"601 - Montvale Elem School (CD 6)",770,121,0,891
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",849,133,0,982
"Bedford County",-,"603 - Thaxton Baptist Church #1 (CD 5)",203,35,0,238
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",805,204,0,"1,009"
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)","1,186",167,2,"1,355"
"Bedford County",-,"702 - Liberty High School (CD 5)",470,73,0,543
"Bedford County",-,"703 - Thaxton Baptist Church #2 (CD 5)",434,66,1,501
"Bedford County",-,"704 - Bedford Central Library (CD 5)",725,249,0,974
"Bedford County",-,"##ab - Central Absentee Precinct (CD 5)",365,642,3,"1,010"
"Bedford County",-,"##ab - Central Absentee Precinct (CD 6)",586,689,2,"1,277"
"Bedford County",-,"##ev - Central Absentee Precinct (CD 5)","3,792","1,331",1,"5,124"
"Bedford County",-,"##ev - Central Absentee Precinct (CD 6)","2,584",889,2,"3,475"
"Bedford County",-,"##pe - Central Absentee Precinct (CD 5)",42,35,0,77
"Bedford County",-,"##pe - Central Absentee Precinct (CD 6)",37,47,0,84
"Bedford County",-,"Provisional (CD 5)",10,5,0,15
"Bedford County",-,"Provisional (CD 6)",24,8,0,32
"Bland County",-,"101 - Bastian",210,32,1,243
"Bland County",-,"102 - Ceres",258,34,0,292
"Bland County",-,"201 - Davis",74,15,0,89
"Bland County",-,"202 - Seddon",424,52,0,476
"Bland County",-,"301 - Hollybrook",264,21,1,286
"Bland County",-,"302 - Mechanicsburg",135,12,0,147
"Bland County",-,"401 - Rocky Gap",455,68,0,523
"Bland County",-,"##ab - Central Absentee Precinct",51,63,1,115
"Bland County",-,"##ev - Central Absentee Precinct",381,81,0,462
"Bland County",-,"##pe - Central Absentee Precinct",0,0,0,0
"Bland County",-,Provisional,0,0,0,0
"Botetourt County",-,"101 - Daleville",953,295,1,"1,249"
"Botetourt County",-,"102 - Greenfield","1,075",208,1,"1,284"
"Botetourt County",-,"201 - Blue Ridge","1,050",227,1,"1,278"
"Botetourt County",-,"202 - Rainbow Forest","1,025",236,1,"1,262"
"Botetourt County",-,"301 - Buchanan",924,163,2,"1,089"
"Botetourt County",-,"302 - Mill Creek",839,181,1,"1,021"
"Botetourt County",-,"403 - Eagle Rock",636,114,0,750
"Botetourt County",-,"406 - Fincastle","1,068",210,2,"1,280"
"Botetourt County",-,"501 - Troutville",659,156,0,815
"Botetourt County",-,"502 - Cloverdale","1,102",311,1,"1,414"
"Botetourt County",-,"##ab - Central Absentee Precinct",430,566,2,998
"Botetourt County",-,"##ev - Central Absentee Precinct","3,180","1,409",3,"4,592"
"Botetourt County",-,"##pe - Central Absentee Precinct",23,16,1,40
"Botetourt County",-,Provisional,3,0,0,3
"Bristol City",-,"1 - First Ward",488,117,0,605
"Bristol City",-,"2 - Second Ward",670,193,0,863
"Bristol City",-,"3 - Third Ward",311,130,1,442
"Bristol City",-,"4 - Fourth Ward","1,266",205,0,"1,471"
"Bristol City",-,"##ab - Central Absentee Precinct",192,295,1,488
"Bristol City",-,"##ev - Central Absentee Precinct",802,394,0,"1,196"
"Bristol City",-,"##pe - Central Absentee Precinct",7,2,0,9
"Bristol City",-,Provisional,3,2,0,5
"Brunswick County",-,"101 - Brodnax",132,110,1,243
"Brunswick County",-,"102 - Rock Store",259,105,0,364
"Brunswick County",-,"103 - Tillman",327,154,0,481
"Brunswick County",-,"201 - Dromgoole",85,60,0,145
"Brunswick County",-,"202 - Edgerton",95,201,0,296
"Brunswick County",-,"203 - Fitzhugh",128,167,0,295
"Brunswick County",-,"301 - Alberta",58,60,0,118
"Brunswick County",-,"302 - Danieltown",288,156,0,444
"Brunswick County",-,"303 - Elmore",116,83,1,200
"Brunswick County",-,"304 - Seymour",118,91,0,209
"Brunswick County",-,"401 - Sturgeon",280,267,0,547
"Brunswick County",-,"402 - King's Store",73,145,0,218
"Brunswick County",-,"501 - Totaro",114,306,0,420
"Brunswick County",-,"##ab - Central Absentee Precinct",94,311,1,406
"Brunswick County",-,"##ev - Central Absentee Precinct",677,996,1,"1,674"
"Brunswick County",-,"##pe - Central Absentee Precinct",1,2,0,3
"Brunswick County",-,Provisional,2,2,0,4
"Buchanan County",-,"102 - Blackey",229,12,0,241
"Buchanan County",-,"103 - Hurley",413,46,0,459
"Buchanan County",-,"201 - Grassy",53,17,0,70
"Buchanan County",-,"202 - Bull",296,30,0,326
"Buchanan County",-,"203 - Rocklick",284,29,1,314
"Buchanan County",-,"301 - Slate",305,57,0,362
"Buchanan County",-,"302 - North Grundy",265,34,1,300
"Buchanan County",-,"403 - South Grundy",417,61,0,478
"Buchanan County",-,"404 - Oakwood",45,12,0,57
"Buchanan County",-,"501 - Prater",280,59,0,339
"Buchanan County",-,"502 - Fox",70,21,0,91
"Buchanan County",-,"503 - Vansant",295,51,0,346
"Buchanan County",-,"601 - Council",199,35,0,234
"Buchanan County",-,"602 - Garden",290,48,1,339
"Buchanan County",-,"603 - Hurricane",165,50,0,215
"Buchanan County",-,"701 - Whitewood",336,57,0,393
"Buchanan County",-,"702 - Contrary",276,37,3,316
"Buchanan County",-,"##ab - Central Absentee Precinct",129,126,0,255
"Buchanan County",-,"##ev - Central Absentee Precinct",603,177,1,781
"Buchanan County",-,"##pe - Central Absentee Precinct",3,1,0,4
"Buchanan County",-,Provisional,1,0,0,1
"Buckingham County",-,"101 - New Canton",400,213,0,613
"Buckingham County",-,"102 - Georgia Creek",135,54,0,189
"Buckingham County",-,"201 - White Hall",215,126,0,341
"Buckingham County",-,"301 - Curdsville",308,141,0,449
"Buckingham County",-,"302 - New Store",289,59,1,349
"Buckingham County",-,"401 - Maysville",455,166,0,621
"Buckingham County",-,"501 - Wrights",215,41,0,256
"Buckingham County",-,"502 - Glenmore",261,133,0,394
"Buckingham County",-,"601 - Slate River",306,207,0,513
"Buckingham County",-,"701 - Gold Hill",249,113,1,363
"Buckingham County",-,"##ab - Central Absentee Precinct",121,270,0,391
"Buckingham County",-,"##ev - Central Absentee Precinct",899,728,3,"1,630"
"Buckingham County",-,"##pe - Central Absentee Precinct",5,3,0,8
"Buckingham County",-,Provisional,1,4,0,5
"Buena Vista City",-,"1 - First Ward",572,128,1,701
"Buena Vista City",-,"2 - Second Ward",411,107,1,519
"Buena Vista City",-,"##ab - Central Absentee Precinct",51,91,0,142
"Buena Vista City",-,"##ev - Central Absentee Precinct",381,188,0,569
"Buena Vista City",-,"##pe - Central Absentee Precinct",1,5,0,6
"Buena Vista City",-,Provisional,0,1,0,1
"Campbell County",-,"101 - Brookville","1,173",249,1,"1,423"
"Campbell County",-,"102 - New London","1,237",212,1,"1,450"
"Campbell County",-,"201 - Walker",840,212,3,"1,055"
"Campbell County",-,"202 - Bedford Springs","1,359",227,1,"1,587"
"Campbell County",-,"301 - Evington",514,115,0,629
"Campbell County",-,"302 - Otter River",432,78,1,511
"Campbell County",-,"303 - Altavista",978,345,3,"1,326"
"Campbell County",-,"401 - Three Forks",857,113,0,970
"Campbell County",-,"402 - Court House","1,244",214,0,"1,458"
"Campbell County",-,"501 - Spring Hill","1,125",231,1,"1,357"
"Campbell County",-,"502 - Yellow Branch",698,186,0,884
"Campbell County",-,"601 - Kings",719,180,0,899
"Campbell County",-,"602 - Concord","1,083",224,0,"1,307"
"Campbell County",-,"701 - Brookneal",577,144,0,721
"Campbell County",-,"702 - Gladys",742,188,0,930
"Campbell County",-,"703 - Morris Church",440,85,1,526
"Campbell County",-,"##ab - Central Absentee Precinct",346,599,0,945
"Campbell County",-,"##ev - Central Absentee Precinct","3,688","1,478",1,"5,167"
"Campbell County",-,"##pe - Central Absentee Precinct",7,4,0,11
"Campbell County",-,Provisional,0,0,0,0
"Caroline County",-,"101 - Bowling Green",605,200,1,806
"Caroline County",-,"102 - Sparta",510,185,1,696
"Caroline County",-,"201 - North Madison",396,297,0,693
"Caroline County",-,"202 - South Madison",598,325,0,923
"Caroline County",-,"301 - Port Royal",275,151,0,426
"Caroline County",-,"302 - Woodford",716,328,0,"1,044"
"Caroline County",-,"401 - Dawn",540,484,1,"1,025"
"Caroline County",-,"402 - Carmel Church",200,200,1,401
"Caroline County",-,"501 - West Mattaponi",350,323,0,673
"Caroline County",-,"502 - Milford",397,172,0,569
"Caroline County",-,"601 - Chilesburg",556,341,1,898
"Caroline County",-,"602 - Lake",412,217,0,629
"Caroline County",-,"##ab - Central Absentee Precinct",199,589,2,790
"Caroline County",-,"##ev - Central Absentee Precinct","1,114","1,287",0,"2,401"
"Caroline County",-,"##pe - Central Absentee Precinct",8,16,0,24
"Caroline County",-,Provisional,7,14,0,21
"Carroll County",-,"101 - Mt Bethel",337,51,0,388
"Carroll County",-,"102 - St Paul",503,60,0,563
"Carroll County",-,"103 - Lambsburg",296,37,0,333
"Carroll County",-,"105 - Fancy Gap",415,67,0,482
"Carroll County",-,"201 - Hillsville B",753,147,1,901
"Carroll County",-,"202 - Laurel Fork",370,64,0,434
"Carroll County",-,"203 - Gladesboro",474,77,0,551
"Carroll County",-,"301 - Hillsville C",933,141,0,"1,074"
"Carroll County",-,"302 - Sylvatus",418,54,1,473
"Carroll County",-,"303 - Dugspur",215,36,0,251
"Carroll County",-,"401 - Oakland",797,116,1,914
"Carroll County",-,"402 - Woodlawn D",701,85,1,787
"Carroll County",-,"406 - Woodlawn F",122,27,0,149
"Carroll County",-,"501 - Vaughan",294,37,0,331
"Carroll County",-,"502 - Gladeville",727,84,0,811
"Carroll County",-,"503 - Woodlawn E",335,53,2,390
"Carroll County",-,"504 - Laurel",394,58,0,452
"Carroll County",-,"##ab - Central Absentee Precinct",365,350,1,716
"Carroll County",-,"##ev - Central Absentee Precinct","1,321",424,0,"1,745"
"Carroll County",-,"##pe - Central Absentee Precinct",8,8,0,16
"Carroll County",-,Provisional,8,3,0,11
"Charles City County",-,"101 - Precinct 1-1",487,300,0,787
"Charles City County",-,"201 - Precinct 2-1",265,288,0,553
"Charles City County",-,"301 - Precinct 3-1",311,277,1,589
"Charles City County",-,"##ab - Central Absentee Precinct",46,247,0,293
"Charles City County",-,"##ev - Central Absentee Precinct",435,694,0,"1,129"
"Charles City County",-,"##pe - Central Absentee Precinct",4,11,0,15
"Charles City County",-,Provisional,1,6,0,7
"Charlotte County",-,"101 - County Seat",350,132,0,482
"Charlotte County",-,"201 - Red Oak Wylliesburg",432,151,0,583
"Charlotte County",-,"302 - Drakes Branch",320,90,1,411
"Charlotte County",-,"401 - Keysville",436,135,0,571
"Charlotte County",-,"501 - Cullen/Red House",306,116,0,422
"Charlotte County",-,"602 - Phenix",488,107,0,595
"Charlotte County",-,"702 - Bacon/Saxe",244,114,2,360
"Charlotte County",-,"##ab - Central Absentee Precinct",59,177,0,236
"Charlotte County",-,"##ev - Central Absentee Precinct",653,431,0,"1,084"
"Charlotte County",-,"##pe - Central Absentee Precinct",2,1,0,3
"Charlotte County",-,Provisional,0,3,0,3
"Charlottesville City",-,"101 - Key Recreation",263,"1,034",0,"1,297"
"Charlottesville City",-,"102 - Clark",243,"1,227",2,"1,472"
"Charlottesville City",-,"201 - Carver",136,964,1,"1,101"
"Charlottesville City",-,"202 - Walker",432,"1,284",2,"1,718"
"Charlottesville City",-,"301 - Benjamin Tonsler",152,930,2,"1,084"
"Charlottesville City",-,"302 - Johnson",350,"1,215",0,"1,565"
