County/City,Ward,Pct,"Winsome Earle Sears","Hala Sophia Ayala","All Others","Total Votes Cast"
"Alexandria City",-,"207 - Temple Beth El Synagogue",466,931,5,"1,402"
"Alexandria City",-,"208 - Nova Arts Center",343,922,3,"1,268"
"Alexandria City",-,"209 - James K Polk School",290,990,4,"1,284"
"Alexandria City",-,"210 - The Hermitage",181,353,1,535
"Alexandria City",-,"302 - Patrick Henry Rec Center",203,631,1,835
"Alexandria City",-,"303 - Charles E Beatley Library",196,581,2,779
"Alexandria City",-,"304 - Samuel Tucker School",216,669,1,886
"Alexandria City",-,"305 - John Adams School",240,727,1,968
"Alexandria City",-,"306 - William Ramsay School",258,829,3,"1,090"
"Alexandria City",-,"307 - South Port",269,774,4,"1,047"
"Alexandria City",-,"308 - Cameron Station Community Ctr",434,899,2,"1,335"
"Alexandria City",-,"309 - Olympus Condo",164,553,0,717
"Alexandria City",-,"##ab - Central Absentee Precinct","1,116","6,799",12,"7,927"
"Alexandria City",-,"##ev - Central Absentee Precinct","3,586","12,929",21,"16,536"
"Alexandria City",-,"##pe - Central Absentee Precinct",118,670,2,790
"Alexandria City",-,Provisional,48,200,0,248
"Alleghany County",-,"101 - Arritt",445,92,1,538
"Alleghany County",-,"103 - Dameron",176,27,0,203
"Alleghany County",-,"201 - Humpback Bridge",249,54,0,303
"Alleghany County",-,"202 - Dolly Ann",320,66,2,388
"Alleghany County",-,"301 - Callaghan",281,43,0,324
"Alleghany County",-,"302 - Griffith",431,116,0,547
"Alleghany County",-,"401 - Low Moor",290,71,0,361
"Alleghany County",-,"402 - Jackson Heights",343,90,1,434
"Alleghany County",-,"501 - Iron Gate",141,65,1,207
"Alleghany County",-,"502 - Peters Switch",523,117,0,640
"Alleghany County",-,"601 - District 1",455,236,0,691
"Alleghany County",-,"701 - District 2",276,174,0,450
"Alleghany County",-,"##ab - Central Absentee Precinct",104,207,1,312
"Alleghany County",-,"##ev - Central Absentee Precinct",396,250,0,646
"Alleghany County",-,"##pe - Central Absentee Precinct",1,1,0,2
"Alleghany County",-,Provisional,0,0,0,0
"Amelia County",-,"101 - Number One",596,137,3,736
"Amelia County",-,"201 - Number Two",659,192,1,852
"Amelia County",-,"301 - Number Three",644,149,1,794
"Amelia County",-,"401 - Number Four",575,129,0,704
"Amelia County",-,"501 - Number Five",749,259,1,"1,009"
"Amelia County",-,"##ab - Central Absentee Precinct",100,157,0,257
"Amelia County",-,"##ev - Central Absentee Precinct","1,356",600,1,"1,957"
"Amelia County",-,"##pe - Central Absentee Precinct",7,6,0,13
"Amelia County",-,Provisional,1,3,0,4
"Amherst County",-,"101 - Wright Shop",378,281,2,661
"Amherst County",-,"102 - New Glasgow",654,177,0,831
"Amherst County",-,"103 - Coolwell",390,74,2,466
"Amherst County",-,"201 - Court House",864,341,0,"1,205"
"Amherst County",-,"202 - Temperance",508,107,0,615
"Amherst County",-,"301 - Monroe",478,130,0,608
"Amherst County",-,"302 - Elon","1,217",284,2,"1,503"
"Amherst County",-,"303 - Pleasant View",299,65,0,364
"Amherst County",-,"401 - Amelon","1,084",348,1,"1,433"
"Amherst County",-,"402 - Lonco",323,83,0,406
"Amherst County",-,"501 - Madison","1,087",436,2,"1,525"
"Amherst County",-,"##ab - Central Absentee Precinct",360,618,0,978
"Amherst County",-,"##ev - Central Absentee Precinct","1,975","1,049",1,"3,025"
"Amherst County",-,"##pe - Central Absentee Precinct",4,8,0,12
"Amherst County",-,Provisional,3,3,0,6
"Appomattox County",-,"101 - Vera",345,49,1,395
"Appomattox County",-,"102 - Pamplin",541,131,0,672
"Appomattox County",-,"201 - Chap",200,60,0,260
"Appomattox County",-,"202 - Spout Spring",778,78,0,856
"Appomattox County",-,"301 - Us 460",504,62,1,567
"Appomattox County",-,"302 - Stonewall",560,111,1,672
"Appomattox County",-,"401 - Courthouse",642,138,2,782
"Appomattox County",-,"501 - Oakville",565,158,1,724
"Appomattox County",-,"502 - Agee",217,61,0,278
"Appomattox County",-,"##ab - Central Absentee Precinct",110,149,0,259
"Appomattox County",-,"##ev - Central Absentee Precinct","1,457",458,2,"1,917"
"Appomattox County",-,"##pe - Central Absentee Precinct",2,5,0,7
"Appomattox County",-,Provisional,1,0,0,1
"Arlington County",-,"1 - Arlington",217,689,2,908
"Arlington County",-,"2 - Ashton Heights",290,795,6,"1,091"
"Arlington County",-,"3 - Aurora Hills",256,490,2,748
"Arlington County",-,"4 - Ballston",305,876,4,"1,185"
"Arlington County",-,"5 - Barcroft",279,817,3,"1,099"
"Arlington County",-,"6 - Crystal City",241,583,0,824
"Arlington County",-,"7 - Cherrydale",321,794,0,"1,115"
"Arlington County",-,"8 - Hume",344,955,5,"1,304"
"Arlington County",-,"9 - Columbia",310,882,1,"1,193"
"Arlington County",-,"10 - Wilson",293,735,2,"1,030"
"Arlington County",-,"11 - East Falls Church",249,657,0,906
"Arlington County",-,"12 - Fairlington",352,943,4,"1,299"
"Arlington County",-,"13 - Glen Carlyn",238,556,0,794
"Arlington County",-,"14 - Clarendon",205,543,1,749
"Arlington County",-,"15 - Lyon Park",179,456,0,635
"Arlington County",-,"16 - Lyon Village",302,726,6,"1,034"
"Arlington County",-,"17 - Overlee Knolls",379,921,4,"1,304"
"Arlington County",-,"18 - Park Lane",380,869,3,"1,252"
"Arlington County",-,"19 - Rosslyn",285,696,2,983
"Arlington County",-,"20 - Thrifton",319,570,2,891
"Arlington County",-,"21 - Virginia Highlands",177,452,0,629
"Arlington County",-,"22 - Abingdon",306,865,3,"1,174"
"Arlington County",-,"23 - Westover",303,883,2,"1,188"
"Arlington County",-,"24 - Woodlawn",349,"1,043",4,"1,396"
"Arlington County",-,"25 - Arlington Forest",273,747,2,"1,022"
"Arlington County",-,"26 - Fillmore",299,901,4,"1,204"
"Arlington County",-,"27 - Jefferson",290,840,3,"1,133"
"Arlington County",-,"28 - Wakefield",266,898,3,"1,167"
"Arlington County",-,"29 - Dominion Hills",307,814,5,"1,126"
"Arlington County",-,"30 - Glebe",222,740,0,962
"Arlington County",-,"31 - Lexington",317,911,0,"1,228"
"Arlington County",-,"32 - Oakridge",176,297,1,474
"Arlington County",-,"33 - Rock Spring",431,664,1,"1,096"
"Arlington County",-,"34 - Yorktown",342,716,3,"1,061"
"Arlington County",-,"35 - Madison",435,545,4,984
"Arlington County",-,"36 - Marshall",349,751,1,"1,101"
"Arlington County",-,"37 - Nottingham",352,744,4,"1,100"
"Arlington County",-,"38 - Arlington View",182,646,4,832
"Arlington County",-,"39 - Ashlawn",176,498,0,674
"Arlington County",-,"40 - Virginia Square",362,865,3,"1,230"
"Arlington County",-,"41 - Navy League",195,536,4,735
"Arlington County",-,"42 - Shirlington",179,614,0,793
"Arlington County",-,"43 - Campbell",162,581,1,744
"Arlington County",-,"44 - Dawson Terrace",182,527,1,710
"Arlington County",-,"45 - Buckingham",208,533,1,742
"Arlington County",-,"46 - Central",370,854,2,"1,226"
"Arlington County",-,"47 - Four Mile Run",169,600,1,770
"Arlington County",-,"48 - Ausa",220,440,1,661
"Arlington County",-,"49 - Monroe",212,548,1,761
"Arlington County",-,"50 - Crystal Plaza",289,642,1,932
"Arlington County",-,"51 - Taylor",78,281,0,359
"Arlington County",-,"52 - Gunston",184,588,0,772
"Arlington County",-,"53 - Met Park",311,868,2,"1,181"
"Arlington County",-,"54 - Garfield Park",136,345,4,485
"Arlington County",-,"##ab - Central Absentee Precinct","1,736","11,890",26,"13,652"
"Arlington County",-,"##ev - Central Absentee Precinct","4,925","22,642",35,"27,602"
"Arlington County",-,"##pe - Central Absentee Precinct",156,810,0,966
"Arlington County",-,Provisional,57,318,0,375
"Augusta County",-,"101 - Jolivue",451,123,0,574
"Augusta County",-,"102 - Stuarts Draft Elementary",564,169,1,734
"Augusta County",-,"103 - Verona",800,173,1,974
"Augusta County",-,"201 - Crimora","1,091",166,0,"1,257"
"Augusta County",-,"202 - New Hope",734,112,2,848
"Augusta County",-,"203 - Weyers Cave","1,006",234,0,"1,240"
"Augusta County",-,"301 - Fort Defiance","1,187",278,2,"1,467"
"Augusta County",-,"302 - North River",459,66,0,525
"Augusta County",-,"303 - Mount Solon",715,74,1,790
"Augusta County",-,"304 - Churchville Fire Station",534,93,0,627
"Augusta County",-,"401 - Buffalo Gap",633,105,0,738
"Augusta County",-,"402 - Churchville Elementary",624,91,1,716
"Augusta County",-,"403 - Craigsville",533,61,0,594
"Augusta County",-,"404 - Deerfield",253,43,0,296
"Augusta County",-,"405 - Cedar Green",640,174,0,814
"Augusta County",-,"501 - Greenville","1,004",155,1,"1,160"
"Augusta County",-,"502 - Middlebrook",567,95,0,662
"Augusta County",-,"503 - Spottswood",617,93,0,710
"Augusta County",-,"504 - White Hill",953,138,1,"1,092"
"Augusta County",-,"601 - Sherando",784,134,0,918
"Augusta County",-,"602 - Ridgeview","1,468",247,0,"1,715"
"Augusta County",-,"603 - Lyndhurst",943,243,0,"1,186"
"Augusta County",-,"801 - Dooms",778,153,1,932
"Augusta County",-,"802 - Fishersville","1,150",328,2,"1,480"
"Augusta County",-,"803 - Wilson",841,315,3,"1,159"
"Augusta County",-,"##ab - Central Absentee Precinct",895,"1,010",4,"1,909"
"Augusta County",-,"##ev - Central Absentee Precinct","5,983","2,267",2,"8,252"
"Augusta County",-,"##pe - Central Absentee Precinct",31,33,0,64
"Augusta County",-,Provisional,21,23,0,44
"Bath County",-,"101 - Warm Springs",207,68,0,275
"Bath County",-,"102 - Mountain Grove",51,10,0,61
"Bath County",-,"201 - Hot Springs",160,62,0,222
"Bath County",-,"301 - Fairview",241,25,0,266
"Bath County",-,"302 - Burnsville",59,7,0,66
"Bath County",-,"401 - Millboro",316,49,0,365
"Bath County",-,"501 - Healing Springs",267,77,0,344
"Bath County",-,"##ab - Central Absentee Precinct",27,39,0,66
"Bath County",-,"##ev - Central Absentee Precinct",176,86,0,262
"Bath County",-,"##pe - Central Absentee Precinct",5,2,0,7
"Bath County",-,Provisional,0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)","1,110",191,2,"1,303"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",501,113,2,616
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",754,149,1,904
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",716,139,1,856
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",335,63,0,398
"Bedford County",-,"202 - Staunton River High School (CD 5)",592,99,1,692
"Bedford County",-,"203 - Moneta Elem School (CD 5)",996,197,2,"1,195"
"Bedford County",-,"204 - Quaker Baptist Church (CD 5)",360,65,0,425
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",842,198,1,"1,041"
"Bedford County",-,"301 - New London Academy (CD 6)","1,100",159,0,"1,259"
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",557,97,3,657
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",469,70,1,540
"Bedford County",-,"304 - Riverside Church (CD 6)",461,95,1,557
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",400,62,0,462
"Bedford County",-,"306 - Forest Fire Station #2 (CD 6)",651,74,0,725
"Bedford County",-,"401 - Forest Elementary School (CD 6)","1,207",240,1,"1,448"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",594,163,1,758
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)","1,360",307,3,"1,670"
"Bedford County",-,"404 - Forest Recreation Center (CD 6)","1,001",152,0,"1,153"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",314,56,0,370
"Bedford County",-,"503 - Sedalia Center (CD 6)",418,70,1,489
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",561,88,0,649
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",936,344,1,"1,281"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)","1,535",335,0,"1,870"
"Bedford County",-,"601 - Montvale Elem School (CD 6)",753,135,1,889
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",839,142,1,982
"Bedford County",-,"603 - Thaxton Baptist Church #1 (CD 5)",200,37,1,238
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",806,197,0,"1,003"
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)","1,191",163,1,"1,355"
"Bedford County",-,"702 - Liberty High School (CD 5)",469,74,0,543
"Bedford County",-,"703 - Thaxton Baptist Church #2 (CD 5)",429,70,0,499
"Bedford County",-,"704 - Bedford Central Library (CD 5)",724,252,0,976
"Bedford County",-,"##ab - Central Absentee Precinct (CD 5)",368,640,2,"1,010"
"Bedford County",-,"##ab - Central Absentee Precinct (CD 6)",581,694,0,"1,275"
"Bedford County",-,"##ev - Central Absentee Precinct (CD 5)","3,777","1,339",1,"5,117"
"Bedford County",-,"##ev - Central Absentee Precinct (CD 6)","2,583",885,4,"3,472"
"Bedford County",-,"##pe - Central Absentee Precinct (CD 5)",45,32,0,77
"Bedford County",-,"##pe - Central Absentee Precinct (CD 6)",34,50,0,84
"Bedford County",-,"Provisional (CD 5)",10,5,0,15
"Bedford County",-,"Provisional (CD 6)",25,7,0,32
"Bland County",-,"101 - Bastian",215,28,0,243
"Bland County",-,"102 - Ceres",257,37,0,294
"Bland County",-,"201 - Davis",68,21,0,89
"Bland County",-,"202 - Seddon",411,61,0,472
"Bland County",-,"301 - Hollybrook",263,20,1,284
"Bland County",-,"302 - Mechanicsburg",132,13,0,145
"Bland County",-,"401 - Rocky Gap",461,64,0,525
"Bland County",-,"##ab - Central Absentee Precinct",49,65,0,114
"Bland County",-,"##ev - Central Absentee Precinct",380,80,0,460
"Bland County",-,"##pe - Central Absentee Precinct",0,0,0,0
"Bland County",-,Provisional,0,0,0,0
"Botetourt County",-,"101 - Daleville",950,297,1,"1,248"
"Botetourt County",-,"102 - Greenfield","1,074",206,1,"1,281"
"Botetourt County",-,"201 - Blue Ridge","1,047",227,2,"1,276"
"Botetourt County",-,"202 - Rainbow Forest","1,021",239,0,"1,260"
"Botetourt County",-,"301 - Buchanan",917,168,2,"1,087"
"Botetourt County",-,"302 - Mill Creek",829,185,1,"1,015"
"Botetourt County",-,"403 - Eagle Rock",637,114,0,751
"Botetourt County",-,"406 - Fincastle","1,078",201,2,"1,281"
"Botetourt County",-,"501 - Troutville",661,152,1,814
"Botetourt County",-,"502 - Cloverdale","1,094",316,3,"1,413"
"Botetourt County",-,"##ab - Central Absentee Precinct",441,550,2,993
"Botetourt County",-,"##ev - Central Absentee Precinct","3,166","1,417",3,"4,586"
"Botetourt County",-,"##pe - Central Absentee Precinct",22,18,0,40
"Botetourt County",-,Provisional,3,0,0,3
"Bristol City",-,"1 - First Ward",490,114,0,604
"Bristol City",-,"2 - Second Ward",669,198,0,867
"Bristol City",-,"3 - Third Ward",304,135,0,439
"Bristol City",-,"4 - Fourth Ward","1,270",201,1,"1,472"
"Bristol City",-,"##ab - Central Absentee Precinct",199,283,3,485
"Bristol City",-,"##ev - Central Absentee Precinct",804,383,1,"1,188"
"Bristol City",-,"##pe - Central Absentee Precinct",6,3,0,9
"Bristol City",-,Provisional,3,2,0,5
"Brunswick County",-,"101 - Brodnax",133,109,1,243
"Brunswick County",-,"102 - Rock Store",258,106,0,364
"Brunswick County",-,"103 - Tillman",326,155,0,481
"Brunswick County",-,"201 - Dromgoole",85,58,0,143
"Brunswick County",-,"202 - Edgerton",95,202,0,297
"Brunswick County",-,"203 - Fitzhugh",132,163,0,295
"Brunswick County",-,"301 - Alberta",65,53,0,118
"Brunswick County",-,"302 - Danieltown",288,159,0,447
"Brunswick County",-,"303 - Elmore",118,82,1,201
"Brunswick County",-,"304 - Seymour",117,92,0,209
"Brunswick County",-,"401 - Sturgeon",282,264,0,546
"Brunswick County",-,"402 - King's Store",78,139,0,217
"Brunswick County",-,"501 - Totaro",116,302,1,419
"Brunswick County",-,"##ab - Central Absentee Precinct",96,309,0,405
"Brunswick County",-,"##ev - Central Absentee Precinct",674,996,0,"1,670"
"Brunswick County",-,"##pe - Central Absentee Precinct",1,2,0,3
"Brunswick County",-,Provisional,2,2,0,4
"Buchanan County",-,"102 - Blackey",230,11,0,241
"Buchanan County",-,"103 - Hurley",417,42,0,459
"Buchanan County",-,"201 - Grassy",53,17,1,71
"Buchanan County",-,"202 - Bull",295,29,2,326
"Buchanan County",-,"203 - Rocklick",284,29,1,314
"Buchanan County",-,"301 - Slate",313,47,1,361
"Buchanan County",-,"302 - North Grundy",265,33,1,299
"Buchanan County",-,"403 - South Grundy",425,52,0,477
"Buchanan County",-,"404 - Oakwood",46,10,0,56
"Buchanan County",-,"501 - Prater",276,58,1,335
"Buchanan County",-,"502 - Fox",66,19,0,85
"Buchanan County",-,"503 - Vansant",296,44,1,341
"Buchanan County",-,"601 - Council",199,31,1,231
"Buchanan County",-,"602 - Garden",296,43,1,340
"Buchanan County",-,"603 - Hurricane",161,50,0,211
"Buchanan County",-,"701 - Whitewood",333,59,1,393
"Buchanan County",-,"702 - Contrary",277,36,2,315
"Buchanan County",-,"##ab - Central Absentee Precinct",133,119,2,254
"Buchanan County",-,"##ev - Central Absentee Precinct",607,168,1,776
"Buchanan County",-,"##pe - Central Absentee Precinct",3,1,0,4
"Buchanan County",-,Provisional,1,0,0,1
"Buckingham County",-,"101 - New Canton",403,204,0,607
"Buckingham County",-,"102 - Georgia Creek",138,51,0,189
"Buckingham County",-,"201 - White Hall",214,125,0,339
"Buckingham County",-,"301 - Curdsville",313,134,0,447
"Buckingham County",-,"302 - New Store",292,55,1,348
"Buckingham County",-,"401 - Maysville",463,155,0,618
"Buckingham County",-,"501 - Wrights",212,46,0,258
"Buckingham County",-,"502 - Glenmore",260,130,0,390
"Buckingham County",-,"601 - Slate River",312,204,0,516
"Buckingham County",-,"701 - Gold Hill",253,111,1,365
"Buckingham County",-,"##ab - Central Absentee Precinct",124,267,0,391
"Buckingham County",-,"##ev - Central Absentee Precinct",894,734,2,"1,630"
"Buckingham County",-,"##pe - Central Absentee Precinct",4,4,0,8
"Buckingham County",-,Provisional,1,4,0,5
"Buena Vista City",-,"1 - First Ward",565,133,3,701
"Buena Vista City",-,"2 - Second Ward",409,113,0,522
"Buena Vista City",-,"##ab - Central Absentee Precinct",55,90,0,145
"Buena Vista City",-,"##ev - Central Absentee Precinct",385,186,0,571
"Buena Vista City",-,"##pe - Central Absentee Precinct",1,5,0,6
"Buena Vista City",-,Provisional,0,1,0,1
"Campbell County",-,"101 - Brookville","1,169",251,2,"1,422"
"Campbell County",-,"102 - New London","1,239",208,1,"1,448"
"Campbell County",-,"201 - Walker",835,218,2,"1,055"
"Campbell County",-,"202 - Bedford Springs","1,358",227,0,"1,585"
"Campbell County",-,"301 - Evington",518,112,0,630
"Campbell County",-,"302 - Otter River",428,82,1,511
"Campbell County",-,"303 - Altavista",987,336,3,"1,326"
"Campbell County",-,"401 - Three Forks",860,104,1,965
"Campbell County",-,"402 - Court House","1,238",217,0,"1,455"
"Campbell County",-,"501 - Spring Hill","1,138",218,0,"1,356"
"Campbell County",-,"502 - Yellow Branch",698,181,1,880
"Campbell County",-,"601 - Kings",716,181,1,898
"Campbell County",-,"602 - Concord","1,094",217,0,"1,311"
"Campbell County",-,"701 - Brookneal",580,139,0,719
"Campbell County",-,"702 - Gladys",747,186,1,934
"Campbell County",-,"703 - Morris Church",435,86,0,521
"Campbell County",-,"##ab - Central Absentee Precinct",351,590,0,941
"Campbell County",-,"##ev - Central Absentee Precinct","3,660","1,493",4,"5,157"
"Campbell County",-,"##pe - Central Absentee Precinct",7,4,0,11
"Campbell County",-,Provisional,0,0,0,0
"Caroline County",-,"101 - Bowling Green",606,199,0,805
"Caroline County",-,"102 - Sparta",515,179,1,695
"Caroline County",-,"201 - North Madison",393,300,1,694
"Caroline County",-,"202 - South Madison",602,320,1,923
"Caroline County",-,"301 - Port Royal",273,153,0,426
"Caroline County",-,"302 - Woodford",725,317,0,"1,042"
"Caroline County",-,"401 - Dawn",541,480,1,"1,022"
"Caroline County",-,"402 - Carmel Church",200,200,1,401
"Caroline County",-,"501 - West Mattaponi",350,324,0,674
"Caroline County",-,"502 - Milford",399,171,0,570
"Caroline County",-,"601 - Chilesburg",562,331,2,895
"Caroline County",-,"602 - Lake",414,217,0,631
"Caroline County",-,"##ab - Central Absentee Precinct",198,589,3,790
"Caroline County",-,"##ev - Central Absentee Precinct","1,112","1,283",1,"2,396"
"Caroline County",-,"##pe - Central Absentee Precinct",8,15,0,23
"Caroline County",-,Provisional,7,14,0,21
"Carroll County",-,"101 - Mt Bethel",335,51,0,386
"Carroll County",-,"102 - St Paul",504,60,0,564
"Carroll County",-,"103 - Lambsburg",293,39,1,333
"Carroll County",-,"105 - Fancy Gap",411,70,0,481
"Carroll County",-,"201 - Hillsville B",741,158,0,899
"Carroll County",-,"202 - Laurel Fork",363,68,0,431
"Carroll County",-,"203 - Gladesboro",470,80,0,550
"Carroll County",-,"301 - Hillsville C",929,139,1,"1,069"
"Carroll County",-,"302 - Sylvatus",418,53,1,472
"Carroll County",-,"303 - Dugspur",211,39,0,250
"Carroll County",-,"401 - Oakland",794,118,1,913
"Carroll County",-,"402 - Woodlawn D",697,83,1,781
"Carroll County",-,"406 - Woodlawn F",119,30,0,149
"Carroll County",-,"501 - Vaughan",291,38,0,329
"Carroll County",-,"502 - Gladeville",720,91,0,811
"Carroll County",-,"503 - Woodlawn E",333,49,2,384
"Carroll County",-,"504 - Laurel",394,57,0,451
"Carroll County",-,"##ab - Central Absentee Precinct",370,342,0,712
"Carroll County",-,"##ev - Central Absentee Precinct","1,311",423,3,"1,737"
"Carroll County",-,"##pe - Central Absentee Precinct",8,8,0,16
"Carroll County",-,Provisional,8,3,0,11
"Charles City County",-,"101 - Precinct 1-1",495,292,0,787
"Charles City County",-,"201 - Precinct 2-1",267,284,0,551
"Charles City County",-,"301 - Precinct 3-1",312,277,0,589
"Charles City County",-,"##ab - Central Absentee Precinct",53,242,0,295
"Charles City County",-,"##ev - Central Absentee Precinct",440,688,1,"1,129"
"Charles City County",-,"##pe - Central Absentee Precinct",4,11,0,15
"Charles City County",-,Provisional,1,6,0,7
"Charlotte County",-,"101 - County Seat",359,124,0,483
"Charlotte County",-,"201 - Red Oak Wylliesburg",432,150,1,583
"Charlotte County",-,"302 - Drakes Branch",320,91,1,412
"Charlotte County",-,"401 - Keysville",440,130,0,570
"Charlotte County",-,"501 - Cullen/Red House",308,114,0,422
"Charlotte County",-,"602 - Phenix",493,102,0,595
"Charlotte County",-,"702 - Bacon/Saxe",248,111,1,360
"Charlotte County",-,"##ab - Central Absentee Precinct",58,175,2,235
"Charlotte County",-,"##ev - Central Absentee Precinct",654,427,1,"1,082"
"Charlotte County",-,"##pe - Central Absentee Precinct",2,1,0,3
"Charlotte County",-,Provisional,0,3,0,3
"Charlottesville City",-,"101 - Key Recreation",260,"1,039",0,"1,299"
"Charlottesville City",-,"102 - Clark",263,"1,214",3,"1,480"
"Charlottesville City",-,"201 - Carver",154,950,1,"1,105"
"Charlottesville City",-,"202 - Walker",439,"1,281",3,"1,723"
"Charlottesville City",-,"301 - Benjamin Tonsler",161,921,1,"1,083"
"Charlottesville City",-,"302 - Johnson",380,"1,188",1,"1,569"
