County/City,Ward,Pct,"Mark R. Warner","James Jim S. Gilmore, III","Glenda Gail Parker","William B. Redpath","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian
"Alexandria City",-,"201 - Maury School (CD 8)","1,310",412,7,12,1,"1,742"
"Alexandria City",-,"202 - George Mason School (CD 8)","1,305",453,3,6,2,"1,769"
"Alexandria City",-,"203 - Agudas Achim Synagogue (CD 8)","1,498",401,9,15,2,"1,925"
"Alexandria City",-,"204 - Blessed Sacrament Church (CD 8)","1,206",428,7,3,1,"1,645"
"Alexandria City",-,"205 - Douglas Macarthur School (CD 8)","1,631",636,10,24,1,"2,302"
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr (CD 8)","1,265",387,8,7,1,"1,668"
"Alexandria City",-,"207 - Temple Beth El Synagogue (CD 8)","1,684",561,8,19,6,"2,278"
"Alexandria City",-,"208 - Nova Arts Center (CD 8)","1,744",553,18,22,6,"2,343"
"Alexandria City",-,"209 - James K Polk School (CD 8)","1,997",466,10,13,1,"2,487"
"Alexandria City",-,"210 - St James Church (CD 8)",894,300,4,7,1,"1,206"
"Alexandria City",-,"302 - St Martin Deporres Senior Ctr (CD 8)","1,643",346,14,20,5,"2,028"
"Alexandria City",-,"303 - Charles E Beatley Library (CD 8)","1,774",389,25,10,2,"2,200"
"Alexandria City",-,"304 - Samuel Tucker School (CD 8)","2,212",426,22,20,0,"2,680"
"Alexandria City",-,"305 - John Adams School (CD 8)","2,035",406,21,20,2,"2,484"
"Alexandria City",-,"306 - William Ramsay School (CD 8)","1,833",355,12,15,1,"2,216"
"Alexandria City",-,"307 - South Port (CD 8)","1,442",397,22,5,1,"1,867"
"Alexandria City",-,"308 - Cameron Station Community Ctr (CD 8)","1,617",651,15,21,1,"2,305"
"Alexandria City",-,"Ab - Central Absentee Precinct (CD 8)","12,389","3,040",81,71,32,"15,613"
"Alexandria City",-,"Provisional Votes (CD 8)",81,29,2,3,0,115
"Alleghany County",-,"101 - Arritt (CD 9)",462,168,1,2,0,633
"Alleghany County",-,"103 - Dameron (CD 9)",158,88,4,2,0,252
"Alleghany County",-,"201 - Humpback Bridge (CD 6)",276,133,2,1,0,412
"Alleghany County",-,"202 - Dolly Ann (CD 6)",506,140,4,1,0,651
"Alleghany County",-,"301 - Callaghan (CD 6)",260,122,3,1,0,386
"Alleghany County",-,"302 - Griffith (CD 6)",587,224,6,1,0,818
"Alleghany County",-,"401 - Low Moor (CD 9)",414,147,2,2,0,565
"Alleghany County",-,"402 - Jackson Heights (CD 9)",364,105,8,1,0,478
"Alleghany County",-,"501 - Iron Gate (CD 9)",211,68,1,0,0,280
"Alleghany County",-,"502 - Peters Switch (CD 9)",541,178,4,2,1,726
"Alleghany County",-,"601 - District 1 (CD 9)",716,185,4,1,0,906
"Alleghany County",-,"701 - District 2 (CD 9)",577,129,3,5,0,714
"Alleghany County",-,"Ab - Central Absentee Precinct (CD 6)",113,37,2,2,0,154
"Alleghany County",-,"Ab - Central Absentee Precinct (CD 9)",210,70,0,0,0,280
"Alleghany County",-,"Provisional Votes (CD 6)",0,0,0,0,0,0
"Alleghany County",-,"Provisional Votes (CD 9)",2,0,0,0,0,2
"Amelia County",-,"101 - Number One (CD 4)",539,506,9,7,0,"1,061"
"Amelia County",-,"201 - Number Two (CD 4)",578,541,6,8,0,"1,133"
"Amelia County",-,"301 - Number Three (CD 4)",477,616,11,2,0,"1,106"
"Amelia County",-,"401 - Number Four (CD 4)",566,658,3,9,2,"1,238"
"Amelia County",-,"501 - Number Five (CD 4)",685,530,4,3,0,"1,222"
"Amelia County",-,"Ab - Central Absentee Precinct (CD 4)",374,312,6,2,0,694
"Amelia County",-,"Provisional Votes (CD 4)",0,0,0,0,0,0
"Amherst County",-,"101 - Wright Shop (CD 6)",635,273,13,1,0,922
"Amherst County",-,"102 - New Glasgow (CD 6)",611,413,11,5,1,"1,041"
"Amherst County",-,"103 - Coolwell (CD 6)",242,249,2,0,0,493
"Amherst County",-,"201 - Court House (CD 6)","1,086",732,16,9,1,"1,844"
"Amherst County",-,"202 - Temperance (CD 6)",422,319,8,4,0,753
"Amherst County",-,"301 - Monroe (CD 6)",451,329,10,3,1,794
"Amherst County",-,"302 - Elon (CD 6)",809,924,31,9,2,"1,775"
"Amherst County",-,"303 - Pleasant View (CD 6)",240,205,4,3,0,452
"Amherst County",-,"401 - Amelon (CD 6)","1,138",884,37,9,0,"2,068"
"Amherst County",-,"402 - Lonco (CD 6)",301,224,5,1,0,531
"Amherst County",-,"501 - Madison (CD 6)","1,244",863,24,11,2,"2,144"
"Amherst County",-,"Ab - Central Absentee Precinct (CD 6)",968,479,6,7,0,"1,460"
"Amherst County",-,"Provisional Votes (CD 6)",5,1,0,0,0,6
"Appomattox County",-,"101 - Vera (CD 5)",302,208,2,1,0,513
"Appomattox County",-,"102 - Pamplin (CD 5)",565,329,6,3,0,903
"Appomattox County",-,"201 - Chap (CD 5)",341,189,1,3,0,534
"Appomattox County",-,"202 - Spout Spring (CD 5)",484,375,2,3,1,865
"Appomattox County",-,"301 - 460 (CD 5)",456,354,3,5,0,818
"Appomattox County",-,"302 - Stonewall (CD 5)",443,308,3,2,0,756
"Appomattox County",-,"401 - Courthouse (CD 5)",682,459,4,4,0,"1,149"
"Appomattox County",-,"501 - Oakville (CD 5)",618,357,6,4,2,987
"Appomattox County",-,"502 - Agee (CD 5)",251,135,3,1,0,390
"Appomattox County",-,"Ab - Central Absentee Precinct (CD 5)",409,207,3,9,0,628
"Appomattox County",-,"Provisional Votes (CD 5)",0,0,0,0,0,0
"Arlington County",-,"1 - Arlington (CD 8)","1,131",229,17,6,3,"1,386"
"Arlington County",-,"2 - Ashton Heights (CD 8)","1,121",349,5,11,0,"1,486"
"Arlington County",-,"3 - Aurora Hills (CD 8)",690,352,5,7,1,"1,055"
"Arlington County",-,"4 - Ballston (CD 8)",806,261,6,11,0,"1,084"
"Arlington County",-,"5 - Barcroft (CD 8)",885,303,8,10,2,"1,208"
"Arlington County",-,"6 - Crystal City (CD 8)",895,419,8,17,2,"1,341"
"Arlington County",-,"7 - Cherrydale (CD 8)","1,126",400,7,20,2,"1,555"
"Arlington County",-,"8 - Hume (CD 8)","1,220",517,13,17,2,"1,769"
"Arlington County",-,"9 - Columbia (CD 8)","1,302",312,15,5,2,"1,636"
"Arlington County",-,"10 - Wilson (CD 8)","1,195",404,9,20,1,"1,629"
"Arlington County",-,"11 - East Falls Church (CD 8)",802,307,7,16,1,"1,133"
"Arlington County",-,"12 - Fairlington (CD 8)","1,192",458,11,16,3,"1,680"
"Arlington County",-,"13 - Glen Carlyn (CD 8)",726,233,11,12,5,987
"Arlington County",-,"14 - Clarendon (CD 8)",955,382,5,14,1,"1,357"
