County/City,Ward,Pct,"Timothy Michael Kaine","George Felix Allen","All Others","Total Votes Cast"
"Alexandria City",-,"208 - Nova Arts Center","1,822",715,8,"2,545"
"Alexandria City",-,"209 - James K Polk School","2,030",574,4,"2,608"
"Alexandria City",-,"210 - St James Church",768,360,1,"1,129"
"Alexandria City",-,"302 - Patrick Henry Rec Center","1,553",383,5,"1,941"
"Alexandria City",-,"303 - Charles E Beatley Library","1,646",421,8,"2,075"
"Alexandria City",-,"304 - Samuel Tucker School","2,264",565,6,"2,835"
"Alexandria City",-,"305 - John Adams School","2,045",478,4,"2,527"
"Alexandria City",-,"306 - William Ramsay School","2,088",450,6,"2,544"
"Alexandria City",-,"307 - South Port","1,443",475,6,"1,924"
"Alexandria City",-,"308 - Cameron Station Community Ctr","1,374",817,4,"2,195"
"Alexandria City",-,"Ab - Central Absentee Precinct","11,444","4,295",26,"15,765"
"Alexandria City",-,Provisional,78,38,127,243
"Alleghany County",-,"101 - Arritt",306,347,0,653
"Alleghany County",-,"103 - Dameron",93,171,0,264
"Alleghany County",-,"201 - Humpback Bridge",176,218,0,394
"Alleghany County",-,"202 - Dolly Ann",242,307,0,549
"Alleghany County",-,"301 - Callaghan",146,237,0,383
"Alleghany County",-,"302 - Griffith",306,395,0,701
"Alleghany County",-,"401 - Low Moor",239,244,0,483
"Alleghany County",-,"402 - Jackson Heights",289,338,1,628
"Alleghany County",-,"501 - Iron Gate",163,139,0,302
"Alleghany County",-,"502 - Peters Switch",341,395,1,737
"Alleghany County",-,"601 - District 1",513,428,1,942
"Alleghany County",-,"701 - District 2",440,305,1,746
"Alleghany County",-,"Ab - Central Absentee Precinct",253,274,0,527
"Amelia County",-,"101 - Number One",424,688,1,"1,113"
"Amelia County",-,"201 - Number Two",393,701,0,"1,094"
"Amelia County",-,"301 - Number Three",429,813,0,"1,242"
"Amelia County",-,"401 - Number Four",384,841,2,"1,227"
"Amelia County",-,"501 - Number Five",587,786,1,"1,374"
"Amelia County",-,"Ab - Central Absentee Precinct",264,447,1,712
"Amherst County",-,"101 - Wright Shop",626,386,1,"1,013"
"Amherst County",-,"102 - New Glasgow",517,646,2,"1,165"
"Amherst County",-,"103 - Coolwell",168,396,0,564
"Amherst County",-,"201 - Court House",927,"1,132",1,"2,060"
"Amherst County",-,"202 - Temperance",268,511,1,780
"Amherst County",-,"301 - Monroe",300,514,1,815
"Amherst County",-,"302 - Elon",533,"1,395",2,"1,930"
"Amherst County",-,"303 - Pleasant View",148,296,1,445
"Amherst County",-,"401 - Amelon",848,"1,388",3,"2,239"
"Amherst County",-,"402 - Lonco",246,313,0,559
"Amherst County",-,"501 - Madison",970,"1,323",8,"2,301"
"Amherst County",-,"Ab - Central Absentee Precinct",521,605,0,"1,126"
"Amherst County",-,Provisional,1,0,0,1
"Appomattox County",-,"101 - Vera",148,391,0,539
"Appomattox County",-,"102 - Pamplin",348,629,2,979
"Appomattox County",-,"201 - Chap",194,190,3,387
"Appomattox County",-,"202 - Spout Spring",299,872,0,"1,171"
"Appomattox County",-,"301 - Us 460",218,478,0,696
"Appomattox County",-,"302 - Stonewall",236,572,2,810
"Appomattox County",-,"401 - Courthouse",440,859,1,"1,300"
"Appomattox County",-,"501 - Oakville",355,663,2,"1,020"
"Appomattox County",-,"502 - Agee",160,220,1,381
"Appomattox County",-,"Ab - Central Absentee Precinct",168,367,0,535
"Appomattox County",-,Provisional,2,3,0,5
"Arlington County",-,"1 - Arlington","1,141",312,5,"1,458"
"Arlington County",-,"2 - Ashton Heights","1,292",535,6,"1,833"
"Arlington County",-,"3 - Aurora Hills",748,448,0,"1,196"
"Arlington County",-,"4 - Ballston","1,147",527,4,"1,678"
"Arlington County",-,"5 - Barcroft","1,103",381,4,"1,488"
"Arlington County",-,"6 - Crystal City",951,531,5,"1,487"
"Arlington County",-,"7 - Cherrydale","1,166",586,6,"1,758"
"Arlington County",-,"8 - Hume","1,474",738,7,"2,219"
"Arlington County",-,"9 - Columbia","1,604",459,3,"2,066"
"Arlington County",-,"10 - Wilson","1,372",582,4,"1,958"
"Arlington County",-,"11 - East Falls Church",818,453,5,"1,276"
"Arlington County",-,"12 - Fairlington","1,149",603,4,"1,756"
"Arlington County",-,"13 - Glen Carlyn",825,281,7,"1,113"
"Arlington County",-,"14 - Clarendon",939,538,4,"1,481"
"Arlington County",-,"15 - Lyon Park","1,249",505,2,"1,756"
"Arlington County",-,"16 - Lyon Village","1,191",567,3,"1,761"
"Arlington County",-,"17 - Overlee Knolls","1,261",619,8,"1,888"
"Arlington County",-,"18 - Park Lane","1,785",703,8,"2,496"
"Arlington County",-,"19 - Rosslyn","1,557",613,9,"2,179"
"Arlington County",-,"20 - Thrifton",960,622,4,"1,586"
"Arlington County",-,"21 - Virginia Highlands","1,555",814,8,"2,377"
"Arlington County",-,"22 - Abingdon","1,371",631,2,"2,004"
"Arlington County",-,"23 - Westover","1,303",519,1,"1,823"
"Arlington County",-,"24 - Woodlawn","1,552",575,5,"2,132"
"Arlington County",-,"25 - Arlington Forest","1,019",382,2,"1,403"
"Arlington County",-,"26 - Fillmore","1,846",619,8,"2,473"
"Arlington County",-,"27 - Jefferson","1,390",503,5,"1,898"
"Arlington County",-,"28 - Claremont","1,555",486,4,"2,045"
"Arlington County",-,"29 - Dominion Hills","1,234",528,1,"1,763"
"Arlington County",-,"30 - Glebe","1,492",331,5,"1,828"
"Arlington County",-,"31 - Lexington","1,217",522,3,"1,742"
"Arlington County",-,"32 - Oakridge",543,298,7,848
"Arlington County",-,"33 - Rock Spring","1,115",631,4,"1,750"
"Arlington County",-,"34 - Yorktown","1,056",517,6,"1,579"
"Arlington County",-,"35 - Madison",900,687,3,"1,590"
"Arlington County",-,"36 - Marshall","1,267",605,3,"1,875"
"Arlington County",-,"37 - Nottingham","1,015",522,3,"1,540"
"Arlington County",-,"38 - Arlington View","1,359",314,6,"1,679"
"Arlington County",-,"39 - Ashlawn",721,338,4,"1,063"
"Arlington County",-,"40 - Virginia Square","1,146",589,1,"1,736"
"Arlington County",-,"41 - Woodbury","1,207",568,4,"1,779"
"Arlington County",-,"42 - Shirlington","1,163",463,3,"1,629"
"Arlington County",-,"43 - Arlington Mill","1,125",220,4,"1,349"
"Arlington County",-,"44 - Dawson Terrace",996,378,9,"1,383"
"Arlington County",-,"45 - Buckingham","1,131",381,5,"1,517"
"Arlington County",-,"46 - Central","1,505",750,9,"2,264"
"Arlington County",-,"47 - Four Mile Run","1,025",356,3,"1,384"
"Arlington County",-,"48 - Courtlands","1,034",576,6,"1,616"
"Arlington County",-,"49 - Monroe",703,323,1,"1,027"
"Arlington County",-,"50 - Crystal Plaza","1,115",551,4,"1,670"
"Arlington County",-,"51 - Taylor",359,157,0,516
"Arlington County",-,"52 - Gunston","1,008",483,8,"1,499"
"Arlington County",-,"Ab - Central Absentee Precinct","21,837","6,549",43,"28,429"
"Arlington County",-,Provisional,93,38,1,132
"Augusta County",-,"101 - Jolivue",277,573,2,852
"Augusta County",-,"102 - Stuarts Draft Elementary",364,658,1,"1,023"
"Augusta County",-,"103 - Verona",503,"1,161",2,"1,666"
"Augusta County",-,"201 - Crimora",532,"1,290",5,"1,827"
"Augusta County",-,"202 - New Hope",296,783,0,"1,079"
"Augusta County",-,"203 - Weyers Cave",430,"1,212",2,"1,644"
"Augusta County",-,"301 - Fort Defiance",745,"1,763",4,"2,512"
"Augusta County",-,"302 - North River",162,490,0,652
"Augusta County",-,"303 - Mount Solon",182,720,0,902
"Augusta County",-,"304 - Churchville Fire Station",183,583,0,766
"Augusta County",-,"401 - Buffalo Gap",255,677,0,932
"Augusta County",-,"402 - Churchville Elementary",230,701,1,932
"Augusta County",-,"403 - Craigsville",168,422,1,591
"Augusta County",-,"404 - Deerfield",71,222,0,293
"Augusta County",-,"405 - Cedar Green",390,756,1,"1,147"
"Augusta County",-,"501 - Greenville",368,"1,049",0,"1,417"
"Augusta County",-,"502 - Middlebrook",222,602,0,824
"Augusta County",-,"503 - Spottswood",212,592,0,804
"Augusta County",-,"504 - White Hill",436,"1,200",3,"1,639"
"Augusta County",-,"601 - Sherando",323,804,2,"1,129"
"Augusta County",-,"602 - Stuarts Draft Rescue",680,"1,716",3,"2,399"
"Augusta County",-,"603 - Lyndhurst",497,"1,156",0,"1,653"
"Augusta County",-,"801 - Dooms",325,894,3,"1,222"
"Augusta County",-,"802 - Fishersville",729,"1,479",0,"2,208"
"Augusta County",-,"803 - Wilson",589,"1,057",4,"1,650"
"Augusta County",-,"Ab - Central Absentee Precinct",707,"1,583",2,"2,292"
"Augusta County",-,Provisional,3,10,13,26
"Bath County",-,"101 - Warm Springs",165,221,0,386
"Bath County",-,"102 - Mountain Grove",16,53,1,70
"Bath County",-,"201 - Hot Springs",179,174,0,353
"Bath County",-,"301 - Fairview",96,216,4,316
"Bath County",-,"302 - Burnsville",38,56,0,94
"Bath County",-,"401 - Millboro",165,278,2,445
"Bath County",-,"501 - Healing Springs",166,254,1,421
"Bath County",-,"Ab - Central Absentee Precinct",65,122,0,187
"Bedford County",-,"101 - Goodview Elem School (CD 5)",875,"1,822",5,"2,702"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",239,486,0,725
"Bedford County",-,"103 - Chamblissburg First Aid Bldg (CD 5)",275,641,1,917
"Bedford County",-,"202 - Staunton River High School (CD 5)",315,638,3,956
"Bedford County",-,"203 - Moneta Elem School (CD 5)",679,"1,370",0,"2,049"
"Bedford County",-,"204 - Body Camp Elem School (CD 5)",147,214,0,361
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",358,871,0,"1,229"
"Bedford County",-,"301 - New London Academy (CD 5)",3,26,0,29
"Bedford County",-,"301 - New London Academy (CD 6)",462,"1,887",0,"2,349"
"Bedford County",-,"302 - Bedford County Psa (CD 5)",218,431,0,649
"Bedford County",-,"303 - Bethesda Methodist Church (CD 5)",201,468,0,669
"Bedford County",-,"304 - Forest Youth Athletic Assoc (CD 6)",201,559,0,760
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",177,426,1,604
"Bedford County",-,"401 - Forest Library (CD 6)",291,"1,002",0,"1,293"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",657,"2,028",2,"2,687"
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",512,"1,395",1,"1,908"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",143,293,0,436
"Bedford County",-,"503 - Sedalia Center (CD 6)",157,411,0,568
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",81,199,1,281
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",456,"1,136",0,"1,592"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",527,"1,660",2,"2,189"
"Bedford County",-,"507 - Pleasant View Baptist Church (CD 6)",57,103,1,161
"Bedford County",-,"601 - Montvale Elem School (CD 6)",367,735,3,"1,105"
"Bedford County",-,"602 - Shady Grove Baptist Church (CD 5)",386,826,1,"1,213"
"Bedford County",-,"603 - Thaxton Elem School (CD 5)",321,647,0,968
"Bedford County",-,"603 - Thaxton Elem School (CD 6)",0,0,0,0
"Bedford County",-,"604 - Flint Hill Community Center (CD 5)",256,651,5,912
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)",331,"1,247",1,"1,579"
"Bedford County",-,"702 - Liberty High School (CD 5)",281,641,3,925
"Bedford County",-,"702 - Liberty High School (CD 6)",161,338,0,499
"Bedford County",-,"703 - Bedford Christian Church (CD 5)",497,913,2,"1,412"
"Bedford County",-,"704 - Forest Elem School (CD 6)",62,170,1,233
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",495,958,0,"1,453"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",477,960,4,"1,441"
"Bedford County",-,"Provisional (CD 5)",1,4,5,10
"Bedford County",-,"Provisional (CD 6)",3,4,7,14
"Bedford City",-,"1 - Ward One",588,790,1,"1,379"
"Bedford City",-,"2 - Ward Two",491,596,2,"1,089"
"Bedford City",-,"Ab - Central Absentee Precinct",101,134,0,235
"Bland County",-,"101 - Bastian",81,267,0,348
"Bland County",-,"102 - Ceres",94,246,0,340
"Bland County",-,"201 - Davis",41,74,0,115
"Bland County",-,"202 - Seddon",198,469,0,667
"Bland County",-,"301 - Hollybrook",90,281,0,371
"Bland County",-,"302 - Mechanicsburg",59,116,0,175
"Bland County",-,"401 - Rocky Gap",219,543,0,762
"Bland County",-,"Ab - Central Absentee Precinct",68,136,0,204
"Bland County",-,Provisional,0,0,0,0
"Botetourt County",-,"101 - Amsterdam",597,"1,072",1,"1,670"
"Botetourt County",-,"102 - Asbury",468,"1,277",3,"1,748"
"Botetourt County",-,"201 - Blue Ridge",566,"1,244",2,"1,812"
"Botetourt County",-,"202 - Rainbow Forest",575,"1,241",3,"1,819"
"Botetourt County",-,"301 - Buchanan",379,661,1,"1,041"
"Botetourt County",-,"302 - Mill Creek",301,630,0,931
"Botetourt County",-,"303 - Roaring Run",108,204,0,312
"Botetourt County",-,"304 - Springwood",195,493,2,690
"Botetourt County",-,"402 - Courthouse",326,539,1,866
"Botetourt County",-,"403 - Eagle Rock",207,370,1,578
"Botetourt County",-,"404 - Glen Wilton",172,232,2,406
"Botetourt County",-,"405 - Oriskany",11,39,0,50
"Botetourt County",-,"406 - Town Hall",327,803,3,"1,133"
"Botetourt County",-,"501 - Coyner Springs",286,565,2,853
"Botetourt County",-,"502 - Cloverdale",651,"1,310",3,"1,964"
"Botetourt County",-,"503 - Troutville",198,408,0,606
"Botetourt County",-,"Ab - Central Absentee Precinct",529,"1,157",7,"1,693"
"Botetourt County",-,Provisional,2,8,0,10
"Bristol City",-,"1 - First Ward",482,761,2,"1,245"
"Bristol City",-,"2 - Second Ward",599,993,4,"1,596"
"Bristol City",-,"3 - Third Ward",565,556,1,"1,122"
"Bristol City",-,"4 - Fourth Ward",781,"1,886",5,"2,672"
"Bristol City",-,"Ab - Central Absentee Precinct",250,394,0,644
"Bristol City",-,Provisional,5,4,9,18
"Brunswick County",-,"101 - Brodnax",213,163,0,376
"Brunswick County",-,"102 - Rock Store",260,320,0,580
"Brunswick County",-,"103 - Tillman",244,356,0,600
"Brunswick County",-,"201 - Dromgoole",120,101,0,221
"Brunswick County",-,"202 - Edgerton",521,171,0,692
"Brunswick County",-,"203 - Fitzhugh",356,154,0,510
"Brunswick County",-,"301 - Alberta",79,80,0,159
"Brunswick County",-,"302 - Danieltown",360,297,0,657
"Brunswick County",-,"303 - Elmore",172,137,0,309
"Brunswick County",-,"304 - Seymour",189,116,0,305
"Brunswick County",-,"401 - Sturgeon",707,373,0,"1,080"
"Brunswick County",-,"402 - King's Store",290,107,0,397
"Brunswick County",-,"501 - Totaro",857,273,0,"1,130"
"Brunswick County",-,"Ab - Central Absentee Precinct",366,421,2,789
"Brunswick County",-,Provisional,2,2,4,8
"Buchanan County",-,"102 - Blackey",115,277,0,392
"Buchanan County",-,"103 - Hurley",228,677,0,905
"Buchanan County",-,"201 - Grassy",57,51,0,108
"Buchanan County",-,"202 - Bull",200,323,0,523
"Buchanan County",-,"203 - Rocklick",216,387,0,603
"Buchanan County",-,"301 - Slate",252,462,0,714
"Buchanan County",-,"302 - North Grundy",198,416,0,614
"Buchanan County",-,"403 - South Grundy",264,643,0,907
"Buchanan County",-,"404 - Oakwood",31,57,0,88
"Buchanan County",-,"501 - Prater",297,262,0,559
"Buchanan County",-,"502 - Fox",89,99,0,188
"Buchanan County",-,"503 - Vansant",187,381,0,568
"Buchanan County",-,"601 - Council",148,226,0,374
"Buchanan County",-,"602 - Garden",201,363,0,564
"Buchanan County",-,"603 - Hurricane",185,184,0,369
"Buchanan County",-,"701 - Whitewood",277,481,0,758
"Buchanan County",-,"702 - Contrary",155,365,1,521
"Buchanan County",-,"Ab - Central Absentee Precinct",308,475,1,784
"Buchanan County",-,Provisional,0,3,0,3
"Buckingham County",-,"101 - New Canton",499,432,1,932
"Buckingham County",-,"102 - Georgia Creek",92,130,0,222
"Buckingham County",-,"201 - White Hall",336,275,0,611
"Buckingham County",-,"301 - Curdsville",291,386,0,677
"Buckingham County",-,"302 - New Store",118,351,0,469
"Buckingham County",-,"401 - Maysville",476,584,1,"1,061"
"Buckingham County",-,"501 - Wrights",164,246,0,410
"Buckingham County",-,"502 - Glenmore",362,268,0,630
"Buckingham County",-,"601 - Slate River",647,316,1,964
"Buckingham County",-,"701 - Gold Hill",343,332,0,675
"Buckingham County",-,"Ab - Central Absentee Precinct",321,290,0,611
"Buckingham County",-,Provisional,5,0,0,5
"Buena Vista City",-,"1 - First Ward",504,728,6,"1,238"
"Buena Vista City",-,"2 - Second Ward",460,750,2,"1,212"
"Campbell County",-,"101 - Brookville",549,"1,593",5,"2,147"
"Campbell County",-,"102 - New London",485,"1,422",0,"1,907"
"Campbell County",-,"201 - Walker",451,"1,178",1,"1,630"
"Campbell County",-,"202 - Bedford Springs",483,"1,480",2,"1,965"
"Campbell County",-,"301 - Evington",239,479,0,718
"Campbell County",-,"302 - Otter River",232,485,0,717
"Campbell County",-,"303 - Altavista",767,"1,113",2,"1,882"
"Campbell County",-,"401 - Three Forks",284,926,2,"1,212"
"Campbell County",-,"402 - Court House",608,"1,610",3,"2,221"
"Campbell County",-,"501 - Spring Hill",499,"1,551",6,"2,056"
"Campbell County",-,"502 - Yellow Branch",466,785,3,"1,254"
"Campbell County",-,"601 - Kings",486,926,1,"1,413"
"Campbell County",-,"602 - Concord",561,"1,334",2,"1,897"
"Campbell County",-,"701 - Brookneal",461,657,0,"1,118"
"Campbell County",-,"702 - Gladys",525,965,0,"1,490"
"Campbell County",-,"703 - Morris Church",222,397,1,620
"Campbell County",-,"Ab - Central Absentee Precinct",578,996,1,"1,575"
"Campbell County",-,Provisional,4,7,0,11
"Caroline County",-,"101 - Bowling Green",487,645,2,"1,134"
"Caroline County",-,"102 - Sparta",407,482,39,928
"Caroline County",-,"201 - North Madison",479,377,1,857
"Caroline County",-,"202 - South Madison",588,603,2,"1,193"
"Caroline County",-,"301 - Port Royal",280,277,1,558
"Caroline County",-,"302 - Woodford",737,625,1,"1,363"
"Caroline County",-,"401 - Dawn","1,155",558,4,"1,717"
"Caroline County",-,"402 - Carmel Church",384,160,1,545
"Caroline County",-,"501 - West Mattaponi",678,417,2,"1,097"
"Caroline County",-,"502 - Milford",517,429,0,946
"Caroline County",-,"601 - Chilesburg",612,537,3,"1,152"
"Caroline County",-,"602 - Lake",375,435,3,813
"Caroline County",-,"Ab - Central Absentee Precinct",612,508,0,"1,120"
"Caroline County",-,Provisional,18,4,0,22
"Carroll County",-,"101 - Mt Bethel",196,318,1,515
"Carroll County",-,"102 - St Paul",188,518,0,706
"Carroll County",-,"103 - Lambsburg",125,275,3,403
"Carroll County",-,"105 - Fancy Gap",178,350,1,529
"Carroll County",-,"201 - Hillsville B",484,866,2,"1,352"
"Carroll County",-,"202 - Laurel Fork",170,306,1,477
"Carroll County",-,"203 - Gladesboro",235,468,1,704
"Carroll County",-,"301 - Hillsville C",541,997,1,"1,539"
"Carroll County",-,"302 - Sylvatus",158,376,0,534
"Carroll County",-,"303 - Dugspur",84,206,1,291
"Carroll County",-,"402 - Woodlawn D",362,708,0,"1,070"
"Carroll County",-,"403 - Oakland D",176,390,1,567
"Carroll County",-,"405 - Oakland A",183,332,3,518
"Carroll County",-,"406 - Woodlawn F",43,151,0,194
"Carroll County",-,"501 - Vaughan",107,255,1,363
"Carroll County",-,"502 - Gladeville",239,664,1,904
"Carroll County",-,"503 - Woodlawn E",153,361,0,514
"Carroll County",-,"504 - Laurel",136,399,0,535
"Carroll County",-,"Ab - Central Absentee Precinct",315,651,1,967
"Carroll County",-,Provisional,2,5,0,7
"Charles City County",-,"101 - Precinct 1-1",663,481,1,"1,145"
"Charles City County",-,"201 - Precinct 2-1",781,329,0,"1,110"
"Charles City County",-,"301 - Precinct 3-1",798,425,5,"1,228"
"Charles City County",-,"Ab - Central Absentee Precinct",464,178,1,643
"Charlotte County",-,"101 - County Seat",339,441,0,780
"Charlotte County",-,"201 - Red Oak Wylliesburg",360,474,0,834
"Charlotte County",-,"302 - Drakes Branch",274,403,0,677
"Charlotte County",-,"401 - Keysville",320,499,0,819
"Charlotte County",-,"501 - Cullen",170,286,0,456
"Charlotte County",-,"503 - Red House",171,144,0,315
"Charlotte County",-,"602 - Phenix",287,514,0,801
"Charlotte County",-,"701 - Bacon",212,156,0,368
"Charlotte County",-,"702 - Saxe",151,214,0,365
"Charlotte County",-,"Ab - Central Absentee Precinct",231,233,0,464
"Charlotte County",-,Provisional,1,0,0,1
"Charlottesville City",-,"101 - Recreation","1,733",448,3,"2,184"
"Charlottesville City",-,"102 - Clark","1,991",440,5,"2,436"
"Charlottesville City",-,"201 - Carver","1,791",353,4,"2,148"
"Charlottesville City",-,"202 - Walker","1,972",681,5,"2,658"
"Charlottesville City",-,"301 - Benjamin Tonsler","1,587",248,2,"1,837"
"Charlottesville City",-,"302 - Johnson","1,803",582,2,"2,387"
"Charlottesville City",-,"303 - Buford","1,315",278,8,"1,601"
"Charlottesville City",-,"401 - Venable","1,168",529,5,"1,702"
"Charlottesville City",-,"402 - Alumni Hall","1,141",472,4,"1,617"
"Charlottesville City",-,"Ab - Central Absentee Precinct","2,280",549,1,"2,830"
"Charlottesville City",-,Provisional,19,9,0,28
"Chesapeake City",-,"1 - Great Bridge",724,"1,161",2,"1,887"
"Chesapeake City",-,"2 - Bethel",439,"1,209",3,"1,651"
"Chesapeake City",-,"3 - Camelot","2,117",114,2,"2,233"
"Chesapeake City",-,"4 - Churchland",499,810,2,"1,311"
"Chesapeake City",-,"5 - Crestwood","1,548",171,4,"1,723"
"Chesapeake City",-,"6 - Deep Creek","1,400","1,215",4,"2,619"
"Chesapeake City",-,"7 - Greenbrier",788,"1,257",7,"2,052"
"Chesapeake City",-,"8 - South Norfolk Recreation",951,808,4,"1,763"
"Chesapeake City",-,"9 - Bells Mill",943,"1,664",1,"2,608"
"Chesapeake City",-,"10 - Oscar Smith",464,449,2,915
"Chesapeake City",-,"11 - Geneva Park",824,757,5,"1,586"
"Chesapeake City",-,"12 - Georgetown","1,240",212,4,"1,456"
"Chesapeake City",-,"13 - Gilmerton",784,893,5,"1,682"
"Chesapeake City",-,"14 - Grassfield",164,269,0,433
"Chesapeake City",-,"15 - B M Williams",903,654,3,"1,560"
"Chesapeake City",-,"16 - Hickory Grove",567,"1,301",1,"1,869"
"Chesapeake City",-,"17 - Indian Creek",356,857,2,"1,215"
"Chesapeake City",-,"18 - Indian River",946,369,5,"1,320"
"Chesapeake City",-,"19 - Jolliff",359,762,1,"1,122"
"Chesapeake City",-,"20 - E W Chittum",735,"1,115",2,"1,852"
"Chesapeake City",-,"21 - Fellowship",613,896,4,"1,513"
"Chesapeake City",-,"22 - Norfolk Highlands",497,647,5,"1,149"
"Chesapeake City",-,"23 - Oak Grove",830,830,1,"1,661"
"Chesapeake City",-,"24 - Oaklette","1,052",582,8,"1,642"
"Chesapeake City",-,"25 - St Julians",562,437,4,"1,003"
"Chesapeake City",-,"26 - Johnson Park",599,232,1,832
"Chesapeake City",-,"27 - Silverwood",915,"1,170",3,"2,088"
"Chesapeake City",-,"28 - Sunray I",66,156,0,222
"Chesapeake City",-,"29 - Tanglewood",513,885,3,"1,401"
"Chesapeake City",-,"30 - South Norfolk",819,32,1,852
"Chesapeake City",-,"31 - Carver School","1,585",301,7,"1,893"
