County/City,Ward,Pct,"Joseph Robinette Biden, Jr","Donald J. Trump","Jo Jorgensen","All Others","Total Votes Cast"
"Albemarle County",-,"606 - Mechums River",363,501,31,7,902
"Albemarle County",-,"Ab - Central Absentee Precinct","33,416","9,124",492,210,"43,242"
"Albemarle County",-,Provisional,334,93,5,4,436
"Alexandria City",-,"101 - Ladrey Senior Building",151,151,7,6,315
"Alexandria City",-,"102 - City Hall",111,181,6,9,307
"Alexandria City",-,"103 - Lyles Crouch School",303,271,20,12,606
"Alexandria City",-,"104 - Durant Center",253,152,15,6,426
"Alexandria City",-,"105 - Lee Center",178,139,11,2,330
"Alexandria City",-,"106 - Cora Kelly",636,244,19,7,906
"Alexandria City",-,"107 - Mt Vernon Recreation Center",413,211,14,12,650
"Alexandria City",-,"108 - George Washington Middle Sch",318,151,15,3,487
"Alexandria City",-,"109 - Fire Department Headquarters",219,192,15,10,436
"Alexandria City",-,"110 - Charles Houston Center",391,140,9,5,545
"Alexandria City",-,"111 - Potomac Yard",200,110,11,4,325
"Alexandria City",-,"112 - Alex Renew",187,129,2,7,325
"Alexandria City",-,"201 - Maury School",266,188,8,11,473
"Alexandria City",-,"202 - George Mason School",244,243,11,13,511
"Alexandria City",-,"203 - Charles Barrett Center",313,181,14,10,518
"Alexandria City",-,"204 - Blessed Sacrament Church",261,205,11,15,492
"Alexandria City",-,"205 - Douglas Macarthur School",291,201,15,13,520
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr",225,145,9,15,394
"Alexandria City",-,"207 - Temple Beth El Synagogue",375,236,14,13,638
"Alexandria City",-,"208 - Nova Arts Center",454,259,22,12,747
"Alexandria City",-,"209 - James K Polk School",477,227,13,6,723
"Alexandria City",-,"210 - The Hermitage",183,117,12,2,314
"Alexandria City",-,"302 - Patrick Henry Rec Center",353,138,12,6,509
"Alexandria City",-,"303 - Charles E Beatley Library",286,118,13,3,420
"Alexandria City",-,"304 - Samuel Tucker School",406,172,18,4,600
"Alexandria City",-,"305 - John Adams School",666,195,12,7,880
"Alexandria City",-,"306 - William Ramsay School",638,197,12,6,853
"Alexandria City",-,"307 - South Port",453,198,10,6,667
"Alexandria City",-,"308 - Cameron Station Community Ctr",335,274,10,11,630
"Alexandria City",-,"309 - Olympus Condo",387,131,18,4,540
"Alexandria City",-,"Ab - Central Absentee Precinct","55,940","8,951",639,455,"65,985"
"Alexandria City",-,Provisional,327,97,5,7,436
"Alleghany County",-,"101 - Arritt",68,542,0,2,612
"Alleghany County",-,"103 - Dameron",27,212,2,1,242
"Alleghany County",-,"201 - Humpback Bridge",45,286,3,2,336
"Alleghany County",-,"202 - Dolly Ann",66,339,7,0,412
"Alleghany County",-,"301 - Callaghan",28,348,3,0,379
"Alleghany County",-,"302 - Griffith",95,439,3,0,537
"Alleghany County",-,"401 - Low Moor",52,302,4,0,358
"Alleghany County",-,"402 - Jackson Heights",63,341,4,0,408
"Alleghany County",-,"501 - Iron Gate",62,164,3,1,230
"Alleghany County",-,"502 - Peters Switch",124,583,6,1,714
"Alleghany County",-,"601 - District 1",197,516,12,0,725
"Alleghany County",-,"701 - District 2",166,337,18,1,522
"Alleghany County",-,"Ab - Central Absentee Precinct","1,250","1,450",24,4,"2,728"
"Alleghany County",-,Provisional,0,0,0,0,0
"Amelia County",-,"101 - Number One",114,566,9,0,689
"Amelia County",-,"201 - Number Two",135,555,12,0,702
"Amelia County",-,"301 - Number Three",123,562,8,1,694
"Amelia County",-,"401 - Number Four",90,455,5,0,550
"Amelia County",-,"501 - Number Five",211,640,8,2,861
"Amelia County",-,"Ab - Central Absentee Precinct","1,719","2,595",37,9,"4,360"
"Amelia County",-,Provisional,19,17,1,0,37
"Amherst County",-,"101 - Wright Shop",249,362,10,0,621
"Amherst County",-,"102 - New Glasgow",123,580,8,0,711
"Amherst County",-,"103 - Coolwell",73,378,17,4,472
"Amherst County",-,"201 - Court House",213,645,20,3,881
"Amherst County",-,"202 - Temperance",86,515,3,1,605
"Amherst County",-,"301 - Monroe",89,426,8,2,525
"Amherst County",-,"302 - Elon",209,"1,073",16,2,"1,300"
"Amherst County",-,"303 - Pleasant View",68,305,5,1,379
"Amherst County",-,"401 - Amelon",252,993,29,5,"1,279"
"Amherst County",-,"402 - Lonco",68,294,8,0,370
"Amherst County",-,"501 - Madison",316,979,40,6,"1,341"
"Amherst County",-,"Ab - Central Absentee Precinct","3,871","4,487",86,17,"8,461"
"Amherst County",-,Provisional,55,4,1,0,60
"Appomattox County",-,"101 - Vera",48,337,3,5,393
"Appomattox County",-,"102 - Pamplin",122,511,7,3,643
"Appomattox County",-,"201 - Chap",93,171,2,1,267
"Appomattox County",-,"202 - Spout Spring",90,619,10,1,720
"Appomattox County",-,"301 - Us 460",59,379,7,2,447
"Appomattox County",-,"302 - Stonewall",75,503,3,2,583
"Appomattox County",-,"401 - Courthouse",141,469,27,1,638
"Appomattox County",-,"501 - Oakville",144,491,5,4,644
"Appomattox County",-,"502 - Agee",78,220,7,0,305
"Appomattox County",-,"Ab - Central Absentee Precinct","1,565","2,995",47,10,"4,617"
"Appomattox County",-,Provisional,3,7,1,0,11
"Arlington County",-,"1 - Arlington",372,181,9,0,562
"Arlington County",-,"2 - Ashton Heights",265,152,17,7,441
"Arlington County",-,"3 - Aurora Hills",86,69,15,5,175
"Arlington County",-,"4 - Ballston",322,196,15,11,544
"Arlington County",-,"5 - Barcroft",298,165,10,13,486
"Arlington County",-,"6 - Crystal City",168,132,7,6,313
"Arlington County",-,"7 - Cherrydale",269,204,11,5,489
"Arlington County",-,"8 - Hume",328,191,14,10,543
"Arlington County",-,"9 - Columbia",252,153,12,7,424
"Arlington County",-,"10 - Wilson",282,202,10,11,505
"Arlington County",-,"11 - East Falls Church",156,159,6,7,328
"Arlington County",-,"12 - Fairlington",275,194,23,8,500
"Arlington County",-,"13 - Glen Carlyn",247,179,8,4,438
"Arlington County",-,"14 - Clarendon",190,124,13,7,334
"Arlington County",-,"15 - Lyon Park",211,111,10,2,334
"Arlington County",-,"16 - Lyon Village",249,147,10,16,422
"Arlington County",-,"17 - Overlee Knolls",213,191,8,18,430
"Arlington County",-,"18 - Park Lane",230,190,18,11,449
"Arlington County",-,"19 - Rosslyn",233,172,16,8,429
"Arlington County",-,"20 - Thrifton",148,143,14,8,313
"Arlington County",-,"21 - Virginia Highlands",78,62,4,5,149
"Arlington County",-,"22 - Abingdon",289,192,19,12,512
"Arlington County",-,"23 - Westover",303,192,10,7,512
"Arlington County",-,"24 - Woodlawn",254,172,13,7,446
"Arlington County",-,"25 - Arlington Forest",282,152,11,7,452
"Arlington County",-,"26 - Fillmore",327,183,19,5,534
"Arlington County",-,"27 - Jefferson",272,158,13,6,449
"Arlington County",-,"28 - Wakefield",403,193,22,9,627
"Arlington County",-,"29 - Dominion Hills",233,148,19,5,405
"Arlington County",-,"30 - Glebe",404,136,10,2,552
"Arlington County",-,"31 - Lexington",256,154,11,7,428
"Arlington County",-,"32 - Oakridge",102,96,7,5,210
"Arlington County",-,"33 - Rock Spring",184,207,15,9,415
"Arlington County",-,"34 - Yorktown",152,172,10,7,341
"Arlington County",-,"35 - Madison",114,176,9,10,309
"Arlington County",-,"36 - Marshall",241,168,21,10,440
"Arlington County",-,"37 - Nottingham",179,178,16,7,380
"Arlington County",-,"38 - Arlington View",334,131,12,8,485
"Arlington County",-,"39 - Ashlawn",161,131,8,4,304
"Arlington County",-,"40 - Virginia Square",301,219,21,11,552
"Arlington County",-,"41 - Navy League",132,111,11,10,264
"Arlington County",-,"42 - Shirlington",261,126,12,6,405
"Arlington County",-,"43 - Campbell",453,145,1,2,601
"Arlington County",-,"44 - Dawson Terrace",207,127,12,10,356
"Arlington County",-,"45 - Buckingham",289,142,9,5,445
"Arlington County",-,"46 - Central",298,194,20,8,520
"Arlington County",-,"47 - Four Mile Run",272,111,6,6,395
"Arlington County",-,"48 - Ausa",112,101,11,7,231
"Arlington County",-,"49 - Monroe",229,110,13,7,359
"Arlington County",-,"50 - Crystal Plaza",262,183,10,5,460
"Arlington County",-,"51 - Taylor",119,73,4,4,200
"Arlington County",-,"52 - Gunston",270,131,15,6,422
"Arlington County",-,"53 - Met Park",368,204,13,16,601
"Arlington County",-,"54 - Garfield Park",146,73,9,2,230
"Arlington County",-,"Ab - Central Absentee Precinct","91,963","13,899","1,168",792,"107,822"
"Arlington County",-,Provisional,300,113,6,8,427
"Augusta County",-,"101 - Jolivue",97,417,6,3,523
"Augusta County",-,"102 - Stuarts Draft Elementary",169,625,14,3,811
"Augusta County",-,"103 - Verona",99,553,19,3,674
"Augusta County",-,"201 - Crimora",149,"1,046",13,1,"1,209"
"Augusta County",-,"202 - New Hope",107,706,8,2,823
"Augusta County",-,"203 - Weyers Cave",208,936,21,4,"1,169"
"Augusta County",-,"301 - Fort Defiance",162,974,23,5,"1,164"
"Augusta County",-,"302 - North River",67,463,7,4,541
"Augusta County",-,"303 - Mount Solon",69,806,13,2,890
"Augusta County",-,"304 - Churchville Fire Station",58,535,8,1,602
"Augusta County",-,"401 - Buffalo Gap",73,626,12,1,712
"Augusta County",-,"402 - Churchville Elementary",67,580,10,2,659
"Augusta County",-,"403 - Craigsville",84,617,7,1,709
"Augusta County",-,"404 - Deerfield",47,275,1,0,323
"Augusta County",-,"405 - Cedar Green",90,510,13,3,616
"Augusta County",-,"501 - Greenville",110,921,17,4,"1,052"
"Augusta County",-,"502 - Middlebrook",74,556,9,0,639
"Augusta County",-,"503 - Spottswood",97,641,12,2,752
"Augusta County",-,"504 - White Hill",130,917,24,1,"1,072"
"Augusta County",-,"601 - Sherando",116,816,13,1,946
"Augusta County",-,"602 - Ridgeview",184,"1,139",22,7,"1,352"
"Augusta County",-,"603 - Lyndhurst",158,810,14,4,986
"Augusta County",-,"801 - Dooms",112,711,14,2,839
"Augusta County",-,"802 - Fishersville",169,865,24,4,"1,062"
"Augusta County",-,"803 - Wilson",215,696,22,1,934
"Augusta County",-,"Ab - Central Absentee Precinct","7,874","12,866",256,55,"21,051"
"Augusta County",-,Provisional,55,107,6,0,168
"Bath County",-,"101 - Warm Springs",45,216,1,1,263
"Bath County",-,"102 - Mountain Grove",10,57,0,0,67
"Bath County",-,"201 - Hot Springs",64,172,2,0,238
"Bath County",-,"301 - Fairview",26,271,2,1,300
"Bath County",-,"302 - Burnsville",5,88,1,0,94
"Bath County",-,"401 - Millboro",70,351,3,0,424
"Bath County",-,"501 - Healing Springs",68,276,3,1,348
"Bath County",-,"Ab - Central Absentee Precinct",358,399,4,2,763
"Bath County",-,Provisional,0,4,0,0,4
"Bedford County",-,"101 - Goodview Elem School (CD 5)",147,"1,070",20,4,"1,241"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",116,529,8,0,653
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",96,797,16,1,910
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",121,696,13,1,831
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",56,317,11,1,385
"Bedford County",-,"202 - Staunton River High School (CD 5)",86,550,10,0,646
"Bedford County",-,"203 - Moneta Elem School (CD 5)",139,885,15,3,"1,042"
"Bedford County",-,"204 - Quaker Baptist Church (CD 5)",64,357,2,3,426
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",125,778,7,3,913
"Bedford County",-,"301 - New London Academy (CD 6)",99,743,18,4,864
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",59,436,6,3,504
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",59,489,5,0,553
"Bedford County",-,"304 - Riverside Church (CD 6)",55,392,15,6,468
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",61,426,4,0,491
"Bedford County",-,"306 - Forest Fire Station #2 (CD 6)",48,468,7,1,524
"Bedford County",-,"401 - Forest Elementary School (CD 6)",150,879,21,4,"1,054"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",112,472,21,8,613
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",205,"1,034",25,10,"1,274"
"Bedford County",-,"404 - Forest Recreation Center (CD 6)",109,811,8,6,934
"Bedford County",-,"502 - Big Island Elem School (CD 6)",48,330,6,1,385
"Bedford County",-,"503 - Sedalia Center (CD 6)",46,402,7,1,456
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",54,523,9,5,591
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",245,821,23,7,"1,096"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",230,"1,275",31,10,"1,546"
"Bedford County",-,"601 - Montvale Elem School (CD 6)",124,739,4,4,871
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",101,889,15,1,"1,006"
"Bedford County",-,"603 - Thaxton Baptist Church #1 (CD 5)",17,205,4,0,226
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",146,672,20,0,838
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)",109,895,12,3,"1,019"
"Bedford County",-,"702 - Liberty High School (CD 5)",56,408,2,3,469
"Bedford County",-,"703 - Thaxton Baptist Church #2 (CD 5)",51,394,4,2,451
"Bedford County",-,"704 - Bedford Central Library (CD 5)",212,586,24,3,825
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)","4,624","8,314",151,34,"13,123"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)","4,081","6,894",152,53,"11,180"
"Bedford County",-,"Provisional (CD 5)",66,61,5,0,132
"Bedford County",-,"Provisional (CD 6)",59,63,7,0,129
"Bland County",-,"101 - Bastian",30,232,3,1,266
"Bland County",-,"102 - Ceres",34,270,5,0,309
"Bland County",-,"201 - Davis",15,96,0,0,111
"Bland County",-,"202 - Seddon",41,382,8,0,431
"Bland County",-,"301 - Hollybrook",25,305,4,2,336
"Bland County",-,"302 - Mechanicsburg",18,143,0,0,161
"Bland County",-,"401 - Rocky Gap",55,497,2,0,554
"Bland County",-,"Ab - Central Absentee Precinct",313,976,18,1,"1,308"
"Bland County",-,Provisional,1,2,0,0,3
"Botetourt County",-,"101 - Daleville",183,697,18,3,901
"Botetourt County",-,"102 - Greenfield",123,843,15,8,989
"Botetourt County",-,"201 - Blue Ridge",173,921,22,0,"1,116"
"Botetourt County",-,"202 - Rainbow Forest",185,860,15,0,"1,060"
"Botetourt County",-,"301 - Buchanan",172,898,14,3,"1,087"
"Botetourt County",-,"302 - Mill Creek",158,794,16,1,969
"Botetourt County",-,"403 - Eagle Rock",98,693,9,0,800
"Botetourt County",-,"406 - Fincastle",105,868,15,3,991
"Botetourt County",-,"501 - Troutville",90,534,6,4,634
"Botetourt County",-,"502 - Cloverdale",168,767,14,3,952
"Botetourt County",-,"Ab - Central Absentee Precinct","4,231","7,212",120,32,"11,595"
"Botetourt County",-,Provisional,14,12,0,0,26
"Bristol City",-,"1 - First Ward",127,549,16,3,695
"Bristol City",-,"2 - Second Ward",131,512,18,1,662
"Bristol City",-,"3 - Third Ward",106,300,5,3,414
"Bristol City",-,"4 - Fourth Ward",190,"1,072",23,2,"1,287"
"Bristol City",-,"Ab - Central Absentee Precinct","1,746","2,898",63,12,"4,719"
"Bristol City",-,Provisional,13,16,0,0,29
"Brunswick County",-,"101 - Brodnax",109,145,0,0,254
"Brunswick County",-,"102 - Rock Store",106,246,1,0,353
"Brunswick County",-,"103 - Tillman",132,308,2,0,442
"Brunswick County",-,"201 - Dromgoole",65,76,3,0,144
"Brunswick County",-,"202 - Edgerton",184,86,2,0,272
"Brunswick County",-,"203 - Fitzhugh",190,125,2,0,317
"Brunswick County",-,"301 - Alberta",51,58,2,0,111
"Brunswick County",-,"302 - Danieltown",127,269,2,1,399
"Brunswick County",-,"303 - Elmore",75,120,0,0,195
"Brunswick County",-,"304 - Seymour",93,140,2,0,235
"Brunswick County",-,"401 - Sturgeon",239,239,3,1,482
"Brunswick County",-,"402 - King's Store",116,69,1,0,186
"Brunswick County",-,"501 - Totaro",258,107,2,0,367
"Brunswick County",-,"Ab - Central Absentee Precinct","2,807","1,368",12,3,"4,190"
"Brunswick County",-,Provisional,0,1,0,0,1
"Buchanan County",-,"102 - Blackey",32,345,1,0,378
"Buchanan County",-,"103 - Hurley",56,736,1,1,794
"Buchanan County",-,"201 - Grassy",27,95,1,1,124
"Buchanan County",-,"202 - Bull",37,367,1,0,405
"Buchanan County",-,"203 - Rocklick",47,435,4,0,486
"Buchanan County",-,"301 - Slate",51,480,1,0,532
"Buchanan County",-,"302 - North Grundy",35,359,4,1,399
"Buchanan County",-,"403 - South Grundy",57,470,9,2,538
"Buchanan County",-,"404 - Oakwood",10,47,0,0,57
"Buchanan County",-,"501 - Prater",60,397,0,1,458
"Buchanan County",-,"502 - Fox",47,110,1,0,158
"Buchanan County",-,"503 - Vansant",57,338,0,1,396
"Buchanan County",-,"601 - Council",43,302,0,0,345
"Buchanan County",-,"602 - Garden",59,400,2,1,462
"Buchanan County",-,"603 - Hurricane",76,236,2,0,314
"Buchanan County",-,"701 - Whitewood",74,494,6,0,574
"Buchanan County",-,"702 - Contrary",47,370,1,0,418
"Buchanan County",-,"Ab - Central Absentee Precinct",768,"2,306",10,3,"3,087"
"Buchanan County",-,Provisional,4,24,0,0,28
"Buckingham County",-,"101 - New Canton",220,405,7,0,632
"Buckingham County",-,"102 - Georgia Creek",48,156,1,1,206
"Buckingham County",-,"201 - White Hall",104,180,2,0,286
"Buckingham County",-,"301 - Curdsville",120,326,5,1,452
"Buckingham County",-,"302 - New Store",73,272,4,1,350
"Buckingham County",-,"401 - Maysville",135,355,10,1,501
"Buckingham County",-,"501 - Wrights",73,230,5,1,309
"Buckingham County",-,"502 - Glenmore",99,282,9,1,391
"Buckingham County",-,"601 - Slate River",201,319,5,3,528
"Buckingham County",-,"701 - Gold Hill",108,219,6,0,333
"Buckingham County",-,"Ab - Central Absentee Precinct","2,285","1,795",39,9,"4,128"
"Buckingham County",-,Provisional,5,5,0,0,10
"Buena Vista City",-,"1 - First Ward",99,416,22,5,542
"Buena Vista City",-,"2 - Second Ward",89,319,17,4,429
"Buena Vista City",-,"AB - Central Absentee Precinct",637,"1,128",33,7,"1,805"
"Buena Vista City",-,Provisional,0,0,0,0,0
"Campbell County",-,"101 - Brookville",206,"1,025",31,7,"1,269"
"Campbell County",-,"102 - New London",232,"1,144",32,4,"1,412"
"Campbell County",-,"201 - Walker",202,772,32,0,"1,006"
"Campbell County",-,"202 - Bedford Springs",156,"1,028",31,3,"1,218"
"Campbell County",-,"301 - Evington",108,464,9,1,582
"Campbell County",-,"302 - Otter River",83,395,6,1,485
"Campbell County",-,"303 - Altavista",265,635,18,1,919
"Campbell County",-,"401 - Three Forks",82,754,21,2,859
"Campbell County",-,"402 - Court House",150,998,32,5,"1,185"
"Campbell County",-,"501 - Spring Hill",189,887,28,9,"1,113"
"Campbell County",-,"502 - Yellow Branch",137,597,14,1,749
"Campbell County",-,"601 - Kings",168,728,11,4,911
"Campbell County",-,"602 - Concord",142,895,20,6,"1,063"
"Campbell County",-,"701 - Brookneal",174,516,8,0,698
"Campbell County",-,"702 - Gladys",154,667,10,2,833
"Campbell County",-,"703 - Morris Church",86,409,7,0,502
"Campbell County",-,"Ab - Central Absentee Precinct","5,536","9,331",180,41,"15,088"
"Campbell County",-,Provisional,0,0,0,0,0
"Caroline County",-,"101 - Bowling Green",189,597,14,2,802
"Caroline County",-,"102 - Sparta",181,529,8,1,719
"Caroline County",-,"201 - North Madison",240,391,17,4,652
"Caroline County",-,"202 - South Madison",235,519,32,3,789
"Caroline County",-,"301 - Port Royal",125,269,8,0,402
"Caroline County",-,"302 - Woodford",253,710,12,2,977
"Caroline County",-,"401 - Dawn",420,498,20,4,942
"Caroline County",-,"402 - Carmel Church",131,187,2,0,320
"Caroline County",-,"501 - West Mattaponi",254,314,8,4,580
"Caroline County",-,"502 - Milford",163,410,3,0,576
"Caroline County",-,"601 - Chilesburg",272,574,29,4,879
"Caroline County",-,"602 - Lake",185,440,22,0,647
"Caroline County",-,"Ab - Central Absentee Precinct","4,957","2,839",84,12,"7,892"
"Caroline County",-,Provisional,52,59,0,0,111
"Carroll County",-,"101 - Mt Bethel",65,414,0,1,480
"Carroll County",-,"102 - St Paul",54,558,5,2,619
"Carroll County",-,"103 - Lambsburg",59,358,3,3,423
"Carroll County",-,"105 - Fancy Gap",43,392,6,1,442
"Carroll County",-,"201 - Hillsville B",98,762,7,1,868
"Carroll County",-,"202 - Laurel Fork",55,411,8,2,476
"Carroll County",-,"203 - Gladesboro",80,491,3,0,574
"Carroll County",-,"301 - Hillsville C",118,994,11,1,"1,124"
"Carroll County",-,"302 - Sylvatus",45,460,5,1,511
"Carroll County",-,"303 - Dugspur",23,243,4,2,272
"Carroll County",-,"401 - Oakland",114,875,10,3,"1,002"
"Carroll County",-,"402 - Woodlawn D",77,672,6,3,758
"Carroll County",-,"406 - Woodlawn F",26,133,3,1,163
"Carroll County",-,"501 - Vaughan",43,370,3,0,416
"Carroll County",-,"502 - Gladeville",75,749,4,1,829
"Carroll County",-,"503 - Woodlawn E",57,355,2,0,414
"Carroll County",-,"504 - Laurel",46,469,2,0,517
"Carroll County",-,"Ab - Central Absentee Precinct","1,740","3,909",33,10,"5,692"
"Carroll County",-,Provisional,24,44,3,0,71
"Charles City County",-,"101 - Precinct 1-1",200,450,17,0,667
"Charles City County",-,"201 - Precinct 2-1",187,243,8,0,438
"Charles City County",-,"301 - Precinct 3-1",205,254,8,0,467
"Charles City County",-,"Ab - Central Absentee Precinct","2,024",811,21,2,"2,858"
"Charles City County",-,Provisional,8,3,0,0,11
"Charlotte County",-,"101 - County Seat",100,296,6,2,404
"Charlotte County",-,"201 - Red Oak Wylliesburg",159,399,3,2,563
"Charlotte County",-,"302 - Drakes Branch",103,331,3,1,438
"Charlotte County",-,"401 - Keysville",134,415,7,1,557
"Charlotte County",-,"501 - Cullen/Red House",117,297,6,3,423
"Charlotte County",-,"602 - Phenix",85,449,2,0,536
"Charlotte County",-,"702 - Bacon/Saxe",87,236,0,1,324
"Charlotte County",-,"Ab - Central Absentee Precinct","1,532","1,390",21,1,"2,944"
"Charlotte County",-,Provisional,0,2,0,0,2
"Charlottesville City",-,"101 - Key Recreation",380,218,11,10,619
"Charlottesville City",-,"102 - Clark",638,240,19,8,905
"Charlottesville City",-,"201 - Carver",518,121,21,10,670
"Charlottesville City",-,"202 - Walker",504,295,20,8,827
"Charlottesville City",-,"301 - Benjamin Tonsler",608,126,15,12,761
"Charlottesville City",-,"302 - Johnson",552,297,40,13,902
"Charlottesville City",-,"303 - Buford",308,100,14,6,428
"Charlottesville City",-,"401 - Venable",426,105,15,5,551
"Charlottesville City",-,"402 - Alumni Hall",360,174,16,7,557
"Charlottesville City",-,"Ab - Central Absentee Precinct","16,289","1,399",138,25,"17,851"
"Charlottesville City",-,Provisional,113,19,2,0,134
"Chesapeake City",-,"1 - Great Bridge (CD 4)",123,432,19,2,576
"Chesapeake City",-,"2 - Bethel (CD 4)",115,913,19,3,"1,050"
"Chesapeake City",-,"3 - Camelot (CD 3)",299,53,13,1,366
"Chesapeake City",-,"4 - Churchland (CD 3)",96,389,12,1,498
"Chesapeake City",-,"5 - Crestwood (CD 3)",391,129,11,4,535
"Chesapeake City",-,"6 - Deep Creek (CD 4)",156,358,13,2,529
"Chesapeake City",-,"7 - Greenbrier (CD 4)",106,271,20,5,402
"Chesapeake City",-,"8 - South Norfolk Recreation (CD 3)",287,402,21,0,710
"Chesapeake City",-,"9 - Bells Mill (CD 4)",146,717,26,1,890
"Chesapeake City",-,"10 - Oscar Smith (CD 3)",138,221,14,1,374
"Chesapeake City",-,"11 - Geneva Park (CD 3)",273,427,14,3,717
"Chesapeake City",-,"12 - Georgetown (CD 3)",189,78,6,2,275
"Chesapeake City",-,"13 - Gilmerton (CD 3)",246,484,20,1,751
"Chesapeake City",-,"14 - Grassfield (CD 4)",137,397,20,3,557
"Chesapeake City",-,"15 - Greenbrier Middle School (CD 3)",279,313,24,6,622
"Chesapeake City",-,"16 - Hickory Grove (CD 4)",145,766,18,2,931
"Chesapeake City",-,"17 - Indian Creek (CD 4)",115,685,11,0,811
"Chesapeake City",-,"18 - Indian River (CD 3)",257,218,20,1,496
"Chesapeake City",-,"19 - Jolliff (CD 4)",113,401,14,7,535
"Chesapeake City",-,"20 - E W Chittum (CD 4)",158,409,17,3,587
"Chesapeake City",-,"21 - Fellowship (CD 3)",191,425,18,2,636
"Chesapeake City",-,"22 - Norfolk Highlands (CD 3)",173,338,17,2,530
"Chesapeake City",-,"23 - Oak Grove (CD 4)",209,321,21,2,553
"Chesapeake City",-,"24 - Oaklette (CD 3)",296,312,22,5,635
"Chesapeake City",-,"25 - St Julians (CD 3)",243,263,19,4,529
