County/City,Ward,Pct,"William Bill T. Bolling","Jody M. Wagner","All Others","Total Votes Cast"
"Arlington County",-,"10 - Wilson (CD 8)",338,733,3,"1,074"
"Arlington County",-,"11 - East Falls Church (CD 8)",331,622,1,954
"Arlington County",-,"12 - Fairlington (CD 8)",457,826,1,"1,284"
"Arlington County",-,"13 - Glen Carlyn (CD 8)",185,481,1,667
"Arlington County",-,"14 - Clarendon (CD 8)",274,509,1,784
"Arlington County",-,"15 - Lyon Park (CD 8)",310,708,1,"1,019"
"Arlington County",-,"16 - Lyon Village (CD 8)",358,842,0,"1,200"
"Arlington County",-,"17 - Overlee Knolls (CD 8)",435,875,1,"1,311"
"Arlington County",-,"18 - Park Lane (CD 8)",339,865,3,"1,207"
"Arlington County",-,"19 - Rosslyn (CD 8)",313,666,1,980
"Arlington County",-,"20 - Thrifton (CD 8)",572,885,1,"1,458"
"Arlington County",-,"21 - Virginia Highlands (CD 8)",401,665,0,"1,066"
"Arlington County",-,"22 - Abingdon (CD 8)",427,867,0,"1,294"
"Arlington County",-,"23 - Westover (CD 8)",243,629,3,875
"Arlington County",-,"24 - Woodlawn (CD 8)",357,"1,076",2,"1,435"
"Arlington County",-,"25 - Arlington Forest (CD 8)",290,663,7,960
"Arlington County",-,"26 - Fillmore (CD 8)",297,817,0,"1,114"
"Arlington County",-,"27 - Jefferson (CD 8)",354,842,0,"1,196"
"Arlington County",-,"28 - Claremont (CD 8)",309,726,3,"1,038"
"Arlington County",-,"29 - Dominion Hills (CD 8)",415,902,1,"1,318"
"Arlington County",-,"30 - Glebe (CD 8)",134,636,1,771
"Arlington County",-,"31 - Lexington (CD 8)",416,928,1,"1,345"
"Arlington County",-,"32 - Oakridge (CD 8)",403,584,1,988
"Arlington County",-,"33 - Rock Spring (CD 8)",545,918,1,"1,464"
"Arlington County",-,"34 - Yorktown (CD 8)",419,773,0,"1,192"
"Arlington County",-,"35 - Madison (CD 8)",670,912,0,"1,582"
"Arlington County",-,"36 - Marshall (CD 8)",471,"1,028",1,"1,500"
"Arlington County",-,"37 - Nottingham (CD 8)",413,807,1,"1,221"
"Arlington County",-,"38 - Arlington View (CD 8)",149,545,0,694
"Arlington County",-,"39 - Ashlawn (CD 8)",239,463,0,702
"Arlington County",-,"40 - Virginia Square (CD 8)",349,647,1,997
"Arlington County",-,"41 - Woodbury (CD 8)",282,563,0,845
"Arlington County",-,"42 - Shirlington (CD 8)",248,497,2,747
"Arlington County",-,"43 - Arlington Mill (CD 8)",119,362,0,481
"Arlington County",-,"44 - Dawson Terrace (CD 8)",238,523,1,762
"Arlington County",-,"45 - Buckingham (CD 8)",329,787,0,"1,116"
"Arlington County",-,"46 - Central (CD 8)",337,661,1,999
"Arlington County",-,"47 - Four Mile Run (CD 8)",170,442,0,612
"Arlington County",-,"48 - Courtlands (CD 8)",260,492,0,752
"Arlington County",-,"49 - Monroe (CD 8)",165,355,1,521
"Arlington County",-,"50 - Crystal Plaza (CD 8)",280,364,0,644
"Arlington County",-,"51 - Taylor (CD 8)",93,196,0,289
"Arlington County",-,"Ab - Central Absentee Precinct (CD 8)","1,632","2,934",4,"4,570"
"Arlington County",-,"Provisional Votes (CD 8)",13,24,0,37
"Augusta County",-,"101 - Jolivue (CD 6)",463,173,0,636
"Augusta County",-,"102 - Expo (CD 6)",379,104,1,484
"Augusta County",-,"103 - Verona (CD 6)",817,212,0,"1,029"
"Augusta County",-,"201 - Crimora (CD 6)",772,190,0,962
"Augusta County",-,"202 - New Hope (CD 6)",672,172,0,844
"Augusta County",-,"203 - Weyers Cave (CD 6)",859,183,0,"1,042"
"Augusta County",-,"301 - Fort Defiance (CD 6)","1,020",287,0,"1,307"
"Augusta County",-,"302 - North River (CD 6)",299,77,0,376
"Augusta County",-,"303 - Mount Solon (CD 6)",492,104,0,596
"Augusta County",-,"304 - Churchville Fire Station (CD 6)",393,98,1,492
"Augusta County",-,"401 - Buffalo Gap (CD 6)",481,126,0,607
"Augusta County",-,"402 - Churchville Library (CD 6)",472,131,0,603
"Augusta County",-,"403 - Craigsville (CD 6)",276,87,0,363
"Augusta County",-,"404 - Deerfield (CD 6)",145,42,1,188
"Augusta County",-,"405 - Cedar Green (CD 6)",487,147,0,634
"Augusta County",-,"501 - Greenville (CD 6)",713,171,1,885
"Augusta County",-,"502 - Middlebrook (CD 6)",423,120,0,543
"Augusta County",-,"503 - Spottswood (CD 6)",391,118,0,509
"Augusta County",-,"504 - White Hill (CD 6)",741,141,0,882
"Augusta County",-,"601 - Sherando (CD 6)",522,147,0,669
"Augusta County",-,"602 - Stuarts Draft (CD 6)","1,172",326,0,"1,498"
"Augusta County",-,"603 - Lyndhurst (CD 6)",602,157,0,759
"Augusta County",-,"801 - Dooms (CD 6)",655,174,1,830
"Augusta County",-,"802 - Fishersville (CD 6)","1,236",388,0,"1,624"
"Augusta County",-,"803 - Wilson (CD 6)",690,241,0,931
"Augusta County",-,"Ab - Central Absentee Precinct (CD 6)",533,165,0,698
"Augusta County",-,"Provisional Votes (CD 6)",0,2,0,2
"Bath County",-,"101 - Warm Springs (CD 6)",110,146,0,256
"Bath County",-,"102 - Mountain Grove (CD 6)",34,22,0,56
"Bath County",-,"201 - Hot Springs (CD 6)",122,180,0,302
"Bath County",-,"301 - Fairview (CD 6)",123,123,0,246
"Bath County",-,"302 - Burnsville (CD 6)",32,37,0,69
"Bath County",-,"401 - Millboro (CD 6)",177,225,0,402
"Bath County",-,"501 - Healing Springs (CD 6)",152,206,0,358
"Bath County",-,"Ab - Central Absentee Precinct (CD 6)",47,36,0,83
"Bath County",-,"Provisional Votes (CD 6)",0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)","1,038",406,1,"1,445"
"Bedford County",-,"102 - Hardy Fire & Rescue Bldg (CD 5)",307,135,0,442
"Bedford County",-,"103 - Chamblissburg First Aid Bldg (CD 5)",253,117,0,370
"Bedford County",-,"202 - Staunton River High School (CD 5)",418,159,1,578
"Bedford County",-,"203 - Moneta Elem School (CD 5)",917,360,0,"1,277"
"Bedford County",-,"204 - Body Camp Elem School (CD 5)",112,53,0,165
"Bedford County",-,"205 - Saunders Vol Fire Dept (CD 5)",653,227,1,881
"Bedford County",-,"301 - New London Academy (CD 6)","1,267",252,0,"1,519"
"Bedford County",-,"302 - Bedford County Psa (CD 5)",426,175,0,601
"Bedford County",-,"303 - Bethesda Methodist Church (CD 5)",306,107,0,413
"Bedford County",-,"304 - Forest Youth Athletic Assoc (CD 6)",386,106,0,492
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",289,80,0,369
"Bedford County",-,"401 - Forest Elem School (CD 6)","1,064",223,0,"1,287"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)","1,295",356,6,"1,657"
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)","1,024",259,0,"1,283"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",192,97,0,289
"Bedford County",-,"503 - Sedalia Center (CD 6)",314,91,0,405
"Bedford County",-,"504 - Odd Fellows Hall (CD 6)",143,54,0,197
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",852,262,1,"1,115"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",765,212,0,977
"Bedford County",-,"507 - Pleasant View (CD 6)",81,29,0,110
"Bedford County",-,"601 - Montvale Elem School (CD 6)",477,213,1,691
"Bedford County",-,"602 - Shady Grove Baptist Church (CD 5)",444,183,0,627
"Bedford County",-,"603 - Thaxton Elem School (CD 5)",487,186,0,673
"Bedford County",-,"604 - Saunders Grove Brethern Church (CD 5)",109,39,0,148
"Bedford County",-,"701 - Goode Rescue Squad (CD 5)",827,157,1,985
"Bedford County",-,"702 - Liberty High School (CD 5)",657,238,0,895
"Bedford County",-,"703 - Bedford Christian Church (CD 5)",528,217,0,745
"Bedford County",-,"704 - Suck Springs (CD 6)",209,79,0,288
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",283,133,0,416
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",284,99,0,383
"Bedford County",-,"Provisional Votes (CD 5)",0,1,0,1
"Bedford County",-,"Provisional Votes (CD 6)",4,1,0,5
"Bedford City",-,"1 - Ward One (CD 5)",572,350,0,922
"Bedford City",-,"2 - Ward Two (CD 5)",319,197,0,516
"Bedford City",-,"Ab - Central Absentee Precinct (CD 5)",50,43,0,93
"Bedford City",-,"Provisional Votes (CD 5)",0,0,0,0
"Bland County",-,"101 - Bastian (CD 9)",172,61,0,233
"Bland County",-,"102 - Ceres (CD 9)",205,50,0,255
"Bland County",-,"201 - Davis (CD 9)",48,30,0,78
"Bland County",-,"202 - Seddon (CD 9)",365,105,0,470
"Bland County",-,"301 - Hollybrook (CD 9)",135,61,0,196
"Bland County",-,"302 - Mechanicsburg (CD 9)",87,25,0,112
"Bland County",-,"401 - Rocky Gap (CD 9)",282,90,0,372
"Bland County",-,"Ab - Central Absentee Precinct (CD 9)",59,20,0,79
"Bland County",-,"Provisional Votes (CD 9)",0,0,0,0
"Botetourt County",-,"101 - Amsterdam (CD 6)",453,222,0,675
"Botetourt County",-,"102 - Asbury (CD 6)","1,082",343,1,"1,426"
"Botetourt County",-,"104 - Troutville (CD 6)",273,110,0,383
"Botetourt County",-,"201 - Blue Ridge (CD 6)",795,282,2,"1,079"
"Botetourt County",-,"202 - Rainbow Forest (CD 6)",660,249,2,911
"Botetourt County",-,"301 - Buchanan (CD 6)",462,258,1,721
"Botetourt County",-,"302 - Mill Creek (CD 6)",348,166,1,515
"Botetourt County",-,"303 - Roaring Run (CD 6)",131,67,0,198
"Botetourt County",-,"304 - Springwood (CD 6)",277,139,3,419
"Botetourt County",-,"402 - Courthouse (CD 6)",478,247,3,728
"Botetourt County",-,"403 - Eagle Rock (CD 6)",235,127,2,364
"Botetourt County",-,"404 - Glen Wilton (CD 6)",156,134,0,290
"Botetourt County",-,"405 - Oriskany (CD 6)",27,11,0,38
"Botetourt County",-,"406 - Town Hall (CD 6)",409,139,1,549
"Botetourt County",-,"501 - Coyner Springs (CD 6)",405,159,1,565
"Botetourt County",-,"502 - Cloverdale (CD 6)","1,001",394,1,"1,396"
"Botetourt County",-,"Ab - Central Absentee Precinct (CD 6)",400,111,0,511
"Botetourt County",-,"Provisional Votes (CD 6)",0,0,0,0
"Bristol City",-,"1 - First Ward (CD 9)",464,152,1,617
"Bristol City",-,"2 - Second Ward (CD 9)",708,251,0,959
"Bristol City",-,"3 - Third Ward (CD 9)",307,173,0,480
"Bristol City",-,"4 - Fourth Ward (CD 9)","1,145",334,0,"1,479"
"Bristol City",-,"Ab - Central Absentee Precinct (CD 9)",141,65,1,207
"Bristol City",-,"Provisional Votes (CD 9)",0,0,0,0
"Brunswick County",-,"101 - Brodnax (CD 5)",116,96,0,212
"Brunswick County",-,"102 - Rock Store (CD 5)",203,114,0,317
"Brunswick County",-,"103 - Tillman (CD 5)",241,95,0,336
"Brunswick County",-,"201 - Dromgoole (CD 5)",60,64,0,124
"Brunswick County",-,"202 - Edgerton (CD 5)",119,225,0,344
"Brunswick County",-,"203 - Fitzhugh (CD 5)",122,189,0,311
"Brunswick County",-,"301 - Alberta (CD 4)",50,21,0,71
"Brunswick County",-,"302 - Danieltown (CD 4)",209,184,1,394
"Brunswick County",-,"303 - Elmore (CD 4)",94,73,0,167
"Brunswick County",-,"304 - Seymour (CD 4)",75,76,0,151
"Brunswick County",-,"401 - Sturgeon (CD 5)",293,311,0,604
"Brunswick County",-,"402 - King's Store (CD 4)",7,47,0,54
"Brunswick County",-,"402 - King's Store (CD 5)",73,86,0,159
"Brunswick County",-,"501 - Lawrenceville (CD 5)",215,431,0,646
"Brunswick County",-,"Ab - Central Absentee Precinct (CD 4)",20,11,0,31
"Brunswick County",-,"Ab - Central Absentee Precinct (CD 5)",122,52,0,174
"Brunswick County",-,"Provisional Votes (CD 4)",0,0,0,0
"Brunswick County",-,"Provisional Votes (CD 5)",0,0,0,0
"Buchanan County",-,"102 - Blackey (CD 9)",130,52,0,182
"Buchanan County",-,"103 - Hurley (CD 9)",334,93,0,427
"Buchanan County",-,"201 - Grassy (CD 9)",24,35,0,59
"Buchanan County",-,"202 - Bull (CD 9)",167,107,0,274
"Buchanan County",-,"203 - Rocklick (CD 9)",194,107,0,301
"Buchanan County",-,"301 - Slate (CD 9)",236,143,0,379
"Buchanan County",-,"302 - North Grundy (CD 9)",214,101,0,315
"Buchanan County",-,"403 - South Grundy (CD 9)",394,146,0,540
"Buchanan County",-,"404 - Oakwood (CD 9)",57,24,0,81
"Buchanan County",-,"501 - Prater (CD 9)",111,173,0,284
"Buchanan County",-,"502 - Fox (CD 9)",26,57,0,83
"Buchanan County",-,"503 - Vansant (CD 9)",229,127,0,356
"Buchanan County",-,"601 - Council (CD 9)",117,78,0,195
"Buchanan County",-,"602 - Garden (CD 9)",180,150,0,330
"Buchanan County",-,"603 - Hurricane (CD 9)",98,133,0,231
"Buchanan County",-,"701 - Whitewood (CD 9)",279,149,0,428
"Buchanan County",-,"702 - Contrary (CD 9)",170,79,0,249
"Buchanan County",-,"Ab - Central Absentee Precinct (CD 9)",168,121,1,290
"Buchanan County",-,"Provisional Votes (CD 9)",0,1,0,1
"Buckingham County",-,"101 - New Canton (CD 5)",285,226,1,512
"Buckingham County",-,"201 - White Hall (CD 5)",175,127,0,302
"Buckingham County",-,"301 - Curdsville (CD 5)",244,104,0,348
"Buckingham County",-,"302 - New Store (CD 5)",195,62,0,257
"Buckingham County",-,"401 - Maysville (CD 5)",331,182,0,513
"Buckingham County",-,"501 - Wrights (CD 5)",236,77,0,313
"Buckingham County",-,"502 - Glenmore (CD 5)",166,164,1,331
"Buckingham County",-,"601 - Slate River (CD 5)",301,294,0,595
"Buckingham County",-,"701 - Gold Hill (CD 5)",160,118,0,278
"Buckingham County",-,"Ab - Central Absentee Precinct (CD 5)",77,37,0,114
"Buckingham County",-,"Provisional Votes (CD 5)",1,0,0,1
"Buena Vista City",-,"1 - First Ward (CD 6)",479,280,0,759
"Buena Vista City",-,"2 - Second Ward (CD 6)",350,210,0,560
"Buena Vista City",-,"Provisional Votes (CD 6)",0,0,0,0
"Campbell County",-,"101 - Brookville (CD 5)","1,119",289,1,"1,409"
"Campbell County",-,"102 - New London (CD 5)",814,196,1,"1,011"
"Campbell County",-,"201 - Walker (CD 5)",957,261,1,"1,219"
"Campbell County",-,"202 - Bedford Springs (CD 5)",775,189,0,964
"Campbell County",-,"301 - Evington (CD 5)",401,141,0,542
"Campbell County",-,"302 - Lynch Station (CD 5)",495,187,1,683
"Campbell County",-,"303 - Altavista (CD 5)",486,258,1,745
"Campbell County",-,"401 - Three Forks (CD 5)",816,189,0,"1,005"
"Campbell County",-,"402 - Court House (CD 5)",947,286,1,"1,234"
"Campbell County",-,"501 - Spring Hill (CD 5)",726,217,1,944
"Campbell County",-,"502 - Yellow Branch (CD 5)",637,226,0,863
"Campbell County",-,"601 - Airport (CD 5)",583,125,0,708
"Campbell County",-,"602 - Kings (CD 5)",277,158,6,441
"Campbell County",-,"603 - Concord (CD 5)",889,276,1,"1,166"
"Campbell County",-,"701 - Brookneal (CD 5)",443,160,0,603
"Campbell County",-,"702 - Gladys (CD 5)",471,208,0,679
"Campbell County",-,"703 - Morris Church (CD 5)",202,82,0,284
"Campbell County",-,"Ab - Central Absentee Precinct (CD 5)",308,93,0,401
"Campbell County",-,"Provisional Votes (CD 5)",2,1,0,3
"Caroline County",-,"101 - Bowling Green (CD 1)",853,424,0,"1,277"
"Caroline County",-,"201 - Madison (CD 7)",958,669,1,"1,628"
"Caroline County",-,"301 - Port Royal (CD 1)",209,102,0,311
"Caroline County",-,"302 - Chilesburg (CD 7)",103,54,0,157
"Caroline County",-,"303 - Woodford (CD 1)",290,238,1,529
"Caroline County",-,"401 - Reedy Church (CD 7)",432,726,0,"1,158"
"Caroline County",-,"402 - Penola (CD 1)",73,25,0,98
"Caroline County",-,"501 - Mattaponi (CD 1)",445,586,0,"1,031"
"Caroline County",-,"501 - Mattaponi (CD 7)",22,61,1,84
"Caroline County",-,"Ab - Central Absentee Precinct (CD 1)",103,26,1,130
"Caroline County",-,"Ab - Central Absentee Precinct (CD 7)",68,36,0,104
"Caroline County",-,"Provisional Votes (CD 1)",0,0,0,0
"Caroline County",-,"Provisional Votes (CD 7)",0,0,0,0
"Carroll County",-,"101 - Mt Bethel (CD 9)",167,69,0,236
"Carroll County",-,"102 - St Paul (CD 9)",345,104,0,449
"Carroll County",-,"103 - Lambsburg (CD 9)",143,58,0,201
"Carroll County",-,"104 - Oakland A (CD 9)",200,103,0,303
"Carroll County",-,"201 - Hillsville B (CD 9)",514,282,0,796
"Carroll County",-,"202 - Laurel Fork (CD 9)",195,107,0,302
"Carroll County",-,"203 - Gladesboro (CD 9)",317,147,0,464
"Carroll County",-,"301 - Hillsville C (CD 9)",552,290,0,842
"Carroll County",-,"302 - Sylvatus (CD 9)",213,84,0,297
"Carroll County",-,"303 - Dugspur (CD 9)",142,52,0,194
"Carroll County",-,"401 - Hillsville D (CD 9)",113,53,0,166
"Carroll County",-,"402 - Woodlawn D (CD 9)",495,201,1,697
"Carroll County",-,"403 - Oakland D (CD 9)",238,72,0,310
"Carroll County",-,"404 - Fancy Gap (CD 9)",194,63,0,257
"Carroll County",-,"501 - Vaughan (CD 9)",165,36,0,201
"Carroll County",-,"502 - Gladeville (CD 9)",395,103,0,498
"Carroll County",-,"503 - Woodlawn E (CD 9)",215,56,0,271
"Carroll County",-,"504 - Laurel (CD 9)",249,67,0,316
"Carroll County",-,"Ab - Central Absentee Precinct (CD 9)",185,82,0,267
"Carroll County",-,"Provisional Votes (CD 9)",1,0,0,1
"Charles City County",-,"101 - Precinct 1-1 (CD 3)",332,399,1,732
"Charles City County",-,"201 - Precinct 2-1 (CD 3)",181,368,1,550
"Charles City County",-,"301 - Precinct 3-1 (CD 3)",351,494,0,845
