county,precinct,office,district,party,candidate,votes
ALBEMARLE COUNTY,203 - GEORGETOWN,Governor,,REP,"Kenneth Thomas Cuccinelli, II",211
ALBEMARLE COUNTY,203 - GEORGETOWN,Governor,,LIB,Robert Christopher Sarvis,95
ALBEMARLE COUNTY,203 - GEORGETOWN,Governor,,DEM,Terence Richard McAuliffe,684
ALBEMARLE COUNTY,204 - BELFIELD,Governor,,OTH,All Others,10
ALBEMARLE COUNTY,204 - BELFIELD,Governor,,REP,"Kenneth Thomas Cuccinelli, II",231
ALBEMARLE COUNTY,204 - BELFIELD,Governor,,LIB,Robert Christopher Sarvis,65
ALBEMARLE COUNTY,204 - BELFIELD,Governor,,DEM,Terence Richard McAuliffe,345
ALBEMARLE COUNTY,301 - IVY,Governor,,OTH,All Others,27
ALBEMARLE COUNTY,301 - IVY,Governor,,REP,"Kenneth Thomas Cuccinelli, II",713
ALBEMARLE COUNTY,301 - IVY,Governor,,LIB,Robert Christopher Sarvis,218
ALBEMARLE COUNTY,301 - IVY,Governor,,DEM,Terence Richard McAuliffe,1230
ALBEMARLE COUNTY,302 - RED HILL,Governor,,OTH,All Others,12
ALBEMARLE COUNTY,302 - RED HILL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",477
ALBEMARLE COUNTY,302 - RED HILL,Governor,,LIB,Robert Christopher Sarvis,125
ALBEMARLE COUNTY,302 - RED HILL,Governor,,DEM,Terence Richard McAuliffe,801
ALBEMARLE COUNTY,304 - EAST IVY,Governor,,OTH,All Others,17
ALBEMARLE COUNTY,304 - EAST IVY,Governor,,REP,"Kenneth Thomas Cuccinelli, II",216
ALBEMARLE COUNTY,304 - EAST IVY,Governor,,LIB,Robert Christopher Sarvis,63
ALBEMARLE COUNTY,304 - EAST IVY,Governor,,DEM,Terence Richard McAuliffe,294
ALBEMARLE COUNTY,305 - COUNTRY GREEN,Governor,,OTH,All Others,9
ALBEMARLE COUNTY,305 - COUNTRY GREEN,Governor,,REP,"Kenneth Thomas Cuccinelli, II",347
ALBEMARLE COUNTY,305 - COUNTRY GREEN,Governor,,LIB,Robert Christopher Sarvis,111
ALBEMARLE COUNTY,305 - COUNTRY GREEN,Governor,,DEM,Terence Richard McAuliffe,610
ALBEMARLE COUNTY,306 - PORTERS,Governor,,OTH,All Others,4
ALBEMARLE COUNTY,306 - PORTERS,Governor,,REP,"Kenneth Thomas Cuccinelli, II",214
ALBEMARLE COUNTY,306 - PORTERS,Governor,,LIB,Robert Christopher Sarvis,47
ALBEMARLE COUNTY,306 - PORTERS,Governor,,DEM,Terence Richard McAuliffe,402
ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,Governor,,OTH,All Others,3
ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,Governor,,REP,"Kenneth Thomas Cuccinelli, II",134
ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,Governor,,LIB,Robert Christopher Sarvis,35
ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,Governor,,DEM,Terence Richard McAuliffe,167
ALBEMARLE COUNTY,401 - SCOTTSVILLE,Governor,,OTH,All Others,5
ALBEMARLE COUNTY,401 - SCOTTSVILLE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",345
ALBEMARLE COUNTY,401 - SCOTTSVILLE,Governor,,LIB,Robert Christopher Sarvis,81
ALBEMARLE COUNTY,401 - SCOTTSVILLE,Governor,,DEM,Terence Richard McAuliffe,309
ALBEMARLE COUNTY,402 - MONTICELLO,Governor,,OTH,All Others,4
ALBEMARLE COUNTY,402 - MONTICELLO,Governor,,REP,"Kenneth Thomas Cuccinelli, II",269
ALBEMARLE COUNTY,402 - MONTICELLO,Governor,,LIB,Robert Christopher Sarvis,84
ALBEMARLE COUNTY,402 - MONTICELLO,Governor,,DEM,Terence Richard McAuliffe,296
ALBEMARLE COUNTY,405 - CALE,Governor,,OTH,All Others,12
ALBEMARLE COUNTY,405 - CALE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",471
ALBEMARLE COUNTY,405 - CALE,Governor,,LIB,Robert Christopher Sarvis,177
ALBEMARLE COUNTY,405 - CALE,Governor,,DEM,Terence Richard McAuliffe,1263
ALBEMARLE COUNTY,406 - STONE ROBINSON,Governor,,OTH,All Others,29
ALBEMARLE COUNTY,406 - STONE ROBINSON,Governor,,REP,"Kenneth Thomas Cuccinelli, II",784
ALBEMARLE COUNTY,406 - STONE ROBINSON,Governor,,LIB,Robert Christopher Sarvis,151
ALBEMARLE COUNTY,406 - STONE ROBINSON,Governor,,DEM,Terence Richard McAuliffe,620
ALBEMARLE COUNTY,501 - KESWICK,Governor,,OTH,All Others,3
ALBEMARLE COUNTY,501 - KESWICK,Governor,,REP,"Kenneth Thomas Cuccinelli, II",266
ALBEMARLE COUNTY,501 - KESWICK,Governor,,LIB,Robert Christopher Sarvis,58
